Name;Metric;Value;Agrupation;Column77
;ERROR: computing metric {};;;
Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' followed by 'Declaration APPROVED by ADMINISTRATION';Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Declaration APPROVED by ADMINISTRATION';0.0;;B
Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' that are preceded by 'Declaration SUBMITTED by EMPLOYEE';Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' activities for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs;1;;B
Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Declaration APPROVED by ADMINISTRATION';Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Declaration APPROVED by ADMINISTRATION';0.0;;A
Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' with amounts above 100 euros;Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' activities > 100 where ma is the last value of case:Amount;1;;B
Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' by 'STAFF MEMBER';Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all cases;;;D
Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' grouped by 'org:role';Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' activities grouped by the last value of org:role;ADMINISTRATION:0;"{""ADMINISTRATION"":0,""EMPLOYEE"":0,""MISSING"":0,""SUPERVISOR"":0,""UNDEFINED"":1}";A
Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' grouped by 'org:role';Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' activities grouped by the last value of org:role;EMPLOYEE:0;"{""ADMINISTRATION"":0,""EMPLOYEE"":0,""MISSING"":0,""SUPERVISOR"":0,""UNDEFINED"":1}";A
Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' grouped by 'org:role';Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' activities grouped by the last value of org:role;MISSING:0;"{""ADMINISTRATION"":0,""EMPLOYEE"":0,""MISSING"":0,""SUPERVISOR"":0,""UNDEFINED"":1}";A
Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' grouped by 'org:role';Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' activities grouped by the last value of org:role;SUPERVISOR:0;"{""ADMINISTRATION"":0,""EMPLOYEE"":0,""MISSING"":0,""SUPERVISOR"":0,""UNDEFINED"":1}";A
Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' grouped by 'org:role';Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' activities grouped by the last value of org:role;UNDEFINED:1;"{""ADMINISTRATION"":0,""EMPLOYEE"":0,""MISSING"":0,""SUPERVISOR"":0,""UNDEFINED"":1}";A
Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' followed by 'Declaration REJECTED by PRE_APPROVER';Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Declaration REJECTED by PRE_APPROVER';0.0;;B
Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' made per year;"ERROR: computing metric {'count': ""activity == 'Declaration FOR_APPROVAL by ADMINISTRATION'"", 'aggregation': 'total', 'group_by': 'year'}";;;C
Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' that lead to a 'Request Payment';Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Request Payment';0.0;;N
Total 'Declaration FOR_APPROVAL by ADMINISTRATION' performed by 'ADMINISTRATION';Number of 'Declaration FOR_APPROVAL by ADMINISTRATION' activities == 'ADMINISTRATION' where ma is the last value of org:role;0;;A
Ratio of 'Declaration FOR_APPROVAL by ADMINISTRATION' over 'Declaration SUBMITTED by EMPLOYEE';Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all 'Declaration SUBMITTED by EMPLOYEE';0.0;;B
