Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of \Declaration REJECTED by SUPERVISOR\ compared to \Declaration APPROVED by ADMINISTRATION\,Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration APPROVED by ADMINISTRATION',0.03,
Percentage of \Declaration REJECTED by SUPERVISOR\ out of all rejection activities,Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases where 'Declaration REJECTED by SUPERVISOR' does not happen,0.03,
Number of \Declaration REJECTED by SUPERVISOR\ that are followed by \Declaration SUBMITTED by EMPLOYEE\,Number of 'Declaration REJECTED by SUPERVISOR' activities for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs,293.0,
Percentage of \Declaration REJECTED by SUPERVISOR\ from all supervisor-related activities,Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases,1.0,
Frequency of \Declaration REJECTED by SUPERVISOR\ in relation to total events in the event log,Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases where '' does not happen,0.03,
Percentage of \Declaration REJECTED by SUPERVISOR\ followed by \Declaration REJECTED by EMPLOYEE\,Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration REJECTED by EMPLOYEE',0.23,
Number of \Declaration REJECTED by SUPERVISOR\ with amounts above 100 euros,Number of 'Declaration REJECTED by SUPERVISOR' activities > 100 where ma is the last value of case:Amount,80.0,
Percentage of \Declaration REJECTED by SUPERVISOR\ by \STAFF MEMBER\,Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases,,
Number of \Declaration REJECTED by SUPERVISOR\ made per year,"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by SUPERVISOR'"", 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of \Declaration REJECTED by SUPERVISOR\ that lead to a new submission within 30 days,Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases,0.03,
Frequency of \Declaration REJECTED by SUPERVISOR\ in successful claim processes (ending in \Payment Handled\),Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Payment Handled',0.02,
Percentage of \Declaration REJECTED by SUPERVISOR\ in claims involving travel expenses,Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases,0.02,
Number of \Declaration REJECTED by SUPERVISOR\ in relation to \Declaration APPROVED by BUDGET OWNER\,Frequency of activity 'Declaration REJECTED by SUPERVISOR' for cases where activity 'Declaration APPROVED by BUDGET OWNER' occurs,87.0,
Percentage of \Declaration REJECTED by SUPERVISOR\ in the first quarter of the year compared to the rest of the year,Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases,0.03,
Frequency of \Declaration REJECTED by SUPERVISOR\ in processes that involve director approval,Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases,,
