Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time between 'Reviewer Invitation Reminder 1' and 'SW-Reviewer Agreed',The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Agreed',13 days 08:15:45.025641,
Total time between 'Reviewer Invitation Reminder 1' and 'SW-Reviewer Agreed',The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Agreed',520 days 10:14:16,
Average time from 'Reviewer Invitation Reminder 1' to 'SW-Reviewer Agreed',The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Agreed',13 days 08:15:45.025641,
Total time from 'Reviewer Invitation Reminder 1' to 'SW-Reviewer Agreed',The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Agreed',520 days 10:14:16,
Average time between 'Reviewer Invitation Reminder 1' and 'SW-Reviewer Declined',The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Declined',18 days 09:10:25.400000,
Total time between 'Reviewer Invitation Reminder 1' and 'SW-Reviewer Declined',The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Declined',367 days 15:28:28,
Average time from 'Reviewer Invitation Reminder 1' to 'SW-Reviewer Declined',The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Declined',18 days 09:10:25.400000,
Total time from 'Reviewer Invitation Reminder 1' to 'SW-Reviewer Declined',The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Declined',367 days 15:28:28,
Average time between 'Reviewer Invitation Reminder 1' and 'SW-Reviewer No Response',The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer No Response',48 days 08:17:54.200000,
Total time between 'Reviewer Invitation Reminder 1' and 'SW-Reviewer No Response',The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer No Response',241 days 17:29:31,
Average time from 'Reviewer Invitation Reminder 1' to 'SW-Reviewer No Response',The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer No Response',48 days 08:17:54.200000,
Total time from 'Reviewer Invitation Reminder 1' to 'SW-Reviewer No Response',The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer No Response',241 days 17:29:31,
Average time between 'Reviewer Invitation Reminder 1' and 'SW-Reviewer Unavailable',The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Unavailable',11 days 17:45:04.066667,
Total time between 'Reviewer Invitation Reminder 1' and 'SW-Reviewer Unavailable',The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Unavailable',176 days 02:16:01,
Average time from 'Reviewer Invitation Reminder 1' to 'SW-Reviewer Unavailable',The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Unavailable',11 days 17:45:04.066667,
Total time from 'Reviewer Invitation Reminder 1' to 'SW-Reviewer Unavailable',The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-Reviewer Unavailable',176 days 02:16:01,
Average time between 'Reviewer Invitation Reminder 1' and 'SW-AE Assign Reviewers',The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-AE Assign Reviewers',19 days 16:52:13.120000,
Total time between 'Reviewer Invitation Reminder 1' and 'SW-AE Assign Reviewers',The sum of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-AE Assign Reviewers',492 days 13:45:28,
Average time from 'Reviewer Invitation Reminder 1' to 'SW-AE Assign Reviewers',The average of the duration between activity 'Reviewer Invitation Reminder 1' and activity 'SW-AE Assign Reviewers',19 days 16:52:13.120000,
