Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all 'Declaration SUBMITTED by EMPLOYEE',Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all 'Declaration SUBMITTED by EMPLOYEE',0.77,
Number of times 'Declaration APPROVED by ADMINISTRATION' occurs after 'Declaration FINAL_APPROVED by SUPERVISOR',Number of 'Declaration APPROVED by ADMINISTRATION' activities for cases where activity 'Declaration FINAL_APPROVED by SUPERVISOR' occurs,8138.0,
Percentage of 'Declaration APPROVED by ADMINISTRATION' that are not followed by 'Declaration REJECTED by SUPERVISOR',Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all cases where 'Declaration REJECTED by SUPERVISOR' does not happen,0.76,
'Declaration APPROVED by ADMINISTRATION' that are preceded by 'Declaration SUBMITTED by EMPLOYEE',Number of 'Declaration APPROVED by ADMINISTRATION' activities for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs,8202.0,
Number of 'Declaration APPROVED by ADMINISTRATION' per year,"ERROR: computing metric {'count': ""activity == 'Declaration APPROVED by ADMINISTRATION'"", 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of 'Declaration APPROVED by ADMINISTRATION' by 'STAFF MEMBER' compared to 'Declaration APPROVED by PRE_APPROVER' by 'SYSTEM',Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all cases,,
Percentage of 'Declaration APPROVED by ADMINISTRATION' in relation to 'Declaration FINAL_APPROVED by SUPERVISOR',Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all 'Declaration FINAL_APPROVED by SUPERVISOR',0.79,
Number of times 'Declaration APPROVED by ADMINISTRATION' is followed by 'Payment Handled',Number of 'Declaration APPROVED by ADMINISTRATION' activities for cases where activity 'Payment Handled' occurs,8138.0,
Average number of 'Declaration APPROVED by ADMINISTRATION' in a month,"ERROR: computing metric {'count': ""activity == 'Declaration APPROVED by ADMINISTRATION'"", 'aggregation': 'average', 'group_by': 'month'}",,
