Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of 'Accepted + Assigned' leading to 'Completed + In Call',Frequency of activity 'Accepted + Assigned' for cases where activity 'Completed + In Call' occurs,35,
Percentage of 'Accepted + Assigned' out of all activities in the event log,Percentage of 'Accepted + Assigned' out of all cases,0.24,
Number of 'Accepted + Assigned' that are followed by 'Completed + Resolved',Number of 'Accepted + Assigned' activities for cases where activity 'Completed + Resolved' occurs,3116,
Percentage of 'Accepted + Assigned' followed by 'Completed + Resolved' out of all 'Completed + Resolved',Percentage of 'Accepted + Assigned' out of all 'Completed + Resolved',0.32,
Frequency of 'Accepted + Assigned' in variants leading to 'Completed + Closed',Frequency of activity 'Accepted + Assigned' for cases where activity 'Completed + Closed' occurs,1807,
Percentage of 'Accepted + Assigned' in cases with 'High' impact,Percentage of 'Accepted + Assigned' out of all cases,0.25,
Frequency of 'Accepted + Assigned' in cases involving 'PROD582',Frequency of activity 'Accepted + Assigned',5,
Percentage of 'Accepted + Assigned' followed by 'Accepted + In Progress',Percentage of 'Accepted + Assigned' out of all 'Accepted + In Progress',0.24,
Number of 'Accepted + Assigned' activities per month,"ERROR: computing metric {'count': ""activity == 'Accepted + Assigned'"", 'aggregation': 'total', 'group_by': 'month'}",,
Percentage of 'Accepted + Assigned' leading to a change in 'product',Percentage of 'Accepted + Assigned' out of all cases,0.24,
Frequency of 'Accepted + Assigned' in cases with 'Medium' impact compared to 'Low' impact,Frequency of activity 'Accepted + Assigned',914,
Percentage of 'Accepted + Assigned' followed by any activity other than 'Completed + In Call',Percentage of 'Accepted + Assigned' out of all cases where 'Completed + In Call' does not happen,0.24,
Number of 'Accepted + Assigned' activities that precede 'Queued + Awaiting Assignment',Number of 'Accepted + Assigned' activities for cases where activity 'Queued + Awaiting Assignment' occurs,2981,
Percentage of 'Accepted + Assigned' in the top 5 most frequent variants,Percentage of 'Accepted + Assigned' out of all cases,0.24,
Frequency of 'Accepted + Assigned' followed by 'Accepted + Wait - User',Frequency of activity 'Accepted + Assigned' for cases where activity 'Accepted + Wait - User' occurs,1101,
Percentage of 'Accepted + Assigned' in cases ending with 'Completed + Cancelled',Percentage of 'Accepted + Assigned' out of all 'Completed + Cancelled',0.0,
Number of 'Accepted + Assigned' activities in cases with performance above average,Number of 'Accepted + Assigned' activities,3121,
Percentage of 'Accepted + Assigned' leading to 'Completed + Resolved' in less than average time of the event log,Percentage of 'Accepted + Assigned' out of all cases,0.24,
