Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of \Awaiting Assignment to Batch\ occurring after \First Look-Your updates are overdue\,Frequency of activity 'Awaiting Assignment to Batch' for cases where activity 'First Look-Your updates are overdue' occurs,10.0,
Percentage of manuscripts that proceed to \Awaiting Assignment to Batch\ after \First Look Manuscript Submission Confirmation\,Percentage of 'Awaiting Assignment to Batch' out of all 'First Look Manuscript Submission Confirmation',0.96,
Number of times \Awaiting Assignment to Batch\ is the final activity before \Manuscript Export Succeeded\,Frequency of activity 'Awaiting Assignment to Batch' for cases where activity 'Manuscript Export Succeeded' occurs,26.0,
Percentage of \Awaiting Assignment to Batch\ out of all end-stage activities in the manuscript review process,Percentage of 'Awaiting Assignment to Batch' out of all cases,0.28,
Frequency of \Awaiting Assignment to Batch\ as a precursor to successful manuscript submission,Frequency of activity 'Awaiting Assignment to Batch' for cases where activity 'Original Manuscript Submission Confirmation' occurs,24.0,
Ratio of \Awaiting Assignment to Batch\ occurrences to \First Look-Please submit updates\ activities,Percentage of 'Awaiting Assignment to Batch' out of all 'First Look-Please submit updates',1.0,
Number of \Awaiting Assignment to Batch\ activities grouped by month to identify peak submission periods,"ERROR: computing metric {'count': ""activity == 'Awaiting Assignment to Batch'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'month'}",,
Percentage of \Awaiting Assignment to Batch\ followed by \Manuscript Export Succeeded\ within 30 days,Percentage of 'Awaiting Assignment to Batch' out of all 'Manuscript Export Succeeded',0.29,
Frequency of \Awaiting Assignment to Batch\ in manuscripts that require major revision versus those accepted,Frequency of activity 'Awaiting Assignment to Batch' for cases where activity 'SW-EIC Major Revision' occurs,13.0,
Percentage of manuscripts entering \Awaiting Assignment to Batch\ stage after \First Look-Your updates are due in one week\,Percentage of 'Awaiting Assignment to Batch' out of all 'First Look-Your updates are due in one week',0.95,
Number of \Awaiting Assignment to Batch\ occurrences that lead to a manuscript being withdrawn or rejected,Frequency of activity 'Awaiting Assignment to Batch' for cases where activity 'Manuscript is Withdrawn' occurs,0.0,
Ratio of \Awaiting Assignment to Batch\ over \Revised Manuscript Submission Confirmation\ to measure efficiency in the revision process,Percentage of 'Awaiting Assignment to Batch' out of all 'Revised Manuscript Submission Confirmation',0.88,
Percentage of \Awaiting Assignment to Batch\ activities that occur without prior \Reviewer Invitation Reminder 2\ indicating streamlined review process,Percentage of 'Awaiting Assignment to Batch' out of all cases where 'Reviewer Invitation Reminder 2' does not happen,0.28,
Frequency of \Awaiting Assignment to Batch\ as a direct follow-up to \Co-Author Account Created During Manuscript Submission\ indicating collaborative submissions,Frequency of activity 'Awaiting Assignment to Batch' for cases where activity 'Co-Author Account Created During Manuscript Submission' occurs,17.0,
Percentage of \Awaiting Assignment to Batch\ leading to \RW-EIC Accept\ as an indicator of successful editorial decisions,Percentage of 'Awaiting Assignment to Batch' out of all 'RW-EIC Accept',0.95,
