Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration APPROVED by ADMINISTRATION,The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION',2 days 14:16:11.181887,
Average time between Declaration APPROVED by ADMINISTRATION and Declaration FINAL_APPROVED by SUPERVISOR,The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration FINAL_APPROVED by SUPERVISOR',3 days 04:12:26.541851,
Total time for Declaration APPROVED by ADMINISTRATION across all cases,The sum of the duration between activity Declaration APPROVED by ADMINISTRATION and the end of the case,76387 days 09:04:32,
Average time until Declaration APPROVED by ADMINISTRATION is performed after Declaration SUBMITTED by EMPLOYEE,The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION',2 days 14:16:11.181887,
Minimum time from Declaration SUBMITTED by EMPLOYEE to Declaration APPROVED by ADMINISTRATION,The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION',0 days 00:00:01,
Average time from Declaration APPROVED by ADMINISTRATION to Request Payment,The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Request Payment',6 days 00:29:43.079227,
Total resolution time of Declaration APPROVED by ADMINISTRATION,The sum of the duration between activity Declaration APPROVED by ADMINISTRATION and the end of the case,76387 days 09:04:32,
Time from Declaration APPROVED by ADMINISTRATION to Declaration REJECTED by PRE_APPROVER in cases where it occurs,The average of the duration between activity Declaration APPROVED by ADMINISTRATION and activity Declaration REJECTED by PRE_APPROVER for cases where activity Declaration REJECTED by PRE_APPROVER occurs,,
Average waiting time to Declaration APPROVED by ADMINISTRATION after Declaration SUBMITTED by EMPLOYEE,The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION',2 days 14:16:11.181887,
Total time it takes Declaration APPROVED by ADMINISTRATION to be done after Declaration SUBMITTED by EMPLOYEE,The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION',20712 days 11:35:45,
Minimum time until Declaration APPROVED by ADMINISTRATION after any rejection,The minimum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration APPROVED by ADMINISTRATION',0 days 00:06:28,
Average time from Declaration APPROVED by ADMINISTRATION to the next activity in the process,The average of the duration between activity Declaration APPROVED by ADMINISTRATION and the end of the case,9 days 13:39:00.507579,
Total time from Declaration APPROVED by ADMINISTRATION to Payment Handled,The sum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Payment Handled',75549 days 06:01:41,
Minimum resolution time of Declaration APPROVED by ADMINISTRATION in the fastest case,The minimum of the duration between activity Declaration APPROVED by ADMINISTRATION and the end of the case,0 days 00:18:39,
Average time to reach Declaration APPROVED by ADMINISTRATION from the start of the case,The average of the duration between the start of the case and activity 'Declaration APPROVED by ADMINISTRATION',2 days 14:16:11.181887,
