Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of \Declaration APPROVED by PRE_APPROVER\ in the event log,Frequency of activity 'Declaration APPROVED by PRE_APPROVER',666,
Percentage of \Declaration APPROVED by PRE_APPROVER\ out of all activities in the event log,Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all cases,0.06,
Number of \Declaration APPROVED by PRE_APPROVER\ that are followed by \Declaration FINAL_APPROVED by SUPERVISOR\,Frequency of activity 'Declaration APPROVED by PRE_APPROVER' for cases where activity 'Declaration FINAL_APPROVED by SUPERVISOR' occurs,663,
Percentage of \Declaration APPROVED by PRE_APPROVER\ followed by \Request Payment\ out of all instances of \Declaration APPROVED by PRE_APPROVER\,Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Request Payment',0.07,
Frequency of \Declaration APPROVED by PRE_APPROVER\ in variants where it leads to \Payment Handled\,Frequency of activity 'Declaration APPROVED by PRE_APPROVER' for cases where activity 'Payment Handled' occurs,660,
Percentage of \Declaration APPROVED by PRE_APPROVER\ that are not followed by \Declaration REJECTED by SUPERVISOR\,Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all cases where 'Declaration REJECTED by SUPERVISOR' does not happen,0.06,
Number of \Declaration APPROVED by PRE_APPROVER\ with amounts above 100 euros,Number of 'Declaration APPROVED by PRE_APPROVER' activities > 100 where ma is the last value of case:Amount,139,
Percentage of \Declaration APPROVED by PRE_APPROVER\ by \STAFF MEMBER\,Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all cases,,
Number of \Declaration APPROVED by PRE_APPROVER\ grouped by \case:BudgetNumber\,Number of 'Declaration APPROVED by PRE_APPROVER' activities grouped by the last value of case:BudgetNumber,budget 86566:685,"{""budget 86566"":685}"
Percentage of \Declaration APPROVED by PRE_APPROVER\ followed by \Declaration FINAL_APPROVED by SUPERVISOR\ out of all \Declaration FINAL_APPROVED by SUPERVISOR\,Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration FINAL_APPROVED by SUPERVISOR',0.07,
Number of \Declaration APPROVED by PRE_APPROVER\ made per year,"ERROR: computing metric {'count': ""activity == 'Declaration APPROVED by PRE_APPROVER'"", 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of \Declaration APPROVED by PRE_APPROVER\ that lead to a successful \Payment Handled\,Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Payment Handled',0.07,
Number of \Declaration APPROVED by PRE_APPROVER\ in relation to \Declaration SUBMITTED by EMPLOYEE\,Number of 'Declaration APPROVED by PRE_APPROVER' activities for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs,685,
Percentage of \Declaration APPROVED by PRE_APPROVER\ out of all approval activities,Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration APPROVED by PRE_APPROVER',1.0,
Frequency of \Declaration APPROVED by PRE_APPROVER\ in the most common variant,Frequency of activity 'Declaration APPROVED by PRE_APPROVER',666,
Percentage of \Declaration APPROVED by PRE_APPROVER\ done after \Declaration SUBMITTED by EMPLOYEE\,Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration SUBMITTED by EMPLOYEE',0.06,
Average number of \Declaration APPROVED by PRE_APPROVER\ in a month,"ERROR: computing metric {'count': ""activity == 'Declaration APPROVED by PRE_APPROVER'"", 'aggregation': 'average', 'group_by': 'month'}",,
Percentage of \Declaration APPROVED by PRE_APPROVER\ with an increment in case amount,Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all cases,0.07,
Percentage of \Declaration APPROVED by PRE_APPROVER\ in variants that include \Declaration REJECTED by EMPLOYEE\,Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration REJECTED by EMPLOYEE',0.07,
Average number of \Declaration APPROVED by PRE_APPROVER\ that are followed by \Declaration FINAL_APPROVED by SUPERVISOR\ in a successful process variant,the average of the number of times `ACTIVITY` == 'Declaration APPROVED by PRE_APPROVER' filtered by the function ma > 0 where ma is the number of times `ACTIVITY` == 'Declaration FINAL_APPROVED by SUPERVISOR',0.07,
Percentage of \Declaration APPROVED by PRE_APPROVER\ in processes with penalty,Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all cases,0.07,
Total \Declaration APPROVED by PRE_APPROVER\ done by \SYSTEM\,Number of 'Declaration APPROVED by PRE_APPROVER' activities == 'SYSTEM' where ma is the last value of org:resource,679,
Fraction of \Declaration APPROVED by PRE_APPROVER\ that are dismissed in the process,Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration REJECTED by PRE_APPROVER',0.83,
Total \Declaration APPROVED by PRE_APPROVER\ performed by \STAFF MEMBER\,Number of 'Declaration APPROVED by PRE_APPROVER' activities == 'STAFF MEMBER' where ma is the last value of org:role,,
Ratio of \Declaration APPROVED by PRE_APPROVER\ over \Declaration REJECTED by PRE_APPROVER\,Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration REJECTED by PRE_APPROVER',0.83,
Occasions how often \Declaration APPROVED by PRE_APPROVER\ is performed in the top 3 most frequent variants,Frequency of activity 'Declaration APPROVED by PRE_APPROVER',666,
