Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'Declaration FOR_APPROVAL by ADMINISTRATION' to 'Declaration APPROVED by ADMINISTRATION',The average of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Declaration APPROVED by ADMINISTRATION',1 days 00:23:47,
Average time from 'Declaration FOR_APPROVAL by ADMINISTRATION' to 'Declaration REJECTED by PRE_APPROVER',The average of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Declaration REJECTED by PRE_APPROVER',,
Total time for 'Declaration FOR_APPROVAL by ADMINISTRATION' to reach 'Payment Handled',The sum of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Payment Handled',13 days 07:26:12,
Average waiting time to 'Declaration FOR_APPROVAL by ADMINISTRATION' after 'Declaration SUBMITTED by EMPLOYEE',The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FOR_APPROVAL by ADMINISTRATION',20 days 12:04:10,
Minimun time from 'Declaration FOR_APPROVAL by ADMINISTRATION' to 'Declaration FINAL_APPROVED by SUPERVISOR',The minimum of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Declaration FINAL_APPROVED by SUPERVISOR',7 days 02:28:03,
Average time it takes 'Declaration FOR_APPROVAL by ADMINISTRATION' to be followed by any approval activity,"ERROR: computing metric {'begin': ""activity == 'Declaration FOR_APPROVAL by ADMINISTRATION'"", 'end': ""activity == 'Declaration APPROVED by ADMINISTRATION' or activity == 'Declaration APPROVED by BUDGET OWNER' or activity == 'Declaration APPROVED by PRE_APPROVER'"", 'aggregation': 'average'}",,
Total resolution time of 'Declaration FOR_APPROVAL by ADMINISTRATION' for cases ending in 'Payment Handled',The sum of the duration between activity Declaration FOR_APPROVAL by ADMINISTRATION and activity Payment Handled for cases where activity Payment Handled occurs,13 days 07:26:12,
Average time for 'Declaration FOR_APPROVAL by ADMINISTRATION' in cases where 'Declaration REJECTED by PRE_APPROVER' occurs,The average of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and the end of case where activity 'Declaration REJECTED by PRE_APPROVER occurs,,
Minimun time to 'Declaration FOR_APPROVAL by ADMINISTRATION' after 'Declaration REJECTED by ADMINISTRATION',The minimum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration FOR_APPROVAL by ADMINISTRATION',20 days 11:44:01,
Total time from 'Declaration FOR_APPROVAL by ADMINISTRATION' to 'Request Payment',The sum of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Request Payment',8 days 23:30:32,
Average time from 'Declaration FOR_APPROVAL by ADMINISTRATION' to 'Declaration APPROVED by BUDGET OWNER',The average of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Declaration APPROVED by BUDGET OWNER',1 days 01:02:42,
Total time for 'Declaration FOR_APPROVAL by ADMINISTRATION' in variants leading to 'Payment Handled',The sum of the duration between activity Declaration FOR_APPROVAL by ADMINISTRATION and activity Payment Handled for cases where activity Payment Handled occurs,13 days 07:26:12,
Minimun resolution time of 'Declaration FOR_APPROVAL by ADMINISTRATION' in successful payment cases,The minimum of the duration between activity Declaration FOR_APPROVAL by ADMINISTRATION and activity Payment Handled for cases where activity Payment Handled occurs,13 days 07:26:12,
Average time it takes from 'Declaration FOR_APPROVAL by ADMINISTRATION' to the next activity in the most frequent variant,The average of the duration between activity Declaration FOR_APPROVAL by ADMINISTRATION and the end of the case,13 days 07:26:12,
Total time it takes 'Declaration FOR_APPROVAL by ADMINISTRATION' to be done in the longest variant path,The sum of the duration between activity Declaration FOR_APPROVAL by ADMINISTRATION and the end of the case,13 days 07:26:12,
