Name;Metric;Value;Agrupation
Percentage of Declaration FINAL_APPROVED by SUPERVISOR out of all Declaration SUBMITTED by EMPLOYEE;Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Declaration SUBMITTED by EMPLOYEE';0.97;
Number of Declaration FINAL_APPROVED by SUPERVISOR;Number of 'Declaration FINAL_APPROVED by SUPERVISOR' activities;10131;
Percentage of Declaration FINAL_APPROVED by SUPERVISOR that are preceded by Declaration APPROVED by ADMINISTRATION;Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Declaration APPROVED by ADMINISTRATION';0.99;
Percentage of Declaration FINAL_APPROVED by SUPERVISOR that are preceded by Declaration APPROVED by BUDGET OWNER;Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Declaration APPROVED by BUDGET OWNER';1.0;
Percentage of Declaration FINAL_APPROVED by SUPERVISOR in variants without Declaration REJECTED by PRE_APPROVER;Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all cases where 'Declaration REJECTED by PRE_APPROVER' does not happen;0.96;
Percentage of Declaration FINAL_APPROVED by SUPERVISOR from all Declaration FOR_APPROVAL by SUPERVISOR;Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Declaration FOR_APPROVAL by SUPERVISOR';0.0;
Number of Declaration FINAL_APPROVED by SUPERVISOR with amounts above 100 euros;Number of 'Declaration FINAL_APPROVED by SUPERVISOR' activities > 100 where ma is the last value of case:Amount;2337;
Percentage of Declaration FINAL_APPROVED by SUPERVISOR by STAFF MEMBER;Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all cases;;
Percentage of Declaration FINAL_APPROVED by SUPERVISOR followed by Request Payment;Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Request Payment';1.0;
Percentage of Declaration FINAL_APPROVED by SUPERVISOR in relation to Declaration REJECTED by SUPERVISOR;Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Declaration REJECTED by SUPERVISOR';0.73;
Percentage of Declaration FINAL_APPROVED by SUPERVISOR that are not eventually followed by Payment Handled;Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all cases where 'Payment Handled' does not happen;0.96;
Frequency of Declaration FINAL_APPROVED by SUPERVISOR occurring after Declaration REJECTED by ADMINISTRATION;Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Declaration REJECTED by ADMINISTRATION';0.75;
Percentage of Declaration FINAL_APPROVED by SUPERVISOR in variants with Declaration APPROVED by PRE_APPROVER;Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Declaration APPROVED by PRE_APPROVER';1.0;
