Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration FOR_APPROVAL by ADMINISTRATION,The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FOR_APPROVAL by ADMINISTRATION',20 days 12:04:10,
Average time from Declaration FOR_APPROVAL by ADMINISTRATION to Declaration FINAL_APPROVED by SUPERVISOR,The average of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Declaration FINAL_APPROVED by SUPERVISOR',7 days 02:28:03,
Total time for Declaration FOR_APPROVAL by ADMINISTRATION in the most frequent process variant,The sum of the duration between activity Declaration FOR_APPROVAL by ADMINISTRATION and the end of the case,13 days 07:26:12,
Minimum time from Declaration FOR_APPROVAL by ADMINISTRATION to Request Payment,The minimum of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Request Payment',8 days 23:30:32,
Maximum time from Declaration FOR_APPROVAL by ADMINISTRATION to Payment Handled across all variants,The maximum of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Payment Handled',13 days 07:26:12,
Average resolution time of Declaration FOR_APPROVAL by ADMINISTRATION for cases above median case amount,"ERROR: computing metric {'begin': ""activity == 'Declaration FOR_APPROVAL by ADMINISTRATION'"", 'end': '', 'aggregation': 'average', 'filter': 'case:Amount > median'}",,
Total resolution time of Declaration FOR_APPROVAL by ADMINISTRATION in cases with Declaration REJECTED by ADMINISTRATION,The sum of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and the end of case where activity 'Declaration REJECTED by ADMINISTRATION occurs,13 days 07:26:12,
Average time between Declaration FOR_APPROVAL by ADMINISTRATION and Declaration APPROVED by BUDGET OWNER,The average of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Declaration APPROVED by BUDGET OWNER',1 days 01:02:42,
Total time for Declaration FOR_APPROVAL by ADMINISTRATION in cases with Declaration REJECTED by SUPERVISOR,The sum of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and the end of case where activity 'Declaration REJECTED by SUPERVISOR occurs,13 days 07:26:12,
Minimum time to Declaration FOR_APPROVAL by ADMINISTRATION from Declaration SUBMITTED by EMPLOYEE,The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FOR_APPROVAL by ADMINISTRATION',20 days 12:04:10,
Average time it takes Declaration FOR_APPROVAL by ADMINISTRATION after Declaration APPROVED by ADMINISTRATION,The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration FOR_APPROVAL by ADMINISTRATION',8 days 15:37:08,
Total time it takes Declaration FOR_APPROVAL by ADMINISTRATION to be done in the top 5 longest variants,The sum of the duration between activity Declaration FOR_APPROVAL by ADMINISTRATION and the end of the case,13 days 07:26:12,
Minimum resolution time of Declaration FOR_APPROVAL by ADMINISTRATION in cases without rejections,The minimum of the duration between activity Declaration FOR_APPROVAL by ADMINISTRATION and the end of the case,13 days 07:26:12,
Average waiting time to Declaration FOR_APPROVAL by ADMINISTRATION in cases with Declaration APPROVED by PRE_APPROVER,The average of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration FOR_APPROVAL by ADMINISTRATION',,
Total time from Declaration FOR_APPROVAL by ADMINISTRATION to Declaration FINAL_APPROVED by SUPERVISOR in cases with Declaration REJECTED by EMPLOYEE,The sum of the duration between activity 'Declaration FOR_APPROVAL by ADMINISTRATION' and activity 'Declaration FINAL_APPROVED by SUPERVISOR',7 days 02:28:03,
