Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of 'SW-EIC Reject' compared to 'SW-Reviewer Agreed',Percentage of 'SW-EIC Reject' out of all 'SW-Reviewer Agreed',0.22,
Percentage of manuscripts that go from 'SW-Awaiting AE Recommendation' to 'SW-EIC Reject',Percentage of 'SW-EIC Reject' out of all 'SW-Awaiting AE Recommendation',0.31,
Number of 'SW-EIC Reject' occurrences after 'SW-Reviewer No Response',Number of 'SW-EIC Reject' activities for cases where activity 'SW-Reviewer No Response' occurs,1.0,
Percentage of 'SW-EIC Reject' out of all decisions made by EIC,Percentage of 'SW-EIC Reject' out of all cases,1.0,
Frequency of 'SW-EIC Reject' in relation to 'SW-EIC Major Revision',Percentage of 'SW-EIC Reject' out of all 'SW-EIC Major Revision',0.0,
Percentage of 'SW-EIC Reject' followed by 'Resubmission Manuscript Submission Confirmation',Percentage of 'SW-EIC Reject' out of all 'Resubmission Manuscript Submission Confirmation',0.0,
Number of 'SW-EIC Reject' occurrences per month,"ERROR: computing metric {'count': ""activity == 'SW-EIC Reject'"", 'aggregation': 'total', 'group_by': 'month'}",,
Percentage of 'SW-EIC Reject' that occur after 'SW-AE Assign Reviewers',Percentage of 'SW-EIC Reject' out of all 'SW-AE Assign Reviewers',0.2,
Frequency of 'SW-EIC Reject' before 'SW-Reviewer Agreed',Percentage of 'SW-EIC Reject' out of all 'SW-Reviewer Agreed',0.22,
Percentage of 'SW-EIC Reject' in manuscripts with 'Plagiarism Originality Report Completed',Percentage of 'SW-EIC Reject' out of all 'Plagiarism Originality Report Completed',0.37,
Number of 'SW-EIC Reject' for cases with more than one 'Reviewer Invitation Reminder 1',Number of 'SW-EIC Reject' activities for cases where activity 'Reviewer Invitation Reminder 1' occurs,9.0,
Percentage of 'SW-EIC Reject' in the total number of manuscripts processed,Percentage of 'SW-EIC Reject' out of all cases,0.37,
Frequency of 'SW-EIC Reject' in manuscripts that exceeded 'Plagiarism Percent Match Threshold Exceeded',Percentage of 'SW-EIC Reject' out of all 'Plagiarism Percent Match Threshold Exceeded',0.36,
Percentage of 'SW-EIC Reject' followed by 'Manuscript is Withdrawn',Percentage of 'SW-EIC Reject' out of all 'Manuscript is Withdrawn',0.0,
Number of 'SW-EIC Reject' in relation to 'SW-EIC Accept',Number of 'SW-EIC Reject' activities for cases where activity 'SW-EIC Accept' occurs,0.0,
Percentage of 'SW-EIC Reject' after 'SW-Checklist Completed',Percentage of 'SW-EIC Reject' out of all 'SW-Checklist Completed',0.4,
Frequency of 'SW-EIC Reject' in relation to the total number of 'SW-Awaiting EIC Decision',Percentage of 'SW-EIC Reject' out of all 'SW-Awaiting EIC Decision',0.27,
Percentage of 'SW-EIC Reject' for manuscripts with 'SW-Reviewer Selection is now due',Percentage of 'SW-EIC Reject' out of all 'SW-Reviewer Selection is now due',0.0,
Number of 'SW-EIC Reject' occurrences after 'SW-Reviewer Declined',Number of 'SW-EIC Reject' activities for cases where activity 'SW-Reviewer Declined' occurs,6.0,
"Percentage of 'SW-EIC Reject' in relation to all final decisions made (Accept, Major Revision, Minor Revision, Reject)",Percentage of 'SW-EIC Reject' out of all cases,1.0,
