Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of 'Completed + Resolved' out of all 'Completed + In Call',Percentage of 'Completed + Resolved' out of all 'Completed + In Call',0.07,
Frequency of 'Completed + Resolved',Percentage of 'Completed + Resolved' out of all cases,0.75,
Percentage of 'Completed + Resolved' followed by 'Completed + Closed',Percentage of 'Completed + Resolved' out of all 'Completed + Closed',1.0,
Number of 'Completed + Resolved' preceded by 'Accepted + In Progress',Frequency of activity 'Completed + Resolved' for cases where activity 'Accepted + In Progress' occurs,5645.0,
Percentage of 'Completed + Resolved' that are not dismissed,Percentage of 'Completed + Resolved' out of all cases where 'Completed + Cancelled' does not happen,0.75,
Percentage of 'Completed + Resolved' by 'Frederic',Percentage of 'Completed + Resolved' out of all cases,,
Number of 'Completed + Resolved' grouped by 'concept:name',"ERROR: computing metric {'count': ""activity == 'Completed + Resolved'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'concept:name'}",,
Percentage of 'Completed + Resolved' by 'Matt',Percentage of 'Completed + Resolved' out of all cases,0.04,
Percentage of 'Completed + Resolved' out of all 'Queued + Awaiting Assignment',Percentage of 'Completed + Resolved' out of all 'Queued + Awaiting Assignment',1.0,
Number of 'Completed + Resolved' in relation to 'Accepted + In Progress',Frequency of activity 'Completed + Resolved' for cases where activity 'Accepted + In Progress' occurs,5645.0,
Percentage of 'Completed + Resolved' that are rejected,Percentage of 'Completed + Resolved' out of all 'Completed + Cancelled',0.0,
Number of times 'Completed + Resolved' is performed,Number of 'Completed + Resolved' activities,6108.0,
Percentage of 'Completed + Resolved' done after 'Accepted + Wait - User',Percentage of 'Completed + Resolved' out of all 'Accepted + Wait - User',0.98,
Average number of 'Completed + Resolved',the average of the number of times `ACTIVITY` == 'Completed + Resolved',0.81,
Percentage of 'Completed + Resolved' with an increment,Percentage of 'Completed + Resolved' out of all cases,,
Percentage of 'Completed + Resolved' with appeal,Percentage of 'Completed + Resolved' out of all cases,,
Average number of 'Completed + Resolved' that are followed by 'Completed + Closed',the average of the number of times `ACTIVITY` == 'Completed + Resolved' filtered by the function ma > 0 where ma is the number of times `ACTIVITY` == 'Completed + Closed',1.08,
Percentage of 'Completed + Resolved' with penalty,Percentage of 'Completed + Resolved' out of all cases,,
Average number of 'Completed + Resolved' in a month,"ERROR: computing metric {'count': ""activity == 'Completed + Resolved'"", 'aggregation': 'average', 'group_by': 'month'}",,
Total 'Completed + Resolved' done by 'Lierson',Number of 'Completed + Resolved' activities == 'Lierson' where ma is the last value of org:resource,0.0,
Fraction of 'Completed + Resolved' that are dismissed,Percentage of 'Completed + Resolved' out of all 'Completed + Cancelled',0.0,
Total 'Completed + Resolved' performed by 'Anne Claire',Number of 'Completed + Resolved' activities == 'Anne Claire' where ma is the last value of org:resource,,
Ratio of 'Completed + Resolved' over 'Completed + In Call',Percentage of 'Completed + Resolved' out of all 'Completed + In Call',0.07,
Occasions how often the 'Completed + Resolved' is performed,Number of 'Completed + Resolved' activities,6108.0,
The ratio of 'Completed + Resolved' that are not eventually performed,Percentage of 'Completed + Resolved' out of all 'Completed + Cancelled',0.0,
Percentage of 'Completed + Resolved' in the variant 'Accepted + In Progress -> Accepted + In Progress -> Completed + Resolved -> Completed + Closed',Percentage of 'Completed + Resolved' out of all 'Accepted + In Progress',0.75,
Number of 'Completed + Resolved' in variants involving 'Accepted + In Progress',Number of 'Completed + Resolved' activities for cases where activity 'Accepted + In Progress' occurs,6087.0,
Percentage of 'Completed + Resolved' in variants involving 'Queued + Awaiting Assignment',Percentage of 'Completed + Resolved' out of all 'Queued + Awaiting Assignment',1.0,
Frequency of 'Completed + Resolved' in variants ending with 'Completed + Closed',Percentage of 'Completed + Resolved' out of all 'Completed + Closed',1.0,
Percentage of 'Completed + Resolved' in variants with 'Accepted + Wait - User',Percentage of 'Completed + Resolved' out of all 'Accepted + Wait - User',0.98,
Number of 'Completed + Resolved' in variants with 'Accepted + Assigned',Number of 'Completed + Resolved' activities for cases where activity 'Accepted + Assigned' occurs,2101.0,
