Name;Metric;Value;Agrupation
Percentage of \Request Payment\ activities directly followed by \Payment Handled\ activities.;Percentage of 'Request Payment' out of all 'Payment Handled';1.0;
Percentage of \Declaration FINAL_APPROVED by SUPERVISOR\ activities that lead to \Payment Handled\ within the same case.;Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Payment Handled';1.0;
Number of \Payment Handled\ activities with amounts above 100 euros.;Number of 'Payment Handled' activities > 100 where ma is the last value of case:Amount;2304;
Percentage of \Payment Handled\ activities by \SYSTEM\ resource.;Percentage of 'Payment Handled' out of all cases;1.0;
Frequency of \Payment Handled\ activities grouped by \case:BudgetNumber\.;Frequency of activity '{}' grouped by the last value of case:BudgetNumber;budget 86566:10044;"{""budget 86566"":10044}"
Percentage of \Payment Handled\ activities in cases where \Declaration REJECTED by PRE_APPROVER\ occurred.;Percentage of 'Payment Handled' out of all 'Declaration REJECTED by PRE_APPROVER';0.89;
Ratio of \Payment Handled\ activities over \Declaration SUBMITTED by EMPLOYEE\ activities.;Percentage of 'Payment Handled' out of all 'Declaration SUBMITTED by EMPLOYEE';0.97;
Percentage of \Payment Handled\ activities that are not dismissed (considering all \Payment Handled\ as not dismissed for simplification).;Percentage of 'Payment Handled' out of all cases;0.96;
Frequency of \Payment Handled\ activities in relation to the total number of activities in the event log.;Percentage of 'Payment Handled' out of all cases;0.96;
Percentage of cases with \Payment Handled\ that also include \Declaration APPROVED by ADMINISTRATION\.;Percentage of 'Payment Handled' out of all 'Declaration APPROVED by ADMINISTRATION';0.99;
Number of \Payment Handled\ activities that occur after \Declaration APPROVED by BUDGET OWNER\.;Number of 'Payment Handled' activities for cases where activity 'Declaration APPROVED by BUDGET OWNER' occurs;2798;
Total \Payment Handled\ activities performed by \SYSTEM\.;Number of 'Payment Handled' activities == 'SYSTEM' where ma is the last value of org:resource;10043;
Ratio of \Payment Handled\ activities in cases with \Declaration REJECTED by PRE_APPROVER\ over total \Payment Handled\ activities.;Percentage of 'Payment Handled' out of all 'Declaration REJECTED by PRE_APPROVER';0.89;
Occasions how often the \Payment Handled\ is performed after \Request Payment\.;Frequency of activity 'Payment Handled' for cases where activity 'Request Payment' occurs;10037;
The ratio of \Payment Handled\ activities in cases that follow the variant ending with \Payment Handled\ without any rejections.;Percentage of 'Payment Handled' out of all cases where 'Declaration REJECTED by PRE_APPROVER' does not happen;0.96;
Percentage of \Payment Handled\ activities in cases where \Declaration REJECTED by PRE_APPROVER\ is followed by a resubmission of the declaration.;Percentage of 'Payment Handled' out of all 'Declaration REJECTED by PRE_APPROVER';0.89;
Frequency of \Payment Handled\ activities in cases exceeding the average performance time from \Declaration SUBMITTED by EMPLOYEE\ to \Payment Handled\.;Frequency of activity 'Payment Handled' for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs;10043;
