Name,Metric,Value,Agrupation
,ERROR: computing metric {},nan,nan
Percentage of 'Declaration APPROVED by BUDGET OWNER' by 'STAFF MEMBER',Percentage of 'Declaration APPROVED by BUDGET OWNER' out of all cases,nan,nan
Total \Declaration APPROVED by ADMINISTRATION\ done by \STAFF MEMBER\,Number of 'Declaration APPROVED by ADMINISTRATION' activities == 'STAFF MEMBER' where ma is the last value of org:role,nan,nan
Number of \Declaration REJECTED by MISSING\ occurrences per month,"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by MISSING'"", 'aggregation': 'total', 'group_by': 'month'}",nan,nan
Percentage of \Request Payment\ activities directly followed by \Payment Handled\,Percentage of 'Request Payment' out of all 'Payment Handled',1.0,nan
Number of \Payment Handled\ activities with amounts above 100 euros,Number of 'Payment Handled' activities > 100 where ma is the last value of case:Amount,2304,nan
Percentage of \Declaration FINAL_APPROVED by SUPERVISOR\ leading to \Payment Handled\,Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all 'Payment Handled',1.0,nan
Ratio of \Payment Handled\ over \Declaration SUBMITTED by EMPLOYEE\,Percentage of 'Payment Handled' out of all 'Declaration SUBMITTED by EMPLOYEE',0.97,nan
Percentage of \Declaration FOR_APPROVAL by PRE_APPROVER\ with penalty,Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' out of all 'Penalty',nan,nan
Percentage of Declaration APPROVED by ADMINISTRATION with penalty,Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all 'Penalty',nan,nan
Average time from \Declaration SUBMITTED by EMPLOYEE\ to \Payment Handled\,the average of the number of times `ACTIVITY` == 'Payment Handled' filtered by the function ma > 0 where ma is the number of times `ACTIVITY` == 'Declaration SUBMITTED by EMPLOYEE',0.97,nan
Percentage of \Declaration FOR_APPROVAL by SUPERVISOR\ that lead to a request for additional information,Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all 'Request for additional information',nan,nan
Percentage of \Payment Handled\ activities by \STAFF MEMBER\,Percentage of 'Payment Handled' out of all cases,nan,nan
Total \Payment Handled\ activities performed by \SYSTEM\,Number of 'Payment Handled' activities == 'SYSTEM' where ma is the last value of org:resource,10043,nan
Number of 'Declaration REJECTED by PRE_APPROVER' made per year,"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by PRE_APPROVER'"", 'aggregation': 'total', 'group_by': 'year'}",nan,nan
Frequency of \Payment Handled\ activities in the most common variant,Percentage of 'Payment Handled' out of all cases,0.96,nan
Percentage of cases with \Payment Handled\ that exceed the average case amount,"ERROR: computing metric {'count': ""activity == 'Payment Handled'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'case:Amount > average'}",nan,nan
Number of \Payment Handled\ activities grouped by \case:BudgetNumber\,Number of 'Payment Handled' activities grouped by the last value of case:BudgetNumber,budget 86566:10044,"{""budget 86566"":10044}"
Percentage of \Payment Handled\ activities in cases with more than 5 activities,"ERROR: computing metric {'count': ""activity == 'Payment Handled'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'case:id > 5'}",nan,nan
Number of \Declaration REJECTED by EMPLOYEE\ made per year,"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by EMPLOYEE'"", 'aggregation': 'total', 'group_by': 'year', 'filter': ''}",nan,nan
Fraction of \Declaration APPROVED by PRE_APPROVER\ that are dismissed,Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Dismissed',nan,nan
Ratio of \Payment Handled\ activities in cases with \Declaration APPROVED by ADMINISTRATION\ versus those without,Percentage of 'Payment Handled' out of all 'Declaration APPROVED by ADMINISTRATION',0.99,nan
Percentage of Declaration REJECTED by ADMINISTRATION with appeal,Percentage of 'Declaration REJECTED by ADMINISTRATION' out of all 'Appeal',nan,nan
Frequency of 'Declaration REJECTED by SUPERVISOR' made per year,"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by SUPERVISOR'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'year'}",nan,nan
Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' by 'STAFF MEMBER',Percentage of 'Declaration FOR_APPROVAL by ADMINISTRATION' out of all cases,nan,nan
Frequency of \Payment Handled\ activities in the last month of the event log,"ERROR: computing metric {'count': ""activity == 'Payment Handled'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'group_by': 'month'}",nan,nan
Percentage of \Payment Handled\ activities that conclude a case,Percentage of 'Payment Handled' out of all 'case:conclude',nan,nan
Percentage of 'Declaration REJECTED by BUDGET OWNER' in cases with a case amount greater than the average case amount,"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by BUDGET OWNER'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'case:Amount > average'}",nan,nan
Number of \Payment Handled\ activities that occur after \Request Payment\ within 24 hours,Number of 'Payment Handled' activities for cases where activity 'Request Payment' occurs,10037,nan
Percentage of \Payment Handled\ activities in cases with \Declaration REJECTED by EMPLOYEE\,Percentage of 'Payment Handled' out of all 'Declaration REJECTED by EMPLOYEE',0.76,nan
Average number of days from \Declaration SUBMITTED by EMPLOYEE\ to \Payment Handled\ per case,the average of the number of times `ACTIVITY` == 'Payment Handled' filtered by the function ma > 0 where ma is the number of times `ACTIVITY` == 'Declaration SUBMITTED by EMPLOYEE',0.97,nan
Frequency of \Request Payment\ activities in the most common process variant,"ERROR: computing metric {'count': ""activity == 'Request Payment'"", 'metric_condition': '> 0', 'aggregation': 'frequency'}",nan,nan
Ratio of \Payment Handled\ activities in cases above the median case amount versus below,"ERROR: computing metric {'count': ""activity == 'Payment Handled'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'case:Amount > median'}",nan,nan
Percentage of Declaration FINAL_APPROVED by SUPERVISOR by STAFF MEMBER,Percentage of 'Declaration FINAL_APPROVED by SUPERVISOR' out of all cases,nan,nan
