Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of 'SW-AE Assign Reviewers' before 'SW-Reviewer Agreed',Percentage of 'SW-AE Assign Reviewers' out of all 'SW-Reviewer Agreed',0.98,
Number of 'SW-AE Assign Reviewers',Number of 'SW-AE Assign Reviewers' activities,143.0,
Percentage of 'SW-AE Assign Reviewers' out of all 'SW-Reviewer Declined',Percentage of 'SW-AE Assign Reviewers' out of all 'SW-Reviewer Declined',0.97,
Number of 'SW-AE Assign Reviewers' that are preceded by 'SW-Reviewer Selection is due in 1 week',Number of 'SW-AE Assign Reviewers' activities for cases where activity 'SW-Reviewer Selection is due in 1 week' occurs,111.0,
Percentage of 'SW-AE Assign Reviewers' that lead to 'SW-Awaiting EIC Decision',Percentage of 'SW-AE Assign Reviewers' out of all 'SW-Awaiting EIC Decision',0.76,
Percentage of 'SW-AE Assign Reviewers' from all 'Reviewer Invitation Reminder 1',Percentage of 'SW-AE Assign Reviewers' out of all 'Reviewer Invitation Reminder 1',0.89,
Number of 'SW-AE Assign Reviewers' followed by 'Reviewer Invitation Reminder 2',Number of 'SW-AE Assign Reviewers' activities for cases where activity 'Reviewer Invitation Reminder 2' occurs,119.0,
Percentage of 'SW-AE Assign Reviewers' followed by 'SW-Reviewer Agreed',Percentage of 'SW-AE Assign Reviewers' out of all 'SW-Reviewer Agreed',0.98,
"Number of 'SW-AE Assign Reviewers' grouped by 'case:concept:name',""ERROR: computing metric {'count': """"activity == 'SW-AE Assign Reviewers'"""", 'aggregation': 'total', 'group_by': 'case:concept:name'}"",,"
Percentage of 'SW-AE Assign Reviewers' by 'performer',Percentage of 'SW-AE Assign Reviewers' out of all cases,0.49,
Percentage of 'SW-AE Assign Reviewers' followed by 'SW-Reviewer Declined',Percentage of 'SW-AE Assign Reviewers' out of all 'SW-Reviewer Declined',0.97,
Percentage of 'SW-AE Assign Reviewers' that are followed by 'SW-EIC Major Revision',Percentage of 'SW-AE Assign Reviewers' out of all 'SW-EIC Major Revision',1.0,
Number of 'SW-AE Assign Reviewers' in relation to 'SW-Reviewer No Response',Number of 'SW-AE Assign Reviewers' activities for cases where activity 'SW-Reviewer No Response' occurs,34.0,
Percentage of 'SW-AE Assign Reviewers',Percentage of 'SW-AE Assign Reviewers' out of all cases,0.49,
Number of times 'SW-AE Assign Reviewers' is performed,Number of 'SW-AE Assign Reviewers' activities,143.0,
Percentage of 'SW-AE Assign Reviewers' done after 'SW-Reviewer Selection is now due',Percentage of 'SW-AE Assign Reviewers' out of all 'SW-Reviewer Selection is now due',0.92,
Total 'SW-AE Assign Reviewers' done by 'SYSTEM',Number of 'SW-AE Assign Reviewers' activities == 'SYSTEM' where ma is the last value of performer,135.0,
Fraction of 'SW-AE Assign Reviewers' that lead to 'SW-EIC Accept',Percentage of 'SW-AE Assign Reviewers' out of all 'SW-EIC Accept',0.0,
Total 'SW-AE Assign Reviewers' performed by 'SYSTEM',Number of 'SW-AE Assign Reviewers' activities == 'SYSTEM' where ma is the last value of performer,135.0,
Ratio of 'SW-AE Assign Reviewers' over 'SW-Reviewer Agreed',Percentage of 'SW-AE Assign Reviewers' out of all 'SW-Reviewer Agreed',0.98,
Occasions how often 'SW-AE Assign Reviewers' is performed before 'SW-Reviewer No Response',Percentage of 'SW-AE Assign Reviewers' out of all 'SW-Reviewer No Response',1.0,
