Name;Metric;Value;Agrupation
Average time from \Declaration SUBMITTED by EMPLOYEE\ to \Declaration APPROVED by ADMINISTRATION\;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';2.59 days;
Average time from \Declaration SUBMITTED by EMPLOYEE\ to \Declaration REJECTED by PRE_APPROVER\;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by PRE_APPROVER';2.90 days;
Total time for \Declaration SUBMITTED by EMPLOYEE\ to reach \Payment Handled\;The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Payment Handled';116674.72 days;
Minimum time from \Declaration SUBMITTED by EMPLOYEE\ to \Declaration FINAL_APPROVED by SUPERVISOR\;The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';1.00 seconds;
Average time for \Declaration SUBMITTED by EMPLOYEE\ until \Request Payment\;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Request Payment';8.00 days;
Total resolution time of \Declaration SUBMITTED by EMPLOYEE\;The sum of the duration between activity Declaration SUBMITTED by EMPLOYEE and the end of the case;120999.99 days;
Average waiting time to \Declaration APPROVED by ADMINISTRATION\ after \Declaration SUBMITTED by EMPLOYEE\;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';2.59 days;
Minimum time it takes \Declaration SUBMITTED by EMPLOYEE\ to be followed by \Declaration REJECTED by PRE_APPROVER\;The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by PRE_APPROVER';2.00 seconds;
Total time it takes from \Declaration SUBMITTED by EMPLOYEE\ to \Declaration APPROVED by BUDGET OWNER\;The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by BUDGET OWNER';12645.83 days;
Average time from \Declaration SUBMITTED by EMPLOYEE\ to \Declaration REJECTED by ADMINISTRATION\;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by ADMINISTRATION';8.33 days;
Total time from \Declaration SUBMITTED by EMPLOYEE\ to \Declaration REJECTED by EMPLOYEE\;The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by EMPLOYEE';10670.89 days;
Minimum resolution time of \Declaration SUBMITTED by EMPLOYEE\ to \Payment Handled\;The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Payment Handled';1.06 days;
Average time for \Declaration SUBMITTED by EMPLOYEE\ across different departments (grouped by \org:resource\);The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and the end of case grouped by the last value of org:resource;STAFF MEMBER:13.42 days;"{""STAFF MEMBER"":1159717108,""SYSTEM"":1003765260}"
Total time for \Declaration SUBMITTED by EMPLOYEE\ in cases leading to \Declaration REJECTED by PRE_APPROVER\;The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by PRE_APPROVER';234.64 days;
Average time from \Declaration SUBMITTED by EMPLOYEE\ to \Declaration APPROVED by PRE_APPROVER\ in successful cases;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration APPROVED by PRE_APPROVER';2.40 days;
