Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration FINAL_APPROVED by SUPERVISOR,The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR',"4 days, 19:56:10.538034",
Median time from Declaration APPROVED by ADMINISTRATION to Declaration FINAL_APPROVED by SUPERVISOR,The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration FINAL_APPROVED by SUPERVISOR',"3 days, 4:12:26.541851",
Maximum time from Declaration APPROVED by BUDGET OWNER to Declaration FINAL_APPROVED by SUPERVISOR,The maximum of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR',"85 days, 3:47:12",
Average time between Declaration FINAL_APPROVED by SUPERVISOR and Request Payment,The average of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Request Payment',"3 days, 7:02:46.683005",
Total time from Declaration SUBMITTED by EMPLOYEE to Declaration FINAL_APPROVED by SUPERVISOR across all cases,The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR',"48644 days, 22:08:38",
Average time for Declaration FINAL_APPROVED by SUPERVISOR to be followed by Payment Handled,The average of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Payment Handled',"6 days, 22:05:25.988449",
Earliest time to Declaration FINAL_APPROVED by SUPERVISOR from Declaration SUBMITTED by EMPLOYEE,The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR',0:00:01,
Latest time to Declaration FINAL_APPROVED by SUPERVISOR from Declaration SUBMITTED by EMPLOYEE,The maximum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR',"362 days, 21:02:35",
Average time from Declaration FINAL_APPROVED by SUPERVISOR to Payment Handled in cases where Declaration APPROVED by PRE_APPROVER is involved,The average of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Payment Handled',"8 days, 0:41:28.190909",
Difference in average time to Declaration FINAL_APPROVED by SUPERVISOR between domestic declarations and pre-paid travel costs,The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR',"4 days, 19:56:10.538034",
Average time from Declaration FINAL_APPROVED by SUPERVISOR to Request Payment in cases requiring director approval,The average of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Request Payment',,
Total resolution time from Declaration SUBMITTED by EMPLOYEE to Payment Handled including Declaration FINAL_APPROVED by SUPERVISOR,The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Payment Handled',"116674 days, 17:20:16",
"Average time from Declaration FINAL_APPROVED by SUPERVISOR to Payment Handled, grouped by case:BudgetNumber",The average of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Payment Handled',budget 86566:6 days 22:05:25.988449,"{""budget 86566"":597925988}"
Minimum time from Declaration FINAL_APPROVED by SUPERVISOR to Payment Handled in the most frequent process variant,The minimum of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Payment Handled',23:36:15,
Maximum waiting time to Declaration FINAL_APPROVED by SUPERVISOR in cases where Declaration REJECTED by ADMINISTRATION occurred,The maximum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration FINAL_APPROVED by SUPERVISOR',"150 days, 2:14:08",
Average time from Declaration FINAL_APPROVED by SUPERVISOR to Payment Handled in cases with Declaration REJECTED by EMPLOYEE,The average of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Payment Handled',"6 days, 22:15:13.867171",
Time from Declaration FINAL_APPROVED by SUPERVISOR to Payment Handled in the variant with the highest performance,The minimum of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Payment Handled',23:36:15,
Cycle time of Declaration FINAL_APPROVED by SUPERVISOR in the context of the entire process flow,The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Payment Handled',"116674 days, 17:20:16",
"Average elapsed time between Declaration APPROVED by ADMINISTRATION and Declaration FINAL_APPROVED by SUPERVISOR, compared to time between Declaration APPROVED by BUDGET OWNER and Declaration FINAL_APPROVED by SUPERVISOR",The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration FINAL_APPROVED by SUPERVISOR',"3 days, 4:12:26.541851",
