Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of SW-Reviewer Agreed out of all activities,Percentage of 'SW-Reviewer Agreed' out of all cases where 'SW-Reviewer Agreed' does not happen,0.49,
Number of SW-Reviewer Agreed,Number of 'SW-Reviewer Agreed' activities,110,
Percentage of SW-Reviewer Agreed before SW-Awaiting EIC Decision,Percentage of 'SW-Reviewer Agreed' out of all 'SW-Awaiting EIC Decision',0.76,
Number of SW-Reviewer Agreed preceded by SW-AE Assign Reviewers,Number of 'SW-Reviewer Agreed' activities for cases where activity 'SW-AE Assign Reviewers' occurs,107,
Percentage of SW-Reviewer Agreed that are not dismissed,Percentage of 'SW-Reviewer Agreed' out of all cases where 'dismissed' does not happen,0.49,
Percentage of SW-Reviewer Agreed out of all SW-Reviewer Declined,Percentage of 'SW-Reviewer Agreed' out of all 'SW-Reviewer Declined',1.0,
Number of SW-Reviewer Agreed grouped by case:concept:name,"ERROR: computing metric {'count': ""activity == 'SW-Reviewer Agreed'"", 'aggregation': 'total', 'group_by': 'concept:name'}",,
Number of SW-Reviewer Agreed made per year,"ERROR: computing metric {'count': ""activity == 'SW-Reviewer Agreed'"", 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of SW-Reviewer Agreed followed by SW-Awaiting EIC Decision,Percentage of 'SW-Reviewer Agreed' out of all 'SW-Awaiting EIC Decision',0.76,
Number of SW-Reviewer Agreed in relation to SW-Reviewer Declined,Number of 'SW-Reviewer Agreed' activities for cases where activity 'SW-Reviewer Declined' occurs,74,
Percentage of SW-Reviewer Agreed in process variants,"ERROR: computing metric {'count': ""activity == 'SW-Reviewer Agreed'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'group_by': 'concept:name'}",,
Average number of SW-Reviewer Agreed,the average of the number of times `ACTIVITY` == 'SW-Reviewer Agreed',1.18,
Percentage of SW-Reviewer Agreed with an increment,Percentage of 'SW-Reviewer Agreed' out of all 'increment',,
Percentage of SW-Reviewer Agreed with appeal,Percentage of 'SW-Reviewer Agreed' out of all 'appeal',,
Average number of SW-Reviewer Agreed that are followed by SW-Awaiting EIC Decision,the average of the number of times `ACTIVITY` == 'SW-Reviewer Agreed' filtered by the function ma > 0 where ma is the number of times `ACTIVITY` == 'SW-Awaiting EIC Decision',1.83,
Percentage of SW-Reviewer Agreed with penalty,Percentage of 'SW-Reviewer Agreed' out of all 'penalty',,
Average number of SW-Reviewer Agreed in a month,"ERROR: computing metric {'count': ""activity == 'SW-Reviewer Agreed'"", 'aggregation': 'average', 'group_by': 'month'}",,
Fraction of SW-Reviewer Agreed that are dismissed,Percentage of 'SW-Reviewer Agreed' out of all 'dismissed',,
Ratio of SW-Reviewer Agreed over SW-Reviewer Declined,Number of 'SW-Reviewer Agreed' activities for cases where activity 'SW-Reviewer Declined' occurs,74,
Occasions how often SW-Reviewer Agreed is performed,Number of 'SW-Reviewer Agreed' activities,110,
The ratio of SW-Reviewer Agreed that are not eventually performed,Number of 'SW-Reviewer Agreed' activities for cases where activity 'performed' does not occur,110,
Percentage of SW-Reviewer Agreed before SW-Awaiting AE Assignment,Percentage of 'SW-Reviewer Agreed' out of all 'SW-Awaiting AE Assignment',0.42,
Percentage of SW-Reviewer Agreed before SW-Initial Reviewer Selection,Percentage of 'SW-Reviewer Agreed' out of all 'SW-Initial Reviewer Selection',0.75,
Percentage of SW-Reviewer Agreed before SW-EIC Major Revision,Percentage of 'SW-Reviewer Agreed' out of all 'SW-EIC Major Revision',0.93,
Percentage of SW-Reviewer Agreed before SW-EIC Reject,Percentage of 'SW-Reviewer Agreed' out of all 'SW-EIC Reject',0.29,
Percentage of SW-Reviewer Agreed before SW-EIC Reject & Resubmit,"ERROR: computing metric {'count': ""activity == 'SW-Reviewer Agreed'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity == 'SW-EIC Reject & Resubmit'""}",,
Number of SW-Reviewer Agreed followed by SW-Reviewer Declined,Number of 'SW-Reviewer Agreed' activities for cases where activity 'SW-Reviewer Declined' occurs,74,
