Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'Accepted + Wait - Customer' to 'Completed + In Call',The average of the duration between activity 'Accepted + Wait - Customer' and activity 'Completed + In Call',0 days 00:15:32,
Average resolution time of 'Accepted + Wait - Customer' before transitioning to 'Accepted + In Progress',The average of the duration between activity 'Accepted + Wait - Customer' and activity 'Accepted + In Progress',12 days 02:18:14.523810,
Total time spent in 'Accepted + Wait - Customer' across all cases,The sum of the duration between activity Accepted + Wait - Customer and the end of the case,1400 days 12:36:34,
Average time it takes 'Accepted + Wait - Customer' to transition to any subsequent activity,The average of the duration between activity Accepted + Wait - Customer and the end of the case,16 days 06:50:39.465116,
Minimum time spent in 'Accepted + Wait - Customer' before moving to 'Completed + Resolved',The minimum of the duration between activity 'Accepted + Wait - Customer' and activity 'Completed + Resolved',0 days 00:01:16,
Maximum time spent in 'Accepted + Wait - Customer' before moving to 'Queued + Awaiting Assignment',The maximum of the duration between activity 'Accepted + Wait - Customer' and activity 'Queued + Awaiting Assignment',34 days 03:36:17,
Difference in average time spent in 'Accepted + Wait - Customer' versus 'Accepted + Wait - Vendor',The average of the duration between activity 'Accepted + Wait - Customer' and activity 'Accepted + Wait - Vendor',3 days 15:30:23,
Total resolution time of cases involving 'Accepted + Wait - Customer',The sum of the duration between activity Accepted + Wait - Customer and the end of the case,1400 days 12:36:34,
Average time between 'Accepted + Wait - Customer' and the next occurrence of 'Accepted + Wait - Customer',The average of the duration between activity 'Accepted + Wait - Customer' and activity 'Accepted + Wait - Customer',0 days 19:47:59.313953,
Time from 'Accepted + Wait - Customer' to 'Completed + Closed' in the fastest resolved case,The minimum of the duration between activity 'Accepted + Wait - Customer' and activity 'Completed + Closed',0 days 09:00:01,
Longest time spent in 'Accepted + Wait - Customer' across all variants,the maximum of the duration between the first time instant when `ACTIVITY` == 'Accepted + Wait - Customer' and the last time instant when <ppinot4py.model.states.RuntimeState object at 0x00000158FAB73550> - AppliesTo.PROCESS,83 days 15:09:54,
Average time from 'Accepted + Wait - Customer' to 'Completed + In Call' in cases with high impact,The average of the duration between activity 'Accepted + Wait - Customer' and activity 'Completed + In Call',,
Total time from first 'Accepted + Wait - Customer' occurrence to last 'Completed + Resolved' in a case,The sum of the duration between activity 'Accepted + Wait - Customer' and activity 'Completed + Resolved',955 days 21:20:31,
Average time to resolve a case starting with 'Accepted + Wait - Customer',The average of the duration between activity Accepted + Wait - Customer and the end of the case,16 days 06:50:39.465116,
Time difference between earliest and latest 'Accepted + Wait - Customer' across the event log,The maximum of the duration between activity 'Accepted + Wait - Customer' and activity 'Accepted + Wait - Customer',30 days 01:14:36,
Average time from 'Accepted + Wait - Customer' to 'Accepted + Assigned' compared to 'Accepted + Wait - Customer' to 'Accepted + Wait - Implementation',The average of the duration between activity 'Accepted + Wait - Customer' and activity 'Accepted + Assigned',9 days 07:37:52.533333,
