Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of 'Declaration REJECTED by SUPERVISOR' out of all rejections,Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration REJECTED by SUPERVISOR',1.0,
Frequency of 'Declaration REJECTED by SUPERVISOR',Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases,0.03,
Percentage of 'Declaration REJECTED by SUPERVISOR' before 'Declaration REJECTED by EMPLOYEE',Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration REJECTED by EMPLOYEE',0.23,
Number of 'Declaration REJECTED by SUPERVISOR' that are preceded by 'Declaration APPROVED by ADMINISTRATION',Frequency of activity 'Declaration REJECTED by SUPERVISOR' for cases where activity 'Declaration APPROVED by ADMINISTRATION' occurs,218,
Percentage of 'Declaration REJECTED by SUPERVISOR' that are not dismissed,Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases where 'Declaration REJECTED by MISSING' does not happen,0.03,
Percentage of 'Declaration REJECTED by SUPERVISOR' from all 'Declaration SUBMITTED by EMPLOYEE',Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration SUBMITTED by EMPLOYEE',0.03,
Number of 'Declaration REJECTED by SUPERVISOR' with amounts above 100 euros,Frequency of activity 'Declaration REJECTED by SUPERVISOR',79,
Percentage of 'Declaration REJECTED by SUPERVISOR' by 'STAFF MEMBER',Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases,,
Number of 'Declaration REJECTED by SUPERVISOR' grouped by 'case:BudgetNumber',Frequency of activity '{}' grouped by the last value of case:BudgetNumber,budget 86566:281,"{""budget 86566"":281}"
Percentage of 'Declaration REJECTED by SUPERVISOR' by worker,Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases,,
Percentage of 'Declaration REJECTED by SUPERVISOR' followed by 'Declaration REJECTED by EMPLOYEE',Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration REJECTED by EMPLOYEE',0.23,
Number of 'Declaration REJECTED by SUPERVISOR' made per year,"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by SUPERVISOR'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of 'Declaration REJECTED by SUPERVISOR' that are rejected,Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases,0.03,
Number of 'Declaration REJECTED by SUPERVISOR' in relation to 'Declaration APPROVED by SUPERVISOR',Frequency of activity 'Declaration REJECTED by SUPERVISOR' for cases where activity 'Declaration APPROVED by SUPERVISOR' occurs,,
Percentage of 'Declaration REJECTED by SUPERVISOR',Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases,0.03,
Number of times 'Declaration REJECTED by SUPERVISOR' is performed,Frequency of activity 'Declaration REJECTED by SUPERVISOR',281,
Percentage of 'Declaration REJECTED by SUPERVISOR' done after 'Declaration APPROVED by ADMINISTRATION',Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration APPROVED by ADMINISTRATION',0.03,
Average number of 'Declaration REJECTED by SUPERVISOR',Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases,0.03,
Percentage of 'Declaration REJECTED by SUPERVISOR' with an increment,"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by SUPERVISOR'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'case:Amount > previous_case:Amount'}",,
Percentage of 'Declaration REJECTED by SUPERVISOR' with appeal,Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases,0.03,
Average number of 'Declaration REJECTED by SUPERVISOR' that are followed by 'Declaration REJECTED by EMPLOYEE',Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration REJECTED by EMPLOYEE',0.23,
Percentage of 'Declaration REJECTED by SUPERVISOR' with penalty,Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases,0.03,
Average number of 'Declaration REJECTED by SUPERVISOR' in a month,"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by SUPERVISOR'"", 'metric_condition': '> 0', 'aggregation': 'average', 'group_by': 'month'}",,
Total 'Declaration REJECTED by SUPERVISOR' done by 'STAFF MEMBER',Frequency of activity 'Declaration REJECTED by SUPERVISOR',,
Fraction of 'Declaration REJECTED by SUPERVISOR' that are dismissed,Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases,0.03,
Total 'Declaration REJECTED by SUPERVISOR' performed by 'STAFF MEMBER',Frequency of activity 'Declaration REJECTED by SUPERVISOR',,
Ratio of 'Declaration REJECTED by SUPERVISOR' over 'Declaration FINAL_APPROVED by SUPERVISOR',Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration FINAL_APPROVED by SUPERVISOR',0.02,
Occasions how often the 'Declaration REJECTED by SUPERVISOR' is performed,Frequency of activity 'Declaration REJECTED by SUPERVISOR',281,
The ratio of 'Declaration REJECTED by SUPERVISOR' that are not eventually performed,Percentage of 'Declaration REJECTED by SUPERVISOR' out of all cases where 'Declaration REJECTED by SUPERVISOR' does not happen,0.03,
Percentage of 'Declaration REJECTED by SUPERVISOR' in process variants that include 'Declaration APPROVED by ADMINISTRATION',Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration APPROVED by ADMINISTRATION',0.03,
Number of 'Declaration REJECTED by SUPERVISOR' in process variants that include 'Declaration FINAL_APPROVED by SUPERVISOR',Frequency of activity 'Declaration REJECTED by SUPERVISOR' for cases where activity 'Declaration FINAL_APPROVED by SUPERVISOR' occurs,204,
Percentage of 'Declaration REJECTED by SUPERVISOR' in process variants with multiple rejections,Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration REJECTED by EMPLOYEE',0.23,
Number of 'Declaration REJECTED by SUPERVISOR' in process variants that involve 'Declaration REJECTED by PRE_APPROVER',Frequency of activity 'Declaration REJECTED by SUPERVISOR' for cases where activity 'Declaration REJECTED by PRE_APPROVER' occurs,0,
Percentage of 'Declaration REJECTED by SUPERVISOR' in process variants that include 'Declaration APPROVED by BUDGET OWNER',Percentage of 'Declaration REJECTED by SUPERVISOR' out of all 'Declaration APPROVED by BUDGET OWNER',0.03,
