Name;Metric;Value;Agrupation
Frequency of 'SW-Reviewer Declined' compared to 'SW-Reviewer Agreed';Percentage of 'SW-Reviewer Declined' out of all 'SW-Reviewer Agreed';0.63;
Percentage of manuscripts that proceed to 'SW-Awaiting EIC Decision' after a 'SW-Reviewer Declined';Percentage of 'SW-Reviewer Declined' out of all 'SW-Awaiting EIC Decision';0.49;
Number of 'SW-Reviewer Declined' occurrences before 'SW-AE Assign Reviewers';Number of 'SW-Reviewer Declined' activities for cases where activity 'SW-AE Assign Reviewers' occurs;59;
Percentage of 'SW-Reviewer Declined' out of all review-related activities;Percentage of 'SW-Reviewer Declined' out of all cases where 'SW-Reviewer Declined' does not happen;0.31;
Frequency of 'SW-Reviewer Declined' leading to 'SW-EIC Major Revision';Frequency of activity 'SW-Reviewer Declined' for cases where activity 'SW-EIC Major Revision' occurs;12;
Percentage of 'SW-Reviewer Declined' followed by 'Reviewer Invitation Reminder 1';Percentage of 'SW-Reviewer Declined' out of all 'Reviewer Invitation Reminder 1';0.62;
Number of 'SW-Reviewer Declined' in relation to 'SW-Reviewer Unavailable';Number of 'SW-Reviewer Declined' activities for cases where activity 'SW-Reviewer Unavailable' occurs;45;
Percentage of 'SW-Reviewer Declined' by performer;Percentage of 'SW-Reviewer Declined' out of all cases;ADMIN:0.5;"{""ADMIN"":0.5,""AUTHOR"":0.0,""EIC"":0.0,""SYSTEM"":0.3139534884}"
Frequency of 'SW-Reviewer Declined' leading to a manuscript's rejection ('SW-EIC Reject' or 'RSW-EIC Reject');Frequency of activity 'SW-Reviewer Declined' for cases where activity 'SW-EIC Reject' occurs;6;
Percentage of 'SW-Reviewer Declined' that are followed by 'SW-AE Assign Reviewers';Percentage of 'SW-Reviewer Declined' out of all 'SW-AE Assign Reviewers';0.61;
Number of 'SW-Reviewer Declined' in manuscripts that undergo 'SW-EIC Major Revision';Number of 'SW-Reviewer Declined' activities for cases where activity 'SW-EIC Major Revision' occurs;29;
Percentage of 'SW-Reviewer Declined' in the context of the ACM journal review process;Percentage of 'SW-Reviewer Declined' out of all cases where '' does not happen;0.31;
Frequency of 'SW-Reviewer Declined' before 'SW-Reviewer Selection is now due';Frequency of activity 'SW-Reviewer Declined' for cases where activity 'SW-Reviewer Selection is now due' occurs;6;
Percentage of 'SW-Reviewer Declined' followed by 'SW-Reviewer Agreed' in the review cycle;Percentage of 'SW-Reviewer Declined' out of all 'SW-Reviewer Agreed';0.63;
Percentage of 'SW-Reviewer Declined' in manuscripts that are eventually accepted ('SW-EIC Accept' or 'RW-EIC Accept');Percentage of 'SW-Reviewer Declined' out of all 'SW-EIC Accept';0.0;
Frequency of 'SW-Reviewer Declined' in relation to 'SW-Reviewer No Response';Frequency of activity 'SW-Reviewer Declined' for cases where activity 'SW-Reviewer No Response' occurs;4;
Number of 'SW-Reviewer Declined' grouped by 'case:concept:name';Number of 'SW-Reviewer Declined' activities;61;
Average number of 'SW-Reviewer Declined' per manuscript;the average of the number of times `ACTIVITY` == 'SW-Reviewer Declined';0.66;
Percentage of 'SW-Reviewer Declined' by month;"ERROR: computing metric {'count': activity == 'SW-Reviewer Declined'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'group_by': 'time:timestamp'}""";;
Number of 'SW-Reviewer Declined' made per year;"ERROR: computing metric {'count': activity == 'SW-Reviewer Declined'"", 'aggregation': 'total', 'group_by': 'time:timestamp'}""";;
