Name;Metric;Value;Agrupation
Average time from Declaration FINAL_APPROVED by SUPERVISOR to Request Payment;The average of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Request Payment';3.29 days;
Total time between Declaration FINAL_APPROVED by SUPERVISOR and Request Payment across all successful reimbursement cases;The sum of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Request Payment';33061.12 days;
Minimum time it takes Request Payment to be performed after Declaration FINAL_APPROVED by SUPERVISOR;The minimum of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Request Payment';0.00 seconds;
Average duration of Request Payment activity compared to the duration of Payment Handled;The average of the duration between activity Request Payment and the end of the case;3.58 days;
Time elapsed from Request Payment to Payment Handled in variants that include both domestic declarations and pre-paid travel costs;The average of the duration between activity 'Request Payment' and activity 'Payment Handled';3.57 days;
Total resolution time of Request Payment in variants that involve budget owner approval versus those that do not;The sum of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and activity 'Request Payment';17201.95 days;
Minimum waiting time to Request Payment following Declaration APPROVED by BUDGET OWNER;The minimum of the duration between activity 'Declaration APPROVED by BUDGET OWNER' and activity 'Request Payment';2.32 minutes;
Time from Declaration SUBMITTED by EMPLOYEE to Request Payment in cases with no rejections versus cases with at least one rejection;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Request Payment';8.00 days;
Average cycle time of Request Payment in the most frequent variant (Declaration SUBMITTED by EMPLOYEE → Declaration APPROVED by ADMINISTRATION → Declaration FINAL_APPROVED by SUPERVISOR → Request Payment → Payment Handled);The average of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Request Payment';3.29 days;
Total time between Request Payment and Payment Handled in variants where the supervisor also acts as budget owner;The sum of the duration between activity 'Request Payment' and activity 'Payment Handled';35878.19 days;
Minimum time for Request Payment to be executed after Declaration FINAL_APPROVED by SUPERVISOR in domestic trip reimbursement cases;The minimum of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Request Payment';0.00 seconds;
Average time it takes Request Payment to occur after the last approval step, distinguishing between single-approval and multi-approval paths;The average of the duration between activity 'Declaration FINAL_APPROVED by SUPERVISOR' and activity 'Request Payment';3.29 days;
Elapsed time between Request Payment and Payment Handled in variants that originate from pre-paid travel cost submissions versus post-trip reimbursements;The average of the duration between activity 'Request Payment' and activity 'Payment Handled';3.57 days;
Time from Request Payment to Payment Handled in cases processed entirely in 2018 compared to those processed in 2017;"ERROR: computing metric {'begin': activity == 'Request Payment'"", 'end': ""activity == 'Payment Handled'"", 'aggregation': 'average', 'group_by': 'time:timestamp'}""";;
