Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration REJECTED by ADMINISTRATION',The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by ADMINISTRATION',"8 days, 7:56:15.401891",
Average time it takes from 'Declaration REJECTED by ADMINISTRATION' to 'Declaration REJECTED by EMPLOYEE',The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration REJECTED by EMPLOYEE',"3 days, 13:50:56.539834",
Total time for 'Declaration REJECTED by ADMINISTRATION' in the process,The sum of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case,"11718 days, 12:26:59",
Minimum time from 'Declaration REJECTED by ADMINISTRATION' to 'Declaration SUBMITTED by EMPLOYEE',The minimum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration SUBMITTED by EMPLOYEE',0:06:26,
Average resolution time of 'Declaration REJECTED by ADMINISTRATION',The average of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case,"13 days, 20:26:24.892435",
Total resolution time of 'Declaration REJECTED by ADMINISTRATION',The sum of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case,"11718 days, 12:26:59",
Average time between 'Declaration REJECTED by ADMINISTRATION' and 'Declaration APPROVED by ADMINISTRATION',The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration APPROVED by ADMINISTRATION',"7 days, 22:11:43.218944",
Total time it takes 'Declaration REJECTED by ADMINISTRATION' after 'Declaration SUBMITTED by EMPLOYEE',The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by ADMINISTRATION',"7047 days, 19:13:10",
Minimum resolution time of 'Declaration REJECTED by ADMINISTRATION',The minimum of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case,0:00:00,
Average time from 'Declaration REJECTED by ADMINISTRATION' to 'Request Payment',The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Request Payment',"13 days, 13:25:37.794025",
Total time from 'Declaration REJECTED by ADMINISTRATION' to 'Payment Handled',The sum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Payment Handled',"10860 days, 9:50:12",
Average waiting time to the 'Declaration REJECTED by ADMINISTRATION',The average of the duration between the start of the case and activity 'Declaration REJECTED by ADMINISTRATION',"8 days, 7:56:15.401891",
Total waiting time to the 'Declaration REJECTED by ADMINISTRATION',The sum of the duration between the start of the case and activity 'Declaration REJECTED by ADMINISTRATION',"7047 days, 19:13:10",
Minimum time until 'Declaration REJECTED by ADMINISTRATION' is performed after 'Declaration SUBMITTED by EMPLOYEE',The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by ADMINISTRATION',0:00:01,
Average time it takes the 'Declaration REJECTED by ADMINISTRATION' to be redone,The average of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case,"13 days, 20:26:24.892435",
Average time for 'Declaration REJECTED by ADMINISTRATION' grouped by 'case:BudgetNumber',The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and the end of case grouped by the last value of case:BudgetNumber,budget 86566:13 days 20:26:24.892435,"{""budget 86566"":1196784892}"
Total time for 'Declaration REJECTED by ADMINISTRATION' across all variants,The sum of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case,"11718 days, 12:26:59",
Average time for 'Declaration REJECTED by ADMINISTRATION' in cases leading to 'Payment Handled',The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Payment Handled',"17 days, 1:49:36.433962",
