Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of SW-Awaiting AE Recommendation out of all activities in the event log,Percentage of 'SW-Awaiting AE Recommendation' out of all cases,0.39,
Frequency of SW-Awaiting AE Recommendation,Frequency of activity 'SW-Awaiting AE Recommendation',36,
Percentage of SW-Awaiting AE Recommendation before SW-EIC Decision,Percentage of 'SW-Awaiting AE Recommendation' out of all 'SW-EIC Decision',,
Percentage of SW-Awaiting AE Recommendation out of all SW-Reviewer Agreed,Percentage of 'SW-Awaiting AE Recommendation' out of all 'SW-Reviewer Agreed',0.52,
Frequency of SW-Awaiting AE Recommendation that are preceded by SW-Reviewer Agreed,Frequency of activity 'SW-Awaiting AE Recommendation' for cases where activity 'SW-Reviewer Agreed' occurs,24,
Percentage of SW-Awaiting AE Recommendation that are not dismissed,Percentage of 'SW-Awaiting AE Recommendation' out of all cases where 'SW-EIC Reject' does not happen,0.39,
Percentage of SW-Awaiting AE Recommendation from all SW-EIC Decision,Percentage of 'SW-Awaiting AE Recommendation' out of all 'SW-EIC Decision',,
Frequency of SW-Awaiting AE Recommendation in relation to SW-EIC Decision,Frequency of activity 'SW-Awaiting AE Recommendation' for cases where activity 'SW-EIC Decision' occurs,,
Percentage of SW-Awaiting AE Recommendation followed by SW-EIC Decision,Percentage of 'SW-Awaiting AE Recommendation' out of all 'SW-EIC Decision',,
Percentage of SW-Awaiting AE Recommendation done after SW-Reviewer Agreed,Percentage of 'SW-Awaiting AE Recommendation' out of all 'SW-Reviewer Agreed',0.52,
Frequency of SW-Awaiting AE Recommendation made per year,"ERROR: computing metric {'count': ""activity == 'SW-Awaiting AE Recommendation'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of SW-Awaiting AE Recommendation that are rejected,Percentage of 'SW-Awaiting AE Recommendation' out of all 'SW-EIC Reject',0.32,
Frequency of SW-Awaiting AE Recommendation with amounts above 100 euros,Frequency of activity 'SW-Awaiting AE Recommendation',36,
Number of SW-Awaiting AE Recommendation grouped by case:concept:name,"ERROR: computing metric {'count': ""activity == 'SW-Awaiting AE Recommendation'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'case:concept:name'}",,
Percentage of SW-Awaiting AE Recommendation with an increment,Percentage of 'SW-Awaiting AE Recommendation' out of all cases,0.39,
Percentage of SW-Awaiting AE Recommendation with appeal,Percentage of 'SW-Awaiting AE Recommendation' out of all cases,0.39,
Percentage of SW-Awaiting AE Recommendation with penalty,Percentage of 'SW-Awaiting AE Recommendation' out of all cases,0.39,
Average number of SW-Awaiting AE Recommendation in a month,"ERROR: computing metric {'count': ""activity == 'SW-Awaiting AE Recommendation'"", 'metric_condition': '> 0', 'aggregation': 'average', 'group_by': 'month'}",,
Fraction of SW-Awaiting AE Recommendation that are dismissed,Percentage of 'SW-Awaiting AE Recommendation' out of all 'SW-EIC Reject',0.32,
Ratio of SW-Awaiting AE Recommendation over SW-Reviewer Agreed,Percentage of 'SW-Awaiting AE Recommendation' out of all 'SW-Reviewer Agreed',0.52,
Occasions how often the SW-Awaiting AE Recommendation is performed,Frequency of activity 'SW-Awaiting AE Recommendation',36,
The ratio of SW-Awaiting AE Recommendation that are not eventually performed,Percentage of 'SW-Awaiting AE Recommendation' out of all cases where 'SW-EIC Decision' does not happen,0.39,
Percentage of SW-Awaiting AE Recommendation in process variants involving SW-EIC Decision,Percentage of 'SW-Awaiting AE Recommendation' out of all 'SW-EIC Decision',,
Frequency of SW-Awaiting AE Recommendation in process variants involving SW-Reviewer Agreed,Frequency of activity 'SW-Awaiting AE Recommendation' for cases where activity 'SW-Reviewer Agreed' occurs,24,
Percentage of SW-Awaiting AE Recommendation in the review process of scientific papers,Percentage of 'SW-Awaiting AE Recommendation' out of all 'SW-Reviewer Agreed',0.52,
Frequency of SW-Awaiting AE Recommendation in the review process of scientific papers,Frequency of activity 'SW-Awaiting AE Recommendation' for cases where activity 'SW-Reviewer Agreed' occurs,24,
Percentage of SW-Awaiting AE Recommendation in relation to the impact of SW-Reviewer Agreed,Percentage of 'SW-Awaiting AE Recommendation' out of all 'SW-Reviewer Agreed',0.52,
Percentage of SW-Awaiting AE Recommendation in relation to the impact of SW-EIC Decision,Percentage of 'SW-Awaiting AE Recommendation' out of all 'SW-EIC Decision',,
