Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of \Awaiting Assignment to Batch\ occurrences in the event log,Frequency of activity 'Awaiting Assignment to Batch',26.0,
Percentage of cases that proceed from \First Look-Your updates are overdue\ to \Awaiting Assignment to Batch\,Percentage of 'Awaiting Assignment to Batch' out of all 'First Look-Your updates are overdue',0.91,
Number of \Awaiting Assignment to Batch\ that are followed by \Manuscript Export Succeeded\,Frequency of activity 'Awaiting Assignment to Batch' for cases where activity 'Manuscript Export Succeeded' occurs,26.0,
Percentage of \Awaiting Assignment to Batch\ out of all \First Look Manuscript Submission Confirmation\,Percentage of 'Awaiting Assignment to Batch' out of all 'First Look Manuscript Submission Confirmation',0.96,
Frequency of \Awaiting Assignment to Batch\ in relation to \SW-Reviewer Agreed\,Frequency of activity 'Awaiting Assignment to Batch' for cases where activity 'SW-Reviewer Agreed' occurs,18.0,
Percentage of \Awaiting Assignment to Batch\ occurrences before \Manuscript Export Succeeded\,Percentage of 'Awaiting Assignment to Batch' out of all 'Manuscript Export Succeeded',0.29,
Number of times \Awaiting Assignment to Batch\ is the final activity in a case,Frequency of activity 'Awaiting Assignment to Batch' for cases where activity 'Awaiting Assignment to Batch' occurs,26.0,
Percentage of cases with \Awaiting Assignment to Batch\ that also include \SW-Reviewer Agreed\,Percentage of 'Awaiting Assignment to Batch' out of all 'SW-Reviewer Agreed',0.39,
Frequency of \Awaiting Assignment to Batch\ as a precursor to \First Look-Please submit updates\,Frequency of activity 'Awaiting Assignment to Batch' for cases where activity 'First Look-Please submit updates' occurs,23.0,
Percentage of \Awaiting Assignment to Batch\ followed by any activity within 1 week,Percentage of 'Awaiting Assignment to Batch' out of all cases,0.28,
Number of variants including \Awaiting Assignment to Batch\ and their average performance,Percentage of 'Awaiting Assignment to Batch' out of all cases,0.28,
Percentage of \Awaiting Assignment to Batch\ in cases where \SW-EIC Major Revision\ occurs,Percentage of 'Awaiting Assignment to Batch' out of all 'SW-EIC Major Revision',0.87,
Frequency of \Awaiting Assignment to Batch\ in cases with more than 5 activities,Frequency of activity 'Awaiting Assignment to Batch',26.0,
Percentage of \Awaiting Assignment to Batch\ in cases that are completed within 6 months,Percentage of 'Awaiting Assignment to Batch' out of all cases,0.28,
Number of \Awaiting Assignment to Batch\ occurrences grouped by month,"ERROR: computing metric {'count': ""activity == 'Awaiting Assignment to Batch'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'month'}",,
Percentage of \Awaiting Assignment to Batch\ in cases that also have \SW-Reviewer No Response\,Percentage of 'Awaiting Assignment to Batch' out of all 'SW-Reviewer No Response',0.4,
Frequency of \Awaiting Assignment to Batch\ in cases leading to \RW-EIC Accept\,Frequency of activity 'Awaiting Assignment to Batch' for cases where activity 'RW-EIC Accept' occurs,21.0,
Percentage of \Awaiting Assignment to Batch\ in cases with \SW-EIC Reject & Resubmit\,"ERROR: computing metric {'count': ""activity == 'Awaiting Assignment to Batch'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity == 'SW-EIC Reject & Resubmit'""}",,
Number of \Awaiting Assignment to Batch\ occurrences followed by \First Look Manuscript Submission Confirmation\,Frequency of activity 'Awaiting Assignment to Batch' for cases where activity 'First Look Manuscript Submission Confirmation' occurs,24.0,
Percentage of \Awaiting Assignment to Batch\ in cases that result in manuscript acceptance,Percentage of 'Awaiting Assignment to Batch' out of all 'RW-EIC Accept',0.95,
