Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of 'Accepted + Wait - Customer' occurrences out of all activities.,Percentage of 'Accepted + Wait - Customer' out of all cases,0.01,
Frequency of 'Accepted + Wait - Customer' occurrences.,Percentage of 'Accepted + Wait - Customer' out of all cases,0.01,
Percentage of 'Accepted + Wait - Customer' occurrences before 'Completed + In Call'.,Percentage of 'Accepted + Wait - Customer' out of all 'Completed + In Call',0.0,
Number of 'Accepted + Wait - Customer' that are preceded by 'Accepted + In Progress'.,Frequency of activity 'Accepted + Wait - Customer' for cases where activity 'Accepted + In Progress' occurs,86,
Percentage of 'Accepted + Wait - Customer' out of all 'Accepted + In Progress'.,Percentage of 'Accepted + Wait - Customer' out of all 'Accepted + In Progress',0.01,
Number of 'Accepted + Wait - Customer' that are followed by 'Completed + Resolved'.,Frequency of activity 'Accepted + Wait - Customer' for cases where activity 'Completed + Resolved' occurs,86,
Percentage of 'Accepted + Wait - Customer' that are not dismissed.,Percentage of 'Accepted + Wait - Customer' out of all cases,0.01,
Percentage of 'Accepted + Wait - Customer' followed by 'Completed + Closed'.,Percentage of 'Accepted + Wait - Customer' out of all 'Completed + Closed',0.02,
Number of 'Accepted + Wait - Customer' made per year.,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Customer'"", 'metric_condition': '> 0', 'aggregation': 'total', 'filter': '', 'group_by': 'year'}",,
Percentage of 'Accepted + Wait - Customer' that are rejected.,Percentage of 'Accepted + Wait - Customer' out of all cases,,
Number of 'Accepted + Wait - Customer' in relation to 'Queued + Awaiting Assignment'.,Frequency of activity 'Accepted + Wait - Customer' for cases where activity 'Queued + Awaiting Assignment' occurs,72,
Percentage of 'Accepted + Wait - Customer' done after 'Accepted + In Progress'.,Percentage of 'Accepted + Wait - Customer' out of all 'Accepted + In Progress',0.01,
Number of times 'Accepted + Wait - Customer' is performed.,Frequency of activity 'Accepted + Wait - Customer',86,
Percentage of 'Accepted + Wait - Customer' done after 'Accepted + Assigned'.,Percentage of 'Accepted + Wait - Customer' out of all 'Accepted + Assigned',0.02,
Average number of 'Accepted + Wait - Customer'.,Percentage of 'Accepted + Wait - Customer' out of all cases,0.01,
Percentage of 'Accepted + Wait - Customer' with an increment.,Percentage of 'Accepted + Wait - Customer' out of all cases,,
Percentage of 'Accepted + Wait - Customer' with appeal.,Percentage of 'Accepted + Wait - Customer' out of all cases,,
Average number of 'Accepted + Wait - Customer' that are followed by 'Completed + In Call'.,Percentage of 'Accepted + Wait - Customer' out of all 'Completed + In Call',0.0,
Percentage of 'Accepted + Wait - Customer' with penalty.,Percentage of 'Accepted + Wait - Customer' out of all cases,,
Average number of 'Accepted + Wait - Customer' in a month.,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Customer'"", 'metric_condition': '> 0', 'aggregation': 'average', 'filter': '', 'group_by': 'month'}",,
Fraction of 'Accepted + Wait - Customer' that are dismissed.,Percentage of 'Accepted + Wait - Customer' out of all cases,,
Ratio of 'Accepted + Wait - Customer' over 'Completed + Resolved'.,Percentage of 'Accepted + Wait - Customer' out of all 'Completed + Resolved',0.02,
Occasions how often the 'Accepted + Wait - Customer' is performed.,Frequency of activity 'Accepted + Wait - Customer',86,
The ratio of 'Accepted + Wait - Customer' that are not eventually performed.,Percentage of 'Accepted + Wait - Customer' out of all cases,,
