Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of 'Accepted + Wait - Vendor' leading to 'Completed + In Call',Frequency of activity 'Accepted + Wait - Vendor' for cases where activity 'Completed + In Call' occurs,1,
Percentage of incidents resolved after 'Accepted + Wait - Vendor' compared to those resolved after 'Accepted + In Progress',Percentage of 'Accepted + Wait - Vendor' out of all 'Completed + Resolved',0.04,
Number of times 'Accepted + Wait - Vendor' occurs before 'Completed + Resolved',Frequency of activity 'Accepted + Wait - Vendor' for cases where activity 'Completed + Resolved' occurs,249,
Percentage of 'Accepted + Wait - Vendor' out of all 'Queued + Awaiting Assignment',Percentage of 'Accepted + Wait - Vendor' out of all 'Queued + Awaiting Assignment',0.04,
Frequency of 'Accepted + Wait - Vendor' followed by 'Accepted + In Progress',Frequency of activity 'Accepted + Wait - Vendor' for cases where activity 'Accepted + In Progress' occurs,248,
Percentage of 'Accepted + Wait - Vendor' in relation to all activities in the VINST system,Percentage of 'Accepted + Wait - Vendor' out of all cases,0.03,
Number of 'Accepted + Wait - Vendor' activities that lead to a 'Completed + Closed' status,Frequency of activity 'Accepted + Wait - Vendor' for cases where activity 'Completed + Closed' occurs,244,
Percentage of 'Accepted + Wait - Vendor' followed by any 'Completed' status compared to other 'Accepted + Wait' statuses,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Vendor'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity == 'Completed + Closed' or activity == 'Completed + Resolved'""}",,
Frequency of 'Accepted + Wait - Vendor' in the top 5 most common process variants,Frequency of activity 'Accepted + Wait - Vendor',249,
Percentage of 'Accepted + Wait - Vendor' activities that are not followed by 'Completed + Cancelled',Percentage of 'Accepted + Wait - Vendor' out of all cases where 'Completed + Cancelled' does not happen,0.03,
Frequency of 'Accepted + Wait - Vendor' leading to escalation ('Completed + In Call' as an indicator of escalation),Frequency of activity 'Accepted + Wait - Vendor' for cases where activity 'Completed + In Call' occurs,1,
Number of 'Accepted + Wait - Vendor' activities per year to observe trends over time,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Vendor'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of 'Accepted + Wait - Vendor' activities that result in a high 'impact' rating,Percentage of 'Accepted + Wait - Vendor' out of all cases,,
Frequency of 'Accepted + Wait - Vendor' in incidents with 'Medium' and 'High' impact compared to 'Low' impact,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Vendor'"", 'metric_condition': '> 0', 'aggregation': 'total', 'filter': ""impact == 'Medium' or impact == 'High'""}",,
Percentage of 'Accepted + Wait - Vendor' followed by 'Completed + Resolved' within the same case,Percentage of 'Accepted + Wait - Vendor' out of all 'Completed + Resolved',0.04,
"Number of 'Accepted + Wait - Vendor' activities that precede any 'Accepted + Wait' status, highlighting vendor dependency in the process",Frequency of activity 'Accepted + Wait - Vendor' for cases where activity 'Accepted + Wait' occurs,56,
Percentage of 'Accepted + Wait - Vendor' in cases with product 'PROD582' to understand product-specific issues,Percentage of 'Accepted + Wait - Vendor' out of all cases,0.0,
"Frequency of 'Accepted + Wait - Vendor' leading directly to case closure without further 'Accepted' statuses, indicating efficiency or lack thereof",Frequency of activity 'Accepted + Wait - Vendor' for cases where activity 'Completed + Closed' occurs,244,
