Name;Metric;Value;Agrupation
Frequency of 'Completed + In Call' occurrences;Number of 'Completed + In Call' activities;2018;
Percentage of cases that contain 'Completed + In Call';Percentage of 'Completed + In Call' out of all cases;0.27;
Percentage of 'Completed + In Call' that are followed by 'Completed + Resolved';Percentage of 'Completed + In Call' out of all 'Completed + Resolved';0.02;
Percentage of 'Completed + In Call' that are preceded by 'Accepted + In Progress';Percentage of 'Completed + In Call' out of all 'Accepted + In Progress';0.27;
Average number of 'Completed + In Call' per case;the average of the number of times `ACTIVITY` == 'Completed + In Call';0.27;
Percentage of 'Completed + In Call' by resource;Percentage of 'Completed + In Call' out of all cases;Abhijit:0.0;"{""Abhijit"":0.0,""Adenilson"":1.0,""Agata"":1.0,""Agnieszka"":1.0,""Akanksha"":0.0,""Alejandro"":1.0,""Alex"":1.0,""Alexander"":1.0,""Alexandre"":1.0,""Alexsandra"":1.0,""Aline"":0.0,""Anand"":0.0,""Anatolij"":0.0,""Ander"":1.0,""Anders"":0.0,""Anderson"":1.0,""Andreas"":1.0,""Angelica"":1.0,""Angelo"":0.0,""Anil"":0.0,""Anna"":1.0,""Anna-Lisa"":1.0,""Anton"":0.875,""Apryl"":0.0,""Archil"":0.3333333333,""Astrid"":1.0,""Aurangzeb"":1.0,""Aurelien"":1.0,""Ayumi"":1.0,""Azusa"":1.0,""Berit"":0.3333333333,""Bernard"":1.0,""Bernard Lo"":0.0,""Bertil"":0.0,""Blazej"":0.0,""Brecht"":1.0,""Bruna"":1.0,""Bryan"":1.0,""Carl"":1.0,""Caroline"":1.0,""Catherine"":1.0,""Cezary"":0.9333333333,""Charlotte"":0.5,""Christina"":1.0,""Christoffer"":1.0,""Christopher"":0.0,""Christos"":0.8571428571,""Cristian"":1.0,""Daniel"":0.0,""Dauri"":0.0,""Davi"":1.0,""David"":1.0,""Dawid"":0.0,""Debasish"":0.0,""Denny"":0.0,""Didier Cla"":1.0,""Diego"":1.0,""Dinesh"":0.0,""Edison"":1.0,""Elena"":1.0,""Ellen"":1.0,""Ellist"":1.0,""Emil"":0.0,""Eric"":1.0,""Erik"":1.0,""Eva"":0.3333333333,""Evandro"":1.0,""Felippe"":1.0,""Filip"":1.0,""Frank"":1.0,""Fredrik"":0.5,""Frida"":1.0,""Gael"":1.0,""Gagan"":0.0,""Georges"":0.0,""Grzegorz"":0.0,""Gustavo"":1.0,""Guy"":1.0,""Halby"":0.0,""Hari"":0.0,""Hebert"":1.0,""Henk"":1.0,""Heverton"":1.0,""Himanshu"":0.0,""Howard"":1.0,""Hwei Ling"":1.0,""H\u00e5kan"":1.0,""Imran"":1.0,""Izabela"":0.0,""J Louis"":0.0,""Jacek"":0.8666666667,""James"":0.0,""Jan"":1.0,""Janice"":1.0,""Jaroslaw"":0.0,""Jason"":0.0,""Jay"":1.0,""Jenny"":0.0,""Jeremy"":0.0,""Jeroen"":1.0,""Jinos"":1.0,""Joakim"":1.0,""Joanna"":1.0,""Joe"":0.0,""Joel"":1.0,""Johan"":0.9411764706,""Johanna"":0.75,""John"":1.0,""Jonas"":0.1,""Jorn"":0.0,""Josef"":1.0,""Joseph"":1.0,""Josh"":1.0,""Joshua"":1.0,""Julius"":0.0,""Kamila"":1.0,""Kanumuru"":0.0,""Karolina"":1.0,""Karoly"":1.0,""Katia"":0.2285714286,""Kave"":0.0,""Kelly"":1.0,""Konrad"":0.1,""Kristoffer"":1.0,""Krzysztof"":0.4166666667,""Kwewat"":0.0,""Kwong"":1.0,""Laleh"":0.0,""Lars"":1.0,""Laurent"":0.0,""Lierson"":1.0,""Linus"":1.0,""MUDIT"":0.0,""Malgorzata"":0.7692307692,""Malin"":1.0,""Manuel"":1.0,""Marc"":0.0,""Marc Stephane"":1.0,""Marcin"":0.3703703704,""Marco"":1.0,""Marcos"":1.0,""Marcus"":1.0,""Mario Alberto"":0.0,""Mariusz"":0.0,""Marta"":0.9230769231,""Martin"":0.0,""Mateusz"":0.6285714286,""Mats"":0.0,""Matt"":0.9166666667,""Mattia"":1.0,""Mattias"":1.0,""May"":1.0,""Megha"":0.0,""Melekia"":1.0,""Micael"":1.0,""Michael"":0.7837837838,""Mikael"":1.0,""Mike"":1.0,""Moniece"":1.0,""Monika"":0.0,""Morgan"":0.0,""Muthu"":0.1428571429,""Mythri"":1.0,""Namita"":0.0,""Natalia"":0.75,""Nicklas"":1.0,""Nicky"":0.0,""Niklas"":0.8461538462,""Noel"":1.0,""Olga"":0.0833333333,""Olivier"":0.0,""Olof"":1.0,""Pachha"":0.0,""Partner"":0.0,""Patricia"":1.0,""Patryk"":0.0,""Paul"":1.0,""Pawel"":0.5,""Per"":1.0,""Pernilla"":0.0,""Peter"":1.0,""Petri"":1.0,""Pia"":1.0,""Pierre"":0.0,""Piotr"":0.9411764706,""Pongsak"":1.0,""Pontus"":1.0,""Prithi"":1.0,""Przemyslaw"":0.75,""P\u00e4r"":1.0,""Rafal"":0.8055555556,""Ranveer"":0.0,""Rasmus"":1.0,""Renaat"":1.0,""Reza"":1.0,""Riitta"":0.2,""Robert"":1.0,""Roberto"":0.75,""Robin"":1.0,""Royal"":0.619047619,""Ryan"":1.0,""Sadia"":1.0,""Sam"":1.0,""Sanderson"":1.0,""Sandra"":1.0,""Sanna"":1.0,""Santosh"":0.75,""Sara"":1.0,""Sarah"":1.0,""Scott"":1.0,""Sebastian"":1.0,""Shuwen"":1.0,""Shylaja"":0.0,""Siebel"":0.0203267477,""Simon"":1.0,""Sophia"":0.8888888889,""Sreejith"":0.6666666667,""Subhash"":0.0,""Sudhakar Moses"":0.7428571429,""Sudhir"":0.8064516129,""Sue"":1.0,""Sunny"":1.0,""Sven"":0.0,""Tadeusz"":1.0,""Thierry"":1.0,""Thomas"":0.0,""Timothy"":0.375,""Tobias"":1.0,""Tomas"":1.0,""Tomasz"":0.0,""Tommi"":1.0,""Torbj\u00f6rn"":1.0,""Torkel"":0.0,""Tracy"":1.0,""Trish"":1.0,""Uguisu"":1.0,""Ulf"":0.0,""Ulrika"":1.0,""Urszula"":1.0,""Vaibhav"":0.0,""Valentin"":1.0,""Valeria"":1.0,""Vandana"":0.2,""Vanessa"":1.0,""Victor"":1.0,""Vijay"":0.7647058824,""Vikash"":0.0,""Vinayakaiah"":0.0,""Vincent"":1.0,""Vivian"":1.0,""Wesley"":1.0,""Yoko"":1.0,""Youngchul"":0.0,""Yukie"":1.0,""Yvan"":0.0,""Zoi"":1.0}"
Frequency of 'Completed + In Call' grouped by country;Number of 'Completed + In Call' activities grouped by the last value of resource country;0:107;"{""0"":107,""Australia"":3,""Belgium"":72,""Brazil"":222,""Canada"":15,""China"":47,""France"":14,""INDIA"":176,""Japan"":35,""Korea"":0,""MALAYSIA"":6,""POLAND"":348,""RUSSIAN FEDERATION"":7,""Sweden"":662,""THAILAND"":5,""USA"":297,""United Kingdom"":2}"
Percentage of 'Completed + In Call' with Medium impact;Percentage of 'Completed + In Call' out of all cases;0.19;
Ratio of 'Completed + In Call' to 'Completed + Resolved';Percentage of 'Completed + In Call' out of all 'Completed + Resolved';0.02;
Percentage of variants containing 'Completed + In Call';Percentage of 'Completed + In Call' out of all cases;0.27;
