Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of 'Declaration APPROVED by PRE_APPROVER' before 'Declaration FINAL_APPROVED by SUPERVISOR',Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration FINAL_APPROVED by SUPERVISOR',0.07,
Number of 'Declaration APPROVED by PRE_APPROVER',Number of 'Declaration APPROVED by PRE_APPROVER' activities,685,
Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration APPROVED by ADMINISTRATION',Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration APPROVED by ADMINISTRATION',0.0,
Number of 'Declaration APPROVED by PRE_APPROVER' that are preceded by 'Declaration SUBMITTED by EMPLOYEE',Number of 'Declaration APPROVED by PRE_APPROVER' activities for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs,685,
Percentage of 'Declaration APPROVED by PRE_APPROVER' that are approved when a complaint of employee happens,Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all cases,,
Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Request Payment',Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Request Payment',0.07,
Number of 'Declaration APPROVED by PRE_APPROVER' made in 2017,"ERROR: computing metric {'count': ""activity == 'Declaration APPROVED by PRE_APPROVER'"", 'aggregation': 'total', 'group_by': 'year == 2017'}",,
Percentage of 'Declaration APPROVED by PRE_APPROVER' by 'STAFF MEMBER' employee who submit declarations,Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all cases,0.01,
Number of 'Declaration APPROVED by PRE_APPROVER' grouped by 'case:BudgetNumber',Number of 'Declaration APPROVED by PRE_APPROVER' activities grouped by the last value of case:BudgetNumber,budget 86566:685,"{""budget 86566"":685}"
Percentage of 'Declaration APPROVED by PRE_APPROVER' by one employee,Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all cases,,
Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Payment Handled' cases by employee who submit pre-approvals,Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Payment Handled',0.07,
Percentage of 'Declaration APPROVED by PRE_APPROVER' followed by 'Declaration FINAL_APPROVED by SUPERVISOR',Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration FINAL_APPROVED by SUPERVISOR',0.07,
Number of 'Declaration APPROVED by PRE_APPROVER' made per month,"ERROR: computing metric {'count': ""activity == 'Declaration APPROVED by PRE_APPROVER'"", 'aggregation': 'total', 'group_by': 'month'}",,
Percentage of 'Declaration APPROVED by PRE_APPROVER' that are rejected by 'Declaration REJECTED by BUDGET OWNER',Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration REJECTED by BUDGET OWNER',0.0,
Number of 'Declaration APPROVED by PRE_APPROVER' that are done after a request payment,Number of 'Declaration APPROVED by PRE_APPROVER' activities for cases where activity 'Request Payment' occurs,679,
Percentage of 'Declaration APPROVED by PRE_APPROVER' with amount above 100 euros by employee who submits pre-approvals when submission does not provide enough information for the pre-approver employee,Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all cases,,
Average number of 'Declaration APPROVED by PRE_APPROVER' that are preceded by multiple 'Declaration REJECTED by ADMINISTRATION',the average of the number of times `ACTIVITY` == 'Declaration APPROVED by PRE_APPROVER' filtered by the function ma > 0 where ma is the number of times `ACTIVITY` == 'Declaration REJECTED by ADMINISTRATION',0.0,
The ratio of 'Declaration APPROVED by PRE_APPROVER' over 'Declaration REJECTED by PRE_APPROVER',"ERROR: computing metric {'count': ""activity == 'Declaration APPROVED by PRE_APPROVER'"", 'metric_condition': '> 0', 'aggregation': 'ratio', 'filter': ""activity == 'Declaration REJECTED by PRE_APPROVER'""}",,
Percentage of 'Declaration APPROVED by PRE_APPROVER' done after 'Declaration SUBMITTED by EMPLOYEE' out of 'Declaration APPROVED by ADMINISTRATION' when pre-approver discovers that actual costs are different from the estimated values,Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration SUBMITTED by EMPLOYEE',0.06,
Fraction of 'Declaration APPROVED by PRE_APPROVER' that are done by employee who submit more than one domestic pre-approvals,"ERROR: computing metric {'count': ""activity == 'Declaration APPROVED by PRE_APPROVER'"", 'metric_condition': '> 0', 'aggregation': 'fraction', 'filter': ""org:resource == 'employee who submit more than one domestic pre-approvals'""}",,
Total 'Declaration APPROVED by PRE_APPROVER' done by employee who submitted less than five pre-approvals per month,"ERROR: computing metric {'count': ""activity == 'Declaration APPROVED by PRE_APPROVER'"", 'aggregation': 'total', 'group_by': 'month', 'filter': ""org:resource == 'employee who submitted less than five pre-approvals per month'""}",,
The ratio of 'Declaration APPROVED by PRE_APPROVER' that are not rejected over 'Declaration APPROVED by BUDGET OWNER' that employee who submit approvals never dismiss,"ERROR: computing metric {'count': ""activity == 'Declaration APPROVED by PRE_APPROVER'"", 'metric_condition': '> 0', 'aggregation': 'ratio', 'filter': ""activity == 'Declaration APPROVED by BUDGET OWNER'""}",,
Percentage of 'Declaration APPROVED by PRE_APPROVER' that are approved when employee of pre-approval discovers that the actual costs are not different from the estimated values,Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all cases,,
Percentage of 'Declaration APPROVED by PRE_APPROVER' by staff employee member when pre-approvals are done in less than one week,Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all cases,0.06,
