Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration REJECTED by BUDGET OWNER',The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by BUDGET OWNER',"4 days, 0:23:41.775862",
Average time between 'Declaration REJECTED by BUDGET OWNER' and 'Declaration REJECTED by EMPLOYEE',The average of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Declaration REJECTED by EMPLOYEE',"4 days, 23:33:22.280702",
Average resolution time for 'Declaration REJECTED by BUDGET OWNER',The average of the duration between activity Declaration REJECTED by BUDGET OWNER and the end of the case,"16 days, 19:40:05.448276",
Total time from 'Declaration APPROVED by ADMINISTRATION' to 'Declaration REJECTED by BUDGET OWNER',The sum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration REJECTED by BUDGET OWNER',"102 days, 17:11:43",
Total resolution time of 'Declaration REJECTED by BUDGET OWNER',The sum of the duration between activity Declaration REJECTED by BUDGET OWNER and the end of the case,"975 days, 12:45:16",
Minimum time from 'Declaration APPROVED by ADMINISTRATION' to 'Declaration REJECTED by BUDGET OWNER',The minimum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration REJECTED by BUDGET OWNER',0:05:32,
Minimum time between 'Declaration REJECTED by BUDGET OWNER' and 'Declaration REJECTED by EMPLOYEE',The minimum of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Declaration REJECTED by EMPLOYEE',0:47:20,
Total time to 'Declaration REJECTED by BUDGET OWNER' grouped by 'case:BudgetNumber',The average of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and the end of case grouped by the last value of case:BudgetNumber,budget 86566:975 days 12:45:16,"{""budget 86566"":84285916000}"
Time until 'Declaration REJECTED by BUDGET OWNER' from the start of the case,The sum of the duration between the start of the case and activity 'Declaration REJECTED by BUDGET OWNER',"232 days, 22:54:23",
Time from 'Declaration REJECTED by BUDGET OWNER' to 'Request Payment',The sum of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Request Payment',"654 days, 6:42:15",
Average waiting time to the 'Declaration REJECTED by BUDGET OWNER',The average of the duration between the start of the case and activity 'Declaration REJECTED by BUDGET OWNER',"4 days, 0:23:41.775862",
Total waiting time to the 'Declaration REJECTED by BUDGET OWNER',The sum of the duration between the start of the case and activity 'Declaration REJECTED by BUDGET OWNER',"232 days, 22:54:23",
Minimum waiting time to the 'Declaration REJECTED by BUDGET OWNER',The minimum of the duration between the start of the case and activity 'Declaration REJECTED by BUDGET OWNER',0:11:17,
Average time it takes 'Declaration REJECTED by BUDGET OWNER' after the execution of 'Declaration APPROVED by ADMINISTRATION',The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration REJECTED by BUDGET OWNER',"1 day, 18:30:12.120690",
Total time it takes 'Declaration REJECTED by BUDGET OWNER' after the execution of 'Declaration APPROVED by ADMINISTRATION',The sum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration REJECTED by BUDGET OWNER',"102 days, 17:11:43",
Minimum time it takes 'Declaration REJECTED by BUDGET OWNER' after the execution of 'Declaration APPROVED by ADMINISTRATION',The minimum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration REJECTED by BUDGET OWNER',0:05:32,
Average time between 'Declaration REJECTED by BUDGET OWNER' and the next activity,The average of the duration between activity Declaration REJECTED by BUDGET OWNER and the end of the case,"16 days, 19:40:05.448276",
Total time between 'Declaration REJECTED by BUDGET OWNER' and the next activity,The sum of the duration between activity Declaration REJECTED by BUDGET OWNER and the end of the case,"975 days, 12:45:16",
Minimum time between 'Declaration REJECTED by BUDGET OWNER' and the next activity,The minimum of the duration between activity Declaration REJECTED by BUDGET OWNER and the end of the case,0:47:20,
Average time from 'Declaration REJECTED by BUDGET OWNER' to 'Declaration SUBMITTED by EMPLOYEE' in case of re-submission,The average of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Declaration SUBMITTED by EMPLOYEE',"10 days, 20:34:02.488889",
Total time from 'Declaration REJECTED by BUDGET OWNER' to 'Declaration SUBMITTED by EMPLOYEE' in case of re-submission,The sum of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Declaration SUBMITTED by EMPLOYEE',"488 days, 13:31:52",
Minimum time from 'Declaration REJECTED by BUDGET OWNER' to 'Declaration SUBMITTED by EMPLOYEE' in case of re-submission,The minimum of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Declaration SUBMITTED by EMPLOYEE',2:15:54,
