Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of SW-Awaiting Checklist Completion before Manuscript Export Succeeded,Percentage of 'SW-Awaiting Checklist Completion' out of all 'Manuscript Export Succeeded',0.96,
Number of SW-Awaiting Checklist Completion,Number of 'SW-Awaiting Checklist Completion' activities,89,
Percentage of SW-Awaiting Checklist Completion out of all Original Manuscript Submission Confirmation,Percentage of 'SW-Awaiting Checklist Completion' out of all 'Original Manuscript Submission Confirmation',0.99,
Number of SW-Awaiting Checklist Completion that are preceded by Original Manuscript Submission Confirmation,Number of 'SW-Awaiting Checklist Completion' activities for cases where activity 'Original Manuscript Submission Confirmation' occurs,89,
Percentage of SW-Awaiting Checklist Completion that are not dismissed,Percentage of 'SW-Awaiting Checklist Completion' out of all cases where 'Unassign Editor' does not happen,0.91,
Percentage of SW-Awaiting Checklist Completion from all SW-Checklist Completed,Percentage of 'SW-Awaiting Checklist Completion' out of all 'SW-Checklist Completed',1.0,
Number of SW-Awaiting Checklist Completion with performance times above 100 hours,Number of 'SW-Awaiting Checklist Completion' activities,89,
Percentage of SW-Awaiting Checklist Completion by SYSTEM,Percentage of 'SW-Awaiting Checklist Completion' out of all cases,0.92,
Number of SW-Awaiting Checklist Completion grouped by case:concept:name,"ERROR: computing metric {'count': ""activity == 'SW-Awaiting Checklist Completion'"", 'aggregation': 'total', 'group_by': 'case:concept:name'}",,
Percentage of SW-Awaiting Checklist Completion followed by Manuscript Export Succeeded,Percentage of 'SW-Awaiting Checklist Completion' out of all 'Manuscript Export Succeeded',0.96,
Number of SW-Awaiting Checklist Completion made per year,"ERROR: computing metric {'count': ""activity == 'SW-Awaiting Checklist Completion'"", 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of SW-Awaiting Checklist Completion that are rejected,Percentage of 'SW-Awaiting Checklist Completion' out of all 'SW-EIC Reject',0.97,
Number of SW-Awaiting Checklist Completion in relation to SW-Checklist Completed,Number of 'SW-Awaiting Checklist Completion' activities for cases where activity 'SW-Checklist Completed' occurs,86,
Percentage of SW-Awaiting Checklist Completion,Percentage of 'SW-Awaiting Checklist Completion' out of all cases,0.91,
Number of times SW-Awaiting Checklist Completion is performed,Number of 'SW-Awaiting Checklist Completion' activities,89,
Percentage of SW-Awaiting Checklist Completion done after Original Manuscript Submission Confirmation,Percentage of 'SW-Awaiting Checklist Completion' out of all 'Original Manuscript Submission Confirmation',0.99,
Average number of SW-Awaiting Checklist Completion,the average of the number of times `ACTIVITY` == 'SW-Awaiting Checklist Completion',0.96,
Percentage of SW-Awaiting Checklist Completion with an increment in performance time,Percentage of 'SW-Awaiting Checklist Completion' out of all cases,0.91,
