Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of SW-AE Assign Reviewers before SW-Reviewer Agreed,Percentage of 'SW-AE Assign Reviewers' out of all 'SW-Reviewer Agreed',0.98,
Number of SW-AE Assign Reviewers,Number of 'SW-AE Assign Reviewers' activities,143,
Percentage of SW-AE Assign Reviewers out of all SW-Reviewer Agreed,Percentage of 'SW-AE Assign Reviewers' out of all 'SW-Reviewer Agreed',0.98,
Number of SW-AE Assign Reviewers that are preceded by SW-Reviewer Selection is due in 1 week,Number of 'SW-AE Assign Reviewers' activities for cases where activity 'SW-Reviewer Selection is due in 1 week' occurs,111,
Percentage of SW-AE Assign Reviewers that are not dismissed,Percentage of 'SW-AE Assign Reviewers' out of all cases where 'Unassign Reviewer' does not happen,0.49,
Percentage of SW-AE Assign Reviewers from all SW-Reviewer Agreed,Percentage of 'SW-AE Assign Reviewers' out of all 'SW-Reviewer Agreed',0.98,
Percentage of SW-AE Assign Reviewers by SYSTEM,Percentage of 'SW-AE Assign Reviewers' out of all cases,0.5,
Number of SW-AE Assign Reviewers made per year,"ERROR: computing metric {'count': ""activity == 'SW-AE Assign Reviewers'"", 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of SW-AE Assign Reviewers that are rejected,Percentage of 'SW-AE Assign Reviewers' out of all 'SW-EIC Reject',0.26,
Number of SW-AE Assign Reviewers in relation to SW-Reviewer Declined,Number of 'SW-AE Assign Reviewers' activities for cases where activity 'SW-Reviewer Declined' occurs,100,
Percentage of SW-AE Assign Reviewers,Percentage of 'SW-AE Assign Reviewers' out of all cases,0.49,
Number of times SW-AE Assign Reviewers is performed,Number of 'SW-AE Assign Reviewers' activities,143,
Percentage of SW-AE Assign Reviewers done after SW-Reviewer Selection is now due,Percentage of 'SW-AE Assign Reviewers' out of all 'SW-Reviewer Selection is now due',0.92,
Average number of SW-AE Assign Reviewers,the average of the number of times `ACTIVITY` == 'SW-AE Assign Reviewers',1.54,
Percentage of SW-AE Assign Reviewers with an increment,Percentage of 'SW-AE Assign Reviewers' out of all cases,0.49,
Percentage of SW-AE Assign Reviewers with appeal,Percentage of 'SW-AE Assign Reviewers' out of all cases,0.49,
Average number of SW-AE Assign Reviewers that are followed by SW-Reviewer Agreed,the average of the number of times `ACTIVITY` == 'SW-AE Assign Reviewers' filtered by the function ma > 0 where ma is the number of times `ACTIVITY` == 'SW-Reviewer Agreed',3.07,
Percentage of SW-AE Assign Reviewers with penalty,Percentage of 'SW-AE Assign Reviewers' out of all cases,0.49,
Average number of SW-AE Assign Reviewers in a month,"ERROR: computing metric {'count': ""activity == 'SW-AE Assign Reviewers'"", 'aggregation': 'average', 'group_by': 'month'}",,
Total SW-AE Assign Reviewers done by SYSTEM,Number of 'SW-AE Assign Reviewers' activities == 'SYSTEM' where ma is the last value of performer,135,
Fraction of SW-AE Assign Reviewers that are dismissed,Percentage of 'SW-AE Assign Reviewers' out of all 'Unassign Reviewer',0.8,
Total SW-AE Assign Reviewers performed by SYSTEM,Number of 'SW-AE Assign Reviewers' activities == 'SYSTEM' where ma is the last value of performer,135,
Ratio of SW-AE Assign Reviewers over SW-Reviewer Agreed,Number of 'SW-AE Assign Reviewers' activities for cases where activity 'SW-Reviewer Agreed' occurs,141,
Occasions how often SW-AE Assign Reviewers is performed,Number of 'SW-AE Assign Reviewers' activities,143,
The ratio of SW-AE Assign Reviewers that are not eventually performed,Percentage of 'SW-AE Assign Reviewers' out of all cases where 'SW-AE Assign Reviewers' does not happen,0.49,
Percentage of SW-AE Assign Reviewers followed by SW-Reviewer Selection is 3 days late,Percentage of 'SW-AE Assign Reviewers' out of all 'SW-Reviewer Selection is 3 days late',0.91,
Number of SW-AE Assign Reviewers in variants where SW-Reviewer Agreed is present,Number of 'SW-AE Assign Reviewers' activities for cases where activity 'SW-Reviewer Agreed' occurs,141,
Percentage of SW-AE Assign Reviewers in variants that include SW-Awaiting EIC Decision,Percentage of 'SW-AE Assign Reviewers' out of all 'SW-Awaiting EIC Decision',0.76,
Number of SW-AE Assign Reviewers in variants with SW-Reviewer Declined,Number of 'SW-AE Assign Reviewers' activities for cases where activity 'SW-Reviewer Declined' occurs,100,
Percentage of SW-AE Assign Reviewers in variants that result in SW-EIC Major Revision,Percentage of 'SW-AE Assign Reviewers' out of all 'SW-EIC Major Revision',1.0,
Number of SW-AE Assign Reviewers in variants that end with SW-EIC Accept,Number of 'SW-AE Assign Reviewers' activities for cases where activity 'SW-EIC Accept' occurs,0,
Percentage of SW-AE Assign Reviewers in variants that include SW-Awaiting AE Recommendation,Percentage of 'SW-AE Assign Reviewers' out of all 'SW-Awaiting AE Recommendation',0.64,
Number of SW-AE Assign Reviewers in variants that involve Co-Author Account Created During Manuscript Submission,Number of 'SW-AE Assign Reviewers' activities for cases where activity 'Co-Author Account Created During Manuscript Submission' occurs,93,
Percentage of SW-AE Assign Reviewers in variants that end with Manuscript Export Succeeded,Percentage of 'SW-AE Assign Reviewers' out of all 'Manuscript Export Succeeded',0.51,
