Name;Metric;Value;Agrupation
Percentage of Declaration FOR_APPROVAL by SUPERVISOR out of all activity executions in the event log;Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all cases;0.0;
Number of times Declaration FOR_APPROVAL by SUPERVISOR occurs in cases that eventually lead to Declaration REJECTED by PRE_APPROVER;Number of 'Declaration FOR_APPROVAL by SUPERVISOR' activities for cases where activity 'Declaration REJECTED by PRE_APPROVER' occurs;0.0;
Percentage of variants containing Declaration FOR_APPROVAL by SUPERVISOR that are followed by Declaration REJECTED by PRE_APPROVER;Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all 'Declaration REJECTED by PRE_APPROVER';0.0;
Frequency of Declaration FOR_APPROVAL by SUPERVISOR compared to the frequency of Declaration FOR_APPROVAL by PRE_APPROVER;Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all 'Declaration FOR_APPROVAL by PRE_APPROVER';0.0;
Percentage of Declaration FOR_APPROVAL by SUPERVISOR that are immediately followed by Declaration FINAL_APPROVED by SUPERVISOR;Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';0.0;
Number of Declaration FOR_APPROVAL by SUPERVISOR events that occur in cases with total amount above 100 euros;Number of 'Declaration FOR_APPROVAL by SUPERVISOR' activities > 100 where ma is the last value of case:Amount;0.0;
Percentage of Declaration FOR_APPROVAL by SUPERVISOR among all FOR_APPROVAL activities (i.e., compared to Declaration FOR_APPROVAL by PRE_APPROVER and Declaration FOR_APPROVAL by ADMINISTRATION);Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all cases;0.0;
Percentage of cases where Declaration FOR_APPROVAL by SUPERVISOR appears but Declaration REJECTED by PRE_APPROVER never occurs;Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all cases where 'Declaration REJECTED by PRE_APPROVER' does not happen;0.0;
Ratio of Declaration FOR_APPROVAL by SUPERVISOR to Declaration SUBMITTED by EMPLOYEE;Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all 'Declaration SUBMITTED by EMPLOYEE';0.0;
Percentage of Declaration FOR_APPROVAL by SUPERVISOR that occur after Declaration APPROVED by ADMINISTRATION;Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all 'Declaration APPROVED by ADMINISTRATION';0.0;
Frequency of Declaration FOR_APPROVAL by SUPERVISOR in successful end-to-end variants ending in Payment Handled;Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all 'Payment Handled';0.0;
Number of variants in which Declaration FOR_APPROVAL by SUPERVISOR directly precedes Declaration FINAL_APPROVED by SUPERVISOR;Number of 'Declaration FOR_APPROVAL by SUPERVISOR' activities for cases where activity 'Declaration FINAL_APPROVED by SUPERVISOR' occurs;0.0;
Percentage of all FOR_APPROVAL handovers that are assigned to SUPERVISOR rather than PRE_APPROVER or ADMINISTRATION;Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all cases;0.0;
Frequency of Declaration FOR_APPROVAL by SUPERVISOR in cases that have exactly one approval step after submission (indicating supervisor and budget owner are the same person, per log description);Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all cases;0.0;
Percentage of Declaration FOR_APPROVAL by SUPERVISOR occurrences that belong to the top three most frequent process variants;Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all cases;0.0;
Ratio of Declaration FOR_APPROVAL by SUPERVISOR to Declaration APPROVED by PRE_APPROVER across the entire log;Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all 'Declaration APPROVED by PRE_APPROVER';0.0;
Frequency of Declaration FOR_APPROVAL by SUPERVISOR in variants that do not contain any rejection activity;Number of 'Declaration FOR_APPROVAL by SUPERVISOR' activities;1.0;
Percentage of Declaration FOR_APPROVAL by SUPERVISOR that are not followed by any rejection activity within the same case;Percentage of 'Declaration FOR_APPROVAL by SUPERVISOR' out of all cases;0.0;
Number of Declaration FOR_APPROVAL by SUPERVISOR events that occur in cases later rejected by any actor (including PRE_APPROVER, ADMINISTRATION, BUDGET OWNER, or SUPERVISOR);Number of 'Declaration FOR_APPROVAL by SUPERVISOR' activities;1.0;
Number of Declaration FOR_APPROVAL by SUPERVISOR events per year (2017 vs 2018);"ERROR: computing metric {'count': activity == 'Declaration FOR_APPROVAL by SUPERVISOR'"", 'aggregation': 'total', 'group_by': 'time:timestamp'}""";;
