Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of \Declaration SUBMITTED by EMPLOYEE\ leading directly to \Declaration APPROVED by ADMINISTRATION\,Frequency of activity 'Declaration SUBMITTED by EMPLOYEE' for cases where activity 'Declaration APPROVED by ADMINISTRATION' occurs,7983,
Percentage of \Declaration SUBMITTED by EMPLOYEE\ followed by \Declaration FINAL_APPROVED by SUPERVISOR\ out of all submissions,Percentage of 'Declaration SUBMITTED by EMPLOYEE' out of all 'Declaration FINAL_APPROVED by SUPERVISOR',1.0,
Number of \Declaration SUBMITTED by EMPLOYEE\ with amounts above 100 euros,Number of 'Declaration SUBMITTED by EMPLOYEE' activities > 100 where ma is the last value of case:Amount,2777,
Percentage of \Declaration SUBMITTED by EMPLOYEE\ by \STAFF MEMBER\,Percentage of 'Declaration SUBMITTED by EMPLOYEE' out of all cases,,
Frequency of \Declaration SUBMITTED by EMPLOYEE\ grouped by \case:BudgetNumber\,Frequency of activity '{}' grouped by the last value of case:BudgetNumber,budget 86566:10365,"{""budget 86566"":10365}"
Percentage of \Declaration SUBMITTED by EMPLOYEE\ followed by \Request Payment\,Percentage of 'Declaration SUBMITTED by EMPLOYEE' out of all 'Request Payment',1.0,
Number of \Declaration SUBMITTED by EMPLOYEE\ made per year,"ERROR: computing metric {'count': ""activity == 'Declaration SUBMITTED by EMPLOYEE'"", 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of \Declaration SUBMITTED by EMPLOYEE\ that lead to a \Payment Handled\,Percentage of 'Declaration SUBMITTED by EMPLOYEE' out of all 'Payment Handled',1.0,
Frequency of \Declaration SUBMITTED by EMPLOYEE\ leading to \Declaration REJECTED by ADMINISTRATION\,Frequency of activity 'Declaration SUBMITTED by EMPLOYEE' for cases where activity 'Declaration REJECTED by ADMINISTRATION' occurs,846,
Percentage of \Declaration SUBMITTED by EMPLOYEE\ out of all activities in the event log,Percentage of 'Declaration SUBMITTED by EMPLOYEE' out of all cases,0.99,
Number of times \Declaration SUBMITTED by EMPLOYEE\ is performed before \Declaration APPROVED by PRE_APPROVER\,Number of 'Declaration SUBMITTED by EMPLOYEE' activities for cases where activity 'Declaration APPROVED by PRE_APPROVER' occurs,762,
Percentage of \Declaration SUBMITTED by EMPLOYEE\ that are part of the most frequent variant,Percentage of 'Declaration SUBMITTED by EMPLOYEE' out of all cases,0.99,
Frequency of \Declaration SUBMITTED by EMPLOYEE\ in relation to \Declaration REJECTED by EMPLOYEE\,Frequency of activity 'Declaration SUBMITTED by EMPLOYEE' for cases where activity 'Declaration REJECTED by EMPLOYEE' occurs,1212,
Percentage of \Declaration SUBMITTED by EMPLOYEE\ that are part of variants leading to \Payment Handled\ without rejections,Percentage of 'Declaration SUBMITTED by EMPLOYEE' out of all 'Payment Handled',1.0,
"Number of \Declaration SUBMITTED by EMPLOYEE\ that are followed by any form of approval (\Declaration APPROVED by ADMINISTRATION\, \Declaration APPROVED by BUDGET OWNER\, \Declaration FINAL_APPROVED by SUPERVISOR\)",Number of 'Declaration SUBMITTED by EMPLOYEE' activities for cases where activity 'Declaration APPROVED by ADMINISTRATION' occurs,8950,
Percentage of \Declaration SUBMITTED by EMPLOYEE\ that result in a rejection at any stage,Percentage of 'Declaration SUBMITTED by EMPLOYEE' out of all 'Declaration REJECTED by ADMINISTRATION',1.0,
Average number of \Declaration SUBMITTED by EMPLOYEE\ per month,"ERROR: computing metric {'count': ""activity == 'Declaration SUBMITTED by EMPLOYEE'"", 'aggregation': 'average', 'group_by': 'month'}",,
Total \Declaration SUBMITTED by EMPLOYEE\ performed by \STAFF MEMBER\,Number of 'Declaration SUBMITTED by EMPLOYEE' activities == 'STAFF MEMBER' where ma is the last value of org:role,,
Ratio of \Declaration SUBMITTED by EMPLOYEE\ over \Declaration REJECTED by ADMINISTRATION\,Frequency of activity 'Declaration SUBMITTED by EMPLOYEE' for cases where activity 'Declaration REJECTED by ADMINISTRATION' occurs,846,
Occasions how often \Declaration SUBMITTED by EMPLOYEE\ is performed without leading to \Payment Handled\,Frequency of activity 'Declaration SUBMITTED by EMPLOYEE' for cases where activity 'Payment Handled' does not occur,10365,
