Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of \Reviewer Invitation Reminder 1\ sent after \SW-AE Assign Reviewers\,Frequency of activity 'Reviewer Invitation Reminder 1' for cases where activity 'SW-AE Assign Reviewers' occurs,42,
Percentage of manuscripts that received a \Reviewer Invitation Reminder 1\ out of all manuscripts,Percentage of 'Reviewer Invitation Reminder 1' out of all 'Original Manuscript Submission Confirmation',0.48,
Number of \Reviewer Invitation Reminder 1\ followed by \SW-Reviewer Agreed\,Number of 'Reviewer Invitation Reminder 1' activities for cases where activity 'SW-Reviewer Agreed' occurs,107,
Percentage of \Reviewer Invitation Reminder 1\ that lead to \SW-Reviewer Declined\,Percentage of 'Reviewer Invitation Reminder 1' out of all 'SW-Reviewer Declined',1.0,
Frequency of \Reviewer Invitation Reminder 1\ in relation to \Reviewer Invitation Reminder 2\,Frequency of activity 'Reviewer Invitation Reminder 1' for cases where activity 'Reviewer Invitation Reminder 2' occurs,41,
Percentage of \Reviewer Invitation Reminder 1\ in the process variant leading to \SW-EIC Major Revision\,Percentage of 'Reviewer Invitation Reminder 1' out of all 'SW-EIC Major Revision',0.87,
Number of \Reviewer Invitation Reminder 1\ per case:concept:name indicating the engagement level in the review process,"ERROR: computing metric {'count': ""activity == 'Reviewer Invitation Reminder 1'"", 'aggregation': 'total', 'group_by': 'case:concept:name'}",,
Percentage of \Reviewer Invitation Reminder 1\ followed by \Assign a Different Editor\ indicating process inefficiencies,Percentage of 'Reviewer Invitation Reminder 1' out of all 'Assign a Different Editor',0.73,
Frequency of \Reviewer Invitation Reminder 1\ in manuscripts that underwent \SW–Major Revision due in 1 week\,"ERROR: computing metric {'count': ""activity == 'Reviewer Invitation Reminder 1'"", 'metric_condition': '> 0', 'aggregation': 'total', 'filter': ""activity == 'SW–Major Revision due in 1 week'""}",,
Percentage of \Reviewer Invitation Reminder 1\ in relation to total reminders sent (including \Reviewer Invitation Reminder 2\) indicating the effectiveness of initial reminders,Percentage of 'Reviewer Invitation Reminder 1' out of all 'Reviewer Invitation Reminder 2',1.0,
Percentage of \Reviewer Invitation Reminder 1\ leading to a \SW-Reviewer Agreed\ within a week indicating the effectiveness of the reminder,Percentage of 'Reviewer Invitation Reminder 1' out of all 'SW-Reviewer Agreed',0.93,
Frequency of \Reviewer Invitation Reminder 1\ in the process variant leading to \RW-EIC Accept\ indicating the impact of reminders on successful manuscript acceptance,Frequency of activity 'Reviewer Invitation Reminder 1' for cases where activity 'RW-EIC Accept' occurs,18,
Percentage of \Reviewer Invitation Reminder 1\ in manuscripts that were eventually withdrawn or rejected indicating potential areas for process improvement,Percentage of 'Reviewer Invitation Reminder 1' out of all 'Manuscript is Withdrawn',0.5,
Number of \Reviewer Invitation Reminder 1\ in relation to \SW-AE Assign Reviewers\ indicating the efficiency of reviewer assignment process,Number of 'Reviewer Invitation Reminder 1' activities for cases where activity 'SW-AE Assign Reviewers' occurs,105,
