Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of Reviewer Invitation Reminder 1 out of all reviewer-related activities,Percentage of 'Reviewer Invitation Reminder 1' out of all 'SW-AE Assign Reviewers',0.91,
Frequency of Reviewer Invitation Reminder 1 occurrences,Frequency of activity 'Reviewer Invitation Reminder 1',47,
Percentage of Reviewer Invitation Reminder 1 followed by SW-Reviewer Agreed,Percentage of 'Reviewer Invitation Reminder 1' out of all 'SW-Reviewer Agreed',0.93,
Number of Reviewer Invitation Reminder 1 that are preceded by SW-AE Assign Reviewers,Frequency of activity 'Reviewer Invitation Reminder 1' for cases where activity 'SW-AE Assign Reviewers' occurs,42,
Percentage of Reviewer Invitation Reminder 1 that lead to Reviewer Invitation Reminder 2,Percentage of 'Reviewer Invitation Reminder 1' out of all 'Reviewer Invitation Reminder 2',1.0,
Frequency of Reviewer Invitation Reminder 1 in the context of each variant,"ERROR: computing metric {'count': ""activity == 'Reviewer Invitation Reminder 1'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'concept:name'}",,
"Percentage of Reviewer Invitation Reminder 1 out of all invitation reminder activities (Reviewer Invitation Reminder 1, Reviewer Invitation Reminder 2)",Percentage of 'Reviewer Invitation Reminder 1' out of all 'Reviewer Invitation Reminder 2',1.0,
Number of Reviewer Invitation Reminder 1 grouped by case:concept:name,"ERROR: computing metric {'count': ""activity == 'Reviewer Invitation Reminder 1'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'concept:name'}",,
Number of Reviewer Invitation Reminder 1 made per year,"ERROR: computing metric {'count': ""activity == 'Reviewer Invitation Reminder 1'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of Reviewer Invitation Reminder 1 that are dismissed,Percentage of 'Reviewer Invitation Reminder 1' out of all 'SW-Reviewer Declined',1.0,
Number of Reviewer Invitation Reminder 1 in relation to SW-Reviewer Declined,Frequency of activity 'Reviewer Invitation Reminder 1' for cases where activity 'SW-Reviewer Declined' occurs,29,
Percentage of Reviewer Invitation Reminder 1 that lead to SW-Reviewer No Response,Percentage of 'Reviewer Invitation Reminder 1' out of all 'SW-Reviewer No Response',1.0,
Frequency of Reviewer Invitation Reminder 1 compared to SW-AE Assign Reviewers,Frequency of activity 'Reviewer Invitation Reminder 1' for cases where activity 'SW-AE Assign Reviewers' occurs,42,
Percentage of Reviewer Invitation Reminder 1 that occur before SW-Reviewer Selection is now due,Percentage of 'Reviewer Invitation Reminder 1' out of all 'SW-Reviewer Selection is now due',0.75,
Number of times Reviewer Invitation Reminder 1 is performed,Frequency of activity 'Reviewer Invitation Reminder 1',47,
Percentage of Reviewer Invitation Reminder 1 done after SW-Reviewer Selection is due in 1 week,Percentage of 'Reviewer Invitation Reminder 1' out of all 'SW-Reviewer Selection is due in 1 week',0.74,
Average number of Reviewer Invitation Reminder 1,Percentage of 'Reviewer Invitation Reminder 1' out of all cases,0.51,
Percentage of Reviewer Invitation Reminder 1 with an increment in frequency over time,"ERROR: computing metric {'count': ""activity == 'Reviewer Invitation Reminder 1'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'group_by': 'time:timestamp'}",,
Percentage of Reviewer Invitation Reminder 1 with appeal compared to SW-Reviewer Agreed,Percentage of 'Reviewer Invitation Reminder 1' out of all 'SW-Reviewer Agreed',0.93,
Average number of Reviewer Invitation Reminder 1 that are followed by SW-Reviewer Agreed,Percentage of 'Reviewer Invitation Reminder 1' out of all 'SW-Reviewer Agreed',0.93,
Percentage of Reviewer Invitation Reminder 1 with penalty compared to SW-Reviewer Declined,Percentage of 'Reviewer Invitation Reminder 1' out of all 'SW-Reviewer Declined',1.0,
Average number of Reviewer Invitation Reminder 1 in a month,"ERROR: computing metric {'count': ""activity == 'Reviewer Invitation Reminder 1'"", 'metric_condition': '> 0', 'aggregation': 'average', 'group_by': 'month'}",,
Total Reviewer Invitation Reminder 1 done by SYSTEM,Number of 'Reviewer Invitation Reminder 1' activities == 'SYSTEM' where ma is the last value of performer,110,
Fraction of Reviewer Invitation Reminder 1 that are dismissed compared to SW-Reviewer Unavailable,Percentage of 'Reviewer Invitation Reminder 1' out of all 'SW-Reviewer Unavailable',1.0,
Total Reviewer Invitation Reminder 1 performed by SYSTEM,Number of 'Reviewer Invitation Reminder 1' activities == 'SYSTEM' where ma is the last value of performer,110,
Ratio of Reviewer Invitation Reminder 1 over SW-Reviewer Selection is due in 1 week,Percentage of 'Reviewer Invitation Reminder 1' out of all 'SW-Reviewer Selection is due in 1 week',0.74,
Occasions how often the Reviewer Invitation Reminder 1 is performed,Frequency of activity 'Reviewer Invitation Reminder 1',47,
The ratio of Reviewer Invitation Reminder 1 that are not eventually followed by SW-Reviewer Agreed,Percentage of 'Reviewer Invitation Reminder 1' out of all cases where 'SW-Reviewer Agreed' does not happen,0.51,
