Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of 'Accepted + Wait' leading to 'Completed + In Call',Frequency of activity 'Accepted + Wait' for cases where activity 'Completed + In Call' occurs,79,
Percentage of 'Accepted + Wait' out of all 'Accepted + In Progress' activities,Percentage of 'Accepted + Wait' out of all 'Accepted + In Progress',0.15,
Number of 'Accepted + Wait' that are followed by 'Completed + Resolved',Frequency of activity 'Accepted + Wait' for cases where activity 'Completed + Resolved' occurs,1064,
Percentage of 'Accepted + Wait' followed by 'Accepted + Assigned',Percentage of 'Accepted + Wait' out of all 'Accepted + Assigned',0.31,
Frequency of 'Accepted + Wait' in relation to 'Queued + Awaiting Assignment',Frequency of activity 'Accepted + Wait' for cases where activity 'Queued + Awaiting Assignment' occurs,934,
Percentage of 'Accepted + Wait' activities that lead to a change in 'impact' level,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'impact != alfanumeric_metric_value'}",,
Number of 'Accepted + Wait' activities that occur before 'Accepted + Wait - User',Number of 'Accepted + Wait' activities for cases where activity 'Accepted + Wait - User' occurs,797,
Frequency of 'Accepted + Wait' in the top 5 most common process variants,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait'"", 'metric_condition': '> 0', 'aggregation': 'total', 'filter': 'activity == alfanumeric_metric_value'}",,
Percentage of 'Accepted + Wait' activities that are part of cases with 'High' impact,Percentage of 'Accepted + Wait' out of all cases,0.13,
Number of 'Accepted + Wait' activities that are followed by any 'Completed +' activity,Number of 'Accepted + Wait' activities for cases where activity 'Completed +' occurs,,
Percentage of 'Accepted + Wait' in cases involving 'PROD582',Percentage of 'Accepted + Wait' out of all cases,0.0,
Frequency of 'Accepted + Wait' followed by 'Accepted + Wait - Implementation',Frequency of activity 'Accepted + Wait' for cases where activity 'Accepted + Wait - Implementation' occurs,116,
Percentage of 'Accepted + Wait' activities in cases that exceed the average case duration,Percentage of 'Accepted + Wait' out of all cases,0.15,
Number of 'Accepted + Wait' activities that precede 'Completed + Closed',Number of 'Accepted + Wait' activities for cases where activity 'Completed + Closed' occurs,1394,
Percentage of 'Accepted + Wait' in cases from 'France' compared to those from 'Brazil',Percentage of 'Accepted + Wait' out of all cases,,
Frequency of 'Accepted + Wait' in cases with 'Medium' impact leading to 'Completed + In Call',Frequency of activity 'Accepted + Wait',514,
Number of 'Accepted + Wait' activities by month to identify trends over time,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait'"", 'aggregation': 'total', 'group_by': 'month'}",,
