Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of 'SW-Checklist Completion is due in three days' out of all activities,Percentage of 'SW-Checklist Completion is due in three days' out of all cases,0.33,
Number of times 'SW-Checklist Completion is due in three days' occurs,Frequency of activity 'SW-Checklist Completion is due in three days',31,
Percentage of 'SW-Checklist Completion is due in three days' followed by 'SW-Checklist Completed',Percentage of 'SW-Checklist Completion is due in three days' out of all 'SW-Checklist Completed',0.37,
Number of 'SW-Checklist Completion is due in three days' that are preceded by 'Original Manuscript Submission Confirmation',Frequency of activity 'SW-Checklist Completion is due in three days' for cases where activity 'Original Manuscript Submission Confirmation' occurs,30,
Percentage of 'SW-Checklist Completion is due in three days' from all 'SW-Checklist Completed',Percentage of 'SW-Checklist Completion is due in three days' out of all 'SW-Checklist Completed',0.37,
Number of 'SW-Checklist Completion is due in three days' in relation to 'Plagiarism Originality Report Completed',Frequency of activity 'SW-Checklist Completion is due in three days' for cases where activity 'Plagiarism Originality Report Completed' occurs,30,
Percentage of 'SW-Checklist Completion is due in three days' from the total events in each process variant,"ERROR: computing metric {'count': ""activity == 'SW-Checklist Completion is due in three days'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'group_by': 'concept:name'}",,
Number of 'SW-Checklist Completion is due in three days' grouped by 'case:concept:name',"ERROR: computing metric {'count': ""activity == 'SW-Checklist Completion is due in three days'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'case:concept:name'}",,
Number of 'SW-Checklist Completion is due in three days' made per year,"ERROR: computing metric {'count': ""activity == 'SW-Checklist Completion is due in three days'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of 'SW-Checklist Completion is due in three days' that are completed within three days,Percentage of 'SW-Checklist Completion is due in three days' out of all cases,0.33,
Number of times 'SW-Checklist Completion is due in three days' is performed,Frequency of activity 'SW-Checklist Completion is due in three days',31,
Percentage of 'SW-Checklist Completion is due in three days' done after 'SW-Awaiting Checklist Completion',Percentage of 'SW-Checklist Completion is due in three days' out of all 'SW-Awaiting Checklist Completion',0.35,
Average number of 'SW-Checklist Completion is due in three days',Percentage of 'SW-Checklist Completion is due in three days' out of all cases,0.33,
Percentage of 'SW-Checklist Completion is due in three days' with respect to 'SW-Initial Reviewer Selection',Percentage of 'SW-Checklist Completion is due in three days' out of all 'SW-Initial Reviewer Selection',0.37,
Number of 'SW-Checklist Completion is due in three days' in process variants leading to 'SW-EIC Reject',Frequency of activity 'SW-Checklist Completion is due in three days' for cases where activity 'SW-EIC Reject' occurs,9,
Percentage of 'SW-Checklist Completion is due in three days' followed by 'SW-Awaiting AE Assignment',Percentage of 'SW-Checklist Completion is due in three days' out of all 'SW-Awaiting AE Assignment',0.25,
Percentage of 'SW-Checklist Completion is due in three days' in the review process of scientific papers,Percentage of 'SW-Checklist Completion is due in three days' out of all cases,0.33,
Number of 'SW-Checklist Completion is due in three days' in process variants with high frequency,Frequency of activity 'SW-Checklist Completion is due in three days',31,
Percentage of 'SW-Checklist Completion is due in three days' from all activities in the review process,Percentage of 'SW-Checklist Completion is due in three days' out of all cases,0.33,
Number of 'SW-Checklist Completion is due in three days' grouped by 'concept:name',"ERROR: computing metric {'count': ""activity == 'SW-Checklist Completion is due in three days'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'concept:name'}",,
Percentage of 'SW-Checklist Completion is due in three days' in process variants involving 'SW-Reviewer Declined',Percentage of 'SW-Checklist Completion is due in three days' out of all 'SW-Reviewer Declined',0.34,
Number of 'SW-Checklist Completion is due in three days' made per month,"ERROR: computing metric {'count': ""activity == 'SW-Checklist Completion is due in three days'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'month'}",,
Percentage of 'SW-Checklist Completion is due in three days' from the total events in each variant,"ERROR: computing metric {'count': ""activity == 'SW-Checklist Completion is due in three days'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'group_by': 'concept:name'}",,
Number of 'SW-Checklist Completion is due in three days' in process variants leading to 'SW-EIC Major Revision',Frequency of activity 'SW-Checklist Completion is due in three days' for cases where activity 'SW-EIC Major Revision' occurs,6,
Percentage of 'SW-Checklist Completion is due in three days' followed by 'SW-Reviewer Selection is due in 1 week',Percentage of 'SW-Checklist Completion is due in three days' out of all 'SW-Reviewer Selection is due in 1 week',0.38,
Number of 'SW-Checklist Completion is due in three days' in process variants with low performance,Frequency of activity 'SW-Checklist Completion is due in three days',31,
Percentage of 'SW-Checklist Completion is due in three days' from all activities in the scientific paper review process,Percentage of 'SW-Checklist Completion is due in three days' out of all cases,0.33,
