Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of 'Declaration REJECTED by MISSING' compared to the total number of declarations submitted.,Percentage of 'Declaration REJECTED by MISSING' out of all 'Declaration SUBMITTED by EMPLOYEE',0.01,
Percentage of 'Declaration REJECTED by MISSING' followed by 'Declaration SUBMITTED by EMPLOYEE'.,Percentage of 'Declaration REJECTED by MISSING' out of all 'Declaration SUBMITTED by EMPLOYEE',0.01,
Number of 'Declaration REJECTED by MISSING' in relation to 'Declaration FINAL_APPROVED by SUPERVISOR'.,Number of 'Declaration REJECTED by MISSING' activities for cases where activity 'Declaration FINAL_APPROVED by SUPERVISOR' occurs,89.0,
Percentage of 'Declaration REJECTED by MISSING' out of all rejections.,"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by MISSING'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity LIKE 'Declaration REJECTED by %'""}",,
Frequency of 'Declaration REJECTED by MISSING' in variants involving 'Declaration APPROVED by ADMINISTRATION'.,Frequency of activity 'Declaration REJECTED by MISSING' for cases where activity 'Declaration APPROVED by ADMINISTRATION' occurs,3.0,
Percentage of 'Declaration REJECTED by MISSING' that lead to a new submission by the same employee within a month.,"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by MISSING'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity == 'Declaration SUBMITTED by EMPLOYEE' AND time:timestamp <= '1 month'""}",,
Number of 'Declaration REJECTED by MISSING' with amounts above 100 euros.,Number of 'Declaration REJECTED by MISSING' activities > 100 where ma is the last value of case:Amount,34.0,
Percentage of 'Declaration REJECTED by MISSING' by 'STAFF MEMBER' compared to 'SYSTEM'.,Percentage of 'Declaration REJECTED by MISSING' out of all cases,0.07,
Frequency of 'Declaration REJECTED by MISSING' per year.,"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by MISSING'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of 'Declaration REJECTED by MISSING' in the process flow before 'Request Payment'.,Percentage of 'Declaration REJECTED by MISSING' out of all 'Request Payment',0.01,
Ratio of 'Declaration REJECTED by MISSING' over 'Declaration APPROVED by ADMINISTRATION'.,"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by MISSING'"", 'metric_condition': '> 0', 'aggregation': 'ratio', 'filter': ""activity == 'Declaration APPROVED by ADMINISTRATION'""}",,
Number of times 'Declaration REJECTED by MISSING' is the final activity in a case.,"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by MISSING'"", 'aggregation': 'total', 'filter': ""activity == 'Declaration REJECTED by MISSING' AND activity == LAST_ACTIVITY""}",,
Percentage of 'Declaration REJECTED by MISSING' in cases with a budget number different from budget 86566.,Percentage of 'Declaration REJECTED by MISSING' out of all cases,0.01,
Frequency of 'Declaration REJECTED by MISSING' in cases with an amount higher than the average case amount.,"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by MISSING'"", 'metric_condition': '> 0', 'aggregation': 'total', 'filter': 'case:Amount > AVERAGE(case:Amount)'}",,
Percentage of 'Declaration REJECTED by MISSING' in cases that involve travel expense claims for domestic trips.,Percentage of 'Declaration REJECTED by MISSING' out of all cases,0.01,
