Name;Metric;Value;Agrupation
Percentage of cases where 'Declaration APPROVED by ADMINISTRATION' is followed by 'Declaration REJECTED by PRE_APPROVER';Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all 'Declaration REJECTED by PRE_APPROVER';0.02;
Frequency of 'Declaration APPROVED by ADMINISTRATION' in variants that eventually lead to 'Declaration REJECTED by PRE_APPROVER';Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all 'Declaration REJECTED by PRE_APPROVER';0.02;
Number of times 'Declaration APPROVED by ADMINISTRATION' is immediately followed by 'Declaration FINAL_APPROVED by SUPERVISOR' without involving a PRE_APPROVER;Number of 'Declaration APPROVED by ADMINISTRATION' activities for cases where activity 'Declaration FINAL_APPROVED by SUPERVISOR' occurs;8138.0;
Frequency of 'Declaration APPROVED by ADMINISTRATION' in cases with total amount above 100 euros;Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all cases;0.79;
Ratio of 'Declaration APPROVED by ADMINISTRATION' to 'Declaration SUBMITTED by EMPLOYEE' across the entire event log;Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all 'Declaration SUBMITTED by EMPLOYEE';0.77;
Percentage of cases where 'Declaration APPROVED by ADMINISTRATION' leads directly to 'Request Payment' without further approvals or rejections;Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all 'Request Payment';0.79;
Percentage of 'Declaration APPROVED by ADMINISTRATION' that are succeeded by 'Declaration APPROVED by BUDGET OWNER' instead of routing to a PRE_APPROVER;Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all 'Declaration APPROVED by BUDGET OWNER';1.0;
Number of times 'Declaration APPROVED by ADMINISTRATION' appears in the most frequent variant (frequency = 4618);Number of 'Declaration APPROVED by ADMINISTRATION' activities;8202.0;
Percentage of all 'Declaration APPROVED by ADMINISTRATION' executions that belong to variants resulting in successful payment ('Payment Handled');Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all 'Payment Handled';0.79;
Percentage of 'Declaration APPROVED by ADMINISTRATION' that are part of process variants ending in rejection by any actor;Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all cases;0.76;
Percentage of process variants containing 'Declaration APPROVED by ADMINISTRATION' that do not include any rejection activity downstream;Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all cases;0.76;
Percentage of 'Declaration APPROVED by ADMINISTRATION' that are followed by at least one rejection activity later in the same case;Percentage of 'Declaration APPROVED by ADMINISTRATION' out of all cases;0.76;
Number of 'Declaration APPROVED by ADMINISTRATION' events that occur before any involvement of a PRE_APPROVER in the same case;Number of 'Declaration APPROVED by ADMINISTRATION' activities;8202.0;
Frequency of 'Declaration APPROVED by ADMINISTRATION' in variants that skip the PRE_APPROVER role entirely;Number of 'Declaration APPROVED by ADMINISTRATION' activities;8202.0;
Percentage of 'Declaration APPROVED by ADMINISTRATION' occurrences out of all approval activities (including 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER');"ERROR: computing metric {'count': activity == 'Declaration APPROVED by ADMINISTRATION'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity in ['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER']""}""";;
