Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by ADMINISTRATION,The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by ADMINISTRATION',8 days 07:56:15.401891,
Average time between Declaration REJECTED by ADMINISTRATION and Declaration REJECTED by EMPLOYEE,The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration REJECTED by EMPLOYEE',3 days 13:50:56.539834,
Total time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by ADMINISTRATION across all cases,The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by ADMINISTRATION',7047 days 19:13:10,
Total resolution time of Declaration REJECTED by ADMINISTRATION,The sum of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case,11718 days 12:26:59,
Minimum time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by ADMINISTRATION,The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by ADMINISTRATION',0 days 00:00:01,
Average time from Declaration REJECTED by ADMINISTRATION to Declaration SUBMITTED by EMPLOYEE for cases that are resubmitted,The average of the duration between activity Declaration REJECTED by ADMINISTRATION and activity Declaration SUBMITTED by EMPLOYEE for cases where activity Declaration SUBMITTED by EMPLOYEE occurs,8 days 06:42:22.772727,
Total time for Declaration REJECTED by ADMINISTRATION to be followed by Declaration APPROVED by ADMINISTRATION,The sum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration APPROVED by ADMINISTRATION',5103 days 13:47:53,
Minimum time between Declaration REJECTED by ADMINISTRATION and next Declaration SUBMITTED by EMPLOYEE,The minimum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration SUBMITTED by EMPLOYEE',0 days 00:06:26,
Average time from Declaration REJECTED by ADMINISTRATION to Declaration FINAL_APPROVED by SUPERVISOR,The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration FINAL_APPROVED by SUPERVISOR',10 days 12:52:47.882075,
Total time from Declaration REJECTED by ADMINISTRATION to Declaration APPROVED by ADMINISTRATION in cases where declarations are resubmitted and approved,The sum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration APPROVED by ADMINISTRATION',5103 days 13:47:53,
Average time from Declaration REJECTED by ADMINISTRATION to Request Payment in cases where declarations are eventually approved,The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Request Payment',13 days 13:25:37.794025,
Minimum time from Declaration REJECTED by ADMINISTRATION to Declaration APPROVED by ADMINISTRATION in resubmitted cases,The minimum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration APPROVED by ADMINISTRATION',0 days 00:06:28,
Average time for Declaration REJECTED by ADMINISTRATION before a Declaration is finally APPROVED by BUDGET OWNER,The average of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration APPROVED by BUDGET OWNER',10 days 02:04:48.521368,
Total time for all activities to occur between Declaration REJECTED by ADMINISTRATION and Declaration FINAL_APPROVED by SUPERVISOR in resubmitted cases,The sum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration FINAL_APPROVED by SUPERVISOR',6701 days 07:39:33,
Average time for Declaration REJECTED by ADMINISTRATION to be followed by any subsequent activity,The average of the duration between activity Declaration REJECTED by ADMINISTRATION and the end of the case,13 days 20:26:24.892435,
