Name;Metric;Value;Agrupation
Percentage of Declaration APPROVED by BUDGET OWNER before Declaration FINAL_APPROVED by SUPERVISOR;Percentage of 'Declaration APPROVED by BUDGET OWNER' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';0.28;
Number of Declaration APPROVED by BUDGET OWNER;Number of 'Declaration APPROVED by BUDGET OWNER' activities;2820;
Percentage of Declaration APPROVED by BUDGET OWNER out of all Declaration SUBMITTED by EMPLOYEE;Percentage of 'Declaration APPROVED by BUDGET OWNER' out of all 'Declaration SUBMITTED by EMPLOYEE';0.27;
Number of Declaration APPROVED by BUDGET OWNER that are preceded by Declaration APPROVED by ADMINISTRATION;Number of 'Declaration APPROVED by BUDGET OWNER' activities for cases where activity 'Declaration APPROVED by ADMINISTRATION' occurs;2820;
Percentage of Declaration APPROVED by BUDGET OWNER that are not dismissed;Percentage of 'Declaration APPROVED by BUDGET OWNER' out of all cases where 'Declaration REJECTED by BUDGET OWNER' does not happen;0.27;
Percentage of Declaration APPROVED by BUDGET OWNER from all Declaration FOR_APPROVAL by ADMINISTRATION;Percentage of 'Declaration APPROVED by BUDGET OWNER' out of all 'Declaration FOR_APPROVAL by ADMINISTRATION';1.0;
Number of Declaration APPROVED by BUDGET OWNER with amounts above 100 euros;Number of 'Declaration APPROVED by BUDGET OWNER' activities > 100 where ma is the last value of case:Amount;722;
Percentage of Declaration APPROVED by BUDGET OWNER by STAFF MEMBER;Percentage of 'Declaration APPROVED by BUDGET OWNER' out of all cases;;
Number of Declaration APPROVED by BUDGET OWNER grouped by case:BudgetNumber;Number of 'Declaration APPROVED by BUDGET OWNER' activities;2820;
Percentage of Declaration APPROVED by BUDGET OWNER by worker;Percentage of 'Declaration APPROVED by BUDGET OWNER' out of all cases;STAFF MEMBER:0.02;"{""STAFF MEMBER"":0.0196936543,""SYSTEM"":0.2786020114}"
Percentage of Declaration APPROVED by BUDGET OWNER followed by Declaration FINAL_APPROVED by SUPERVISOR;Percentage of 'Declaration APPROVED by BUDGET OWNER' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';0.28;
Percentage of Declaration APPROVED by BUDGET OWNER that are rejected;Percentage of 'Declaration APPROVED by BUDGET OWNER' out of all 'Declaration REJECTED by BUDGET OWNER';0.5;
Number of Declaration APPROVED by BUDGET OWNER in relation to Declaration REJECTED by BUDGET OWNER;Number of 'Declaration APPROVED by BUDGET OWNER' activities for cases where activity 'Declaration REJECTED by BUDGET OWNER' occurs;30;
Percentage of Declaration APPROVED by BUDGET OWNER;Percentage of 'Declaration APPROVED by BUDGET OWNER' out of all cases;0.27;
Number of times Declaration APPROVED by BUDGET OWNER is performed;Number of 'Declaration APPROVED by BUDGET OWNER' activities;2820;
Percentage of Declaration APPROVED by BUDGET OWNER done after Declaration APPROVED by ADMINISTRATION;Percentage of 'Declaration APPROVED by BUDGET OWNER' out of all 'Declaration APPROVED by ADMINISTRATION';0.35;
