Name;Metric;Value;Agrupation
Average duration from 'Accepted + In Progress' to 'Completed + Closed';The average of the duration between activity 'Accepted + In Progress' and activity 'Completed + Closed';16.07 days;
Maximum duration from 'Accepted + Wait - User' to 'Completed + Closed';The maximum of the duration between activity 'Accepted + Wait - User' and activity 'Completed + Closed';477.41 days;
Minimum duration from 'Completed + In Call' to 'Completed + Closed';The minimum of the duration between activity 'Completed + In Call' and activity 'Completed + Closed';15.00 seconds;
Average duration for 'Completed + Closed' across different countries;The average of the duration between the start of the case and activity 'Completed + Closed';0:14.61 days;"{""0"":1261968636,""SE"":795192327,""au"":1335029181,""be"":1310828534,""br"":919187667,""ca"":1088276000,""cl"":1749604000,""cn"":1252882765,""de"":9972517000,""fr"":1782243536,""gb"":1594971700,""in"":1163393310,""jp"":1710234933,""kr"":1445071786,""my"":800241200,""nl"":17073294931,""pe"":622169000,""pl"":1023251595,""ru"":1428280263,""se"":1317958031,""th"":1172917000,""tr"":1674368000,""us"":1000177151}"
Total duration for 'Completed + Closed' activities in the event log;The sum of the duration between the start of the case and activity 'Completed + Closed';89695.10 days;
Average duration from 'Accepted + Assigned' to 'Completed + Closed' compared to 'Accepted + Assigned' to 'Completed + Resolved';The average of the duration between activity 'Accepted + Assigned' and activity 'Completed + Closed';19.24 days;
Difference in average duration between 'Completed + Closed' and 'Completed + Resolved' for cases with 'High' impact;The average of the duration between the start of the case and activity 'Completed + Closed';16.99 days;
Total duration of 'Completed + Closed' activities for 'PROD582' product;The sum of the duration between the beginning of the case and activity 'Completed + Closed' for cases where activity 'Completed + Closed' occurs;1084.54 days;
Average duration from 'Accepted + Wait - Vendor' to 'Completed + Closed' and its variance across different organizations;The average of the duration between activity 'Accepted + Wait - Vendor' and activity 'Completed + Closed';Org line A2:18.36 days;"{""Org line A2"":1586489760,""Org line B"":2159313111,""Org line C"":1408653653,""Org line D"":null,""Org line E"":null,""Org line F"":null,""Org line G1"":null,""Org line G2"":null,""Org line G3"":null,""Org line G4"":660451000,""Org line H"":null,""Org line V1"":null,""Org line V10"":3449915500,""Org line V11"":null,""Org line V2"":1583957500,""Org line V3"":null,""Org line V5"":1114737000,""Org line V7"":null,""Org line V7n"":6061136000,""Org line V8"":null,""Org line V9"":null,""Other"":1420490000}"
Average duration for 'Completed + Closed' activities grouped by 'org:group';The average of the duration between the start of the case and activity 'Completed + Closed';A10:7.82 days;"{""A10"":675765826,""A15"":null,""A16"":null,""A18"":837048250,""A2 2nd"":1133137181,""A20 3rd"":843108000,""A6"":645175000,""A8 2nd"":704893500,""B11 3rd"":929246000,""B13"":625597000,""B14"":4686784000,""B17"":2944315500,""B2 2nd"":47729500,""B3"":583375250,""B5"":696921631,""B6"":472202500,""B7"":781902000,""B8"":448733500,""B9"":379179571,""C1"":794654233,""C2"":858267444,""C4 3rd"":3702937000,""C7 2nd"":1712726000,""C9"":656834409,""D1"":939988064,""D10"":404293833,""D2"":1117981255,""D3"":278577212,""D4"":271330000,""D5"":1441842094,""D6"":2043274682,""D7"":3113223838,""D8"":849602801,""D9"":395915500,""E1"":1219131000,""G101 2nd"":2318788000,""G102 2nd"":1404499000,""G104 2nd"":2802199000,""G105 2nd"":3731230962,""G107 3rd"":3208180333,""G108 2nd"":705513000,""G109 2nd"":5129140000,""G11 2nd"":972457736,""G110 2nd"":654206500,""G113 2nd"":1387115000,""G115 3rd"":1517301000,""G116"":6284714000,""G118 2nd"":1139383705,""G119 2nd"":1293985625,""G12 2nd"":6144831666,""G121 2nd"":1655883000,""G123 2nd"":1332814000,""G126 2nd"":796685000,""G129 3rd"":1731358500,""G13 2nd"":3167443000,""G130 3rd"":1079927000,""G131 2nd"":625049000,""G133 3rd"":1978563600,""G135 2nd"":870511000,""G138 2nd"":980320857,""G140 2nd"":905133066,""G143 2nd"":759030666,""G144 3rd"":2389012000,""G146 2nd"":492368655,""G15 2nd"":6436480000,""G153 2nd"":1558762571,""G156 2nd"":4260199000,""G157 2nd"":1429861000,""G16"":827478000,""G161 2nd"":762867333,""G165 2nd"":1895304666,""G166 2nd"":1182542818,""G167 2nd"":16129220000,""G171 2nd"":916576000,""G173 2nd"":1025835000,""G174 2nd"":656891888,""G176 2nd"":null,""G179"":867227800,""G18 3rd"":5044363666,""G181 2nd"":985032666,""G186 2nd"":1388173909,""G189 2nd"":1491525333,""G19 3rd"":6436294000,""G193 2nd"":783622428,""G195"":908761000,""G197 2nd"":962559600,""G2 3rd"":1250635666,""G20 2nd"":2135126000,""G207 2nd"":663208000,""G209 2nd"":742258000,""G21 2nd"":3759288000,""G213 2nd"":1685201500,""G22 2nd"":874618261,""G225 3rd"":1372771600,""G227"":666637000,""G230 2nd"":1165473032,""G236 2nd"":1251432250,""G238 2nd"":1680492200,""G253 2nd"":576434000,""G255 2nd"":1072219444,""G257 3rd"":1652647200,""G26 2nd"":751003000,""G260 2nd"":856719000,""G261 3rd"":22939891000,""G263 2nd"":1662534000,""G266 2nd"":942303562,""G268 3rd"":843157666,""G27 2nd"":1675088000,""G270 3rd"":643055000,""G271 2nd"":625130333,""G276 2nd"":1526097214,""G278 3rd"":1968375750,""G285 2nd"":1824847000,""G288 2nd"":1239207333,""G29 3rd"":1491721000,""G290 3rd"":1690638000,""G291 2nd"":1041803750,""G294 2nd"":902992000,""G296 2nd"":202526500,""G297"":1313698571,""G299"":974292833,""G3 2nd"":1640885250,""G300"":695626000,""G303 2nd"":null,""G304 2nd"":734056750,""G305 2nd"":1441134666,""G306 2nd"":902091444,""G308 2nd"":736551000,""G31 3rd"":1194579000,""G310"":2558028333,""G311"":641197555,""G312"":830159000,""G32 2nd"":2502163000,""G322"":1895347000,""G325 2nd"":688703100,""G327 2nd"":2116552666,""G328 2nd"":1849739500,""G33"":4788493000,""G331 3rd"":688429000,""G334 2nd"":1008027500,""G335 2nd"":1070107000,""G338 2nd"":941755000,""G34 3rd"":1376317260,""G340"":1215730000,""G341 3rd"":623950000,""G343 2nd"":2313080750,""G345 2nd"":1997078000,""G348 2nd"":1156197478,""G35 2nd"":649455500,""G352 2nd"":819602666,""G354 3rd"":660412166,""G355 2nd"":780637000,""G356 2nd"":8871343600,""G357 2nd"":1051107571,""G358 2nd"":505387956,""G359"":856122300,""G36 3rd"":1604072000,""G364 2nd"":6302303000,""G365"":983980200,""G367 2nd"":658970000,""G368"":25279821000,""G370"":724870437,""G373"":639673000,""G375"":8976419500,""G376"":644603000,""G38 2nd"":660663000,""G40"":1379570772,""G42 3rd"":1091148166,""G43 2nd"":729816000,""G44 2nd"":652432000,""G45 2nd"":2087498214,""G46 2nd"":2454696000,""G47 2nd"":1037463204,""G48 2nd"":1994463428,""G49"":818195800,""G50 2nd"":762654000,""G51 2nd"":679553232,""G52 3rd"":3219098000,""G53 2nd"":1334466000,""G55 2nd"":861674222,""G57 2nd"":1764722750,""G59 2nd"":805837250,""G6 3rd"":2975968000,""G60 2nd"":662015000,""G61 3rd"":1502460000,""G63 2nd"":997301363,""G64 2nd"":1723126000,""G65 2nd"":1169387000,""G66 2nd"":1418610500,""G67 2nd"":1158993000,""G68 2nd"":902474000,""G69 2nd"":730382888,""G7 3rd"":2551048500,""G70 2nd"":738532750,""G71 2nd"":null,""G72 2nd"":726896000,""G73"":959115000,""G76"":661394739,""G8 2nd"":742279333,""G80"":651604000,""G81"":783177000,""G82"":641980000,""G83 2nd"":2557067000,""G84 2nd"":2320172500,""G85"":722696000,""G87 2nd"":1952934400,""G88 2nd"":1205408571,""G89 2nd"":3061019000,""G9 2nd"":3592381000,""G92"":1070291540,""G93 2nd"":1102296178,""G96"":871777886,""G97"":1085328481,""G98 2nd"":772635750,""G99 2nd"":434885666,""J12 2nd"":893820000,""J2 2nd"":707319500,""J4 2nd"":1153341750,""J5"":1600871415,""K1 3rd"":1135095500,""L1 2nd"":2717706000,""L16 2nd"":3660776000,""L19 2nd"":4244040333,""L20 2nd"":1248844000,""L23 3rd"":1511204833,""L25 2nd"":656360000,""L26 3rd"":650499583,""L28 2nd"":1129593000,""L31 2nd"":652432125,""L33 2nd"":1099070000,""L34 3rd"":1864859500,""L38 3rd"":1107813241,""L39 3rd"":880487500,""L40 3rd"":3400464333,""L42 3rd"":816909000,""L45 3rd"":818573000,""L50 3rd"":1887225785,""L51 3rd"":889720500,""L53 2nd"":1520081250,""L57 3rd"":1054502000,""L58 3rd"":1395669000,""L6 2nd"":1197639071,""L60 2nd"":1524878000,""L64 3rd"":663454666,""M1 2nd"":808207000,""M10"":5137219000,""M11"":1341099333,""M12"":552721500,""M13 2nd"":553011800,""M14"":864590333,""M15 2nd"":468816166,""M16 2nd"":701703666,""M16 3rd"":1421013555,""M17"":1225654692,""M20 2nd"":1255162133,""M21 2nd"":2515794200,""M21 3rd"":650490000,""M22 2nd"":1406214333,""M23"":2017732652,""M24 2nd"":2403008600,""M25"":4528463000,""M26"":662739000,""M27"":2978806166,""M28 2nd"":828352000,""M3 2nd"":698098000,""M4"":1396348666,""M5 2nd"":8686905000,""M6"":1836064000,""M7 2nd"":1923083200,""M8"":1501514448,""M9"":1138987666,""N10 2nd"":1066317000,""N11 2nd"":706789000,""N12 2nd"":638979000,""N13"":null,""N14 2nd"":1510328333,""N15 2nd"":1389554071,""N16 2nd"":701505900,""N17 2nd"":1782385625,""N19 2nd"":774943956,""N2 2nd"":692762500,""N20"":1007217500,""N20 2nd"":713573000,""N21"":1402370000,""N23 2nd"":1083951142,""N25 2nd"":1558725500,""N26 2nd"":2371528000,""N27 2nd"":634424000,""N27 3rd"":1019697500,""N29 2nd"":4173745500,""N3"":3703633666,""N3 2nd"":1695411500,""N30 2nd"":2873576571,""N31 3rd"":1596820666,""N32"":535930136,""N33"":4653255500,""N34"":1496745000,""N35 2nd"":645693500,""N36"":537130175,""N37"":804144315,""N38"":662010500,""N39"":574114666,""N40"":210797000,""N41"":693973125,""N42"":846363157,""N43"":394159030,""N44"":840818400,""N45"":566451166,""N46"":1047406000,""N47"":640879000,""N49"":863564285,""N5 2nd"":767000800,""N51"":379192625,""N52 2nd"":1216942285,""N53"":384362000,""N55 3rd"":2535866000,""N6"":953680500,""N6 2nd"":979635666,""N7 2nd"":1591642500,""N8 2nd"":4846158000,""O1"":32886000,""O2"":752639600,""P1"":5862742000,""P2"":1558314500,""P3"":670861500,""R2"":1012076333,""R3 2nd"":2510522000,""R4 2nd"":1864411500,""R5"":690925333,""R6 2nd"":1530674944,""R7"":1035498400,""S1 2nd"":1133940166,""S10"":622169000,""S11"":569592666,""S13 2nd"":7110900000,""S13 3rd"":733492000,""S14"":981773875,""S15"":1161938000,""S16"":360847500,""S17 3rd"":1996192000,""S19"":1674368000,""S19 2nd"":1749604000,""S2 2nd"":2861201388,""S20"":1633020000,""S20 2nd"":645750000,""S21 2nd"":928745727,""S22 2nd"":675980000,""S23 2nd"":2257412000,""S24"":1578401900,""S26"":1075885000,""S27"":9710244000,""S29 2nd"":2130290000,""S3 2nd"":631382800,""S30 2nd"":1370046000,""S31"":1573201571,""S31 2nd"":1336006000,""S33 2nd"":647852400,""S35 2nd"":660796600,""S36"":784265000,""S37"":848435250,""S39"":771625840,""S4"":665829000,""S4 2nd"":679987800,""S40"":647132888,""S41"":692171315,""S42"":947301480,""S43"":1531412834,""S44"":653682500,""S45"":1723164000,""S45 2nd"":2935335000,""S46"":647352000,""S48"":812565000,""S49"":1810796393,""S51 2nd"":826882000,""S52 2nd"":677771000,""S53"":1280210000,""S55"":2286413461,""S56"":1043543526,""S58"":1134951750,""S59"":3003650333,""S6"":870386354,""S62"":1003538000,""S63"":634131000,""S8"":966809000,""S9 2nd"":732251354,""T1"":1172917000,""T10"":655456000,""T10 2nd"":1477425000,""T12"":758284000,""T13 2nd"":1372841222,""T14"":null,""T14 2nd"":733083500,""T15 2nd"":null,""T16"":1022262000,""T16 2nd"":2314432142,""T17"":825686833,""T18"":760206000,""T2 2nd"":617194333,""T3 2nd"":1418963000,""T4 2nd"":5924276000,""T5"":566013000,""T6"":1029470166,""T6 2nd"":987927500,""T7"":737505066,""T8 2nd"":1769329000,""T9"":765446500,""U2 2nd"":248513000,""U3"":422851500,""U4"":654610666,""U5 2nd"":507139000,""U6"":1051424500,""U6 2nd"":2039943666,""V1"":779120937,""V1 2nd"":992883000,""V10 3rd"":2326439000,""V11 3rd"":1769321750,""V12 3rd"":920823000,""V13 2nd"":2883927636,""V13 2nd 3rd"":6113707000,""V14 3rd"":1645465000,""V15 3rd"":886049000,""V16 3rd"":1324034600,""V17 3rd"":2006383419,""V18 3rd"":1231857000,""V19 2nd"":2449083000,""V20"":2291343000,""V20 2nd"":1269627142,""V21 2nd"":1462348000,""V22 2nd"":1562944666,""V23 2nd"":669705500,""V26"":1459464785,""V26 2nd"":898157500,""V27"":783309714,""V27 2nd"":2516477000,""V29 2nd"":738797000,""V3"":4037458250,""V30"":4461540888,""V31 2nd"":946984500,""V32 2nd"":1397978666,""V34 2nd"":9291000000,""V35 2nd"":653669000,""V35 3rd"":644997666,""V36 3rd"":1508403666,""V37 2nd"":17321923877,""V39 2nd"":7445794142,""V4 2nd"":646031000,""V43 2nd"":2384747000,""V44 3rd"":2187432000,""V45 2nd"":706073000,""V46 2nd"":1494520583,""V47"":705323400,""V48"":992803400,""V49"":9972517000,""V5 3rd"":36241355500,""V50 2nd"":132861000,""V51 2nd"":2467490000,""V54 3rd"":658192000,""V56 2nd"":1725456200,""V57"":1550610416,""V57 2nd"":1253253428,""V59 2nd"":3222268750,""V7"":739875000,""V8"":1009643000,""W10"":1535623333,""W11 2nd"":1328799500,""W12 2nd"":715848200,""W14 2nd"":3033654500,""W14 3rd"":819858000,""W15 2nd"":656548250,""W15 3rd"":1409731000,""W16 3rd"":797676928,""W3"":1905455600,""W4"":3538474750,""W6 2nd"":1544103500,""W7"":949983500,""W8 2nd"":913629000,""W9 2nd"":631769500}"
