Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of 'SW-Initial Reviewer Selection' before 'SW-AE Assign Reviewers',Percentage of 'SW-Initial Reviewer Selection' out of all 'SW-AE Assign Reviewers',0.98,
Number of 'SW-Initial Reviewer Selection',Number of 'SW-Initial Reviewer Selection' activities,65.0,
Percentage of 'SW-Initial Reviewer Selection' out of all 'SW-Reviewer Agreed',Percentage of 'SW-Initial Reviewer Selection' out of all 'SW-Reviewer Agreed',0.98,
Number of 'SW-Initial Reviewer Selection' that are preceded by 'Manuscript Export Succeeded',Number of 'SW-Initial Reviewer Selection' activities for cases where activity 'Manuscript Export Succeeded' occurs,64.0,
Percentage of 'SW-Initial Reviewer Selection' that lead to 'SW-Reviewer Selection is due in 1 week',Percentage of 'SW-Initial Reviewer Selection' out of all 'SW-Reviewer Selection is due in 1 week',1.0,
Percentage of 'SW-Initial Reviewer Selection' from all 'SW-Awaiting AE Assignment',Percentage of 'SW-Initial Reviewer Selection' out of all 'SW-Awaiting AE Assignment',0.63,
Number of 'SW-Initial Reviewer Selection' followed by 'SW-Reviewer Declined',Number of 'SW-Initial Reviewer Selection' activities for cases where activity 'SW-Reviewer Declined' occurs,28.0,
Percentage of 'SW-Initial Reviewer Selection' by 'SYSTEM',Percentage of 'SW-Initial Reviewer Selection' out of all cases,0.65,
Number of 'SW-Initial Reviewer Selection' grouped by 'case:concept:name',"ERROR: computing metric {'count': ""activity == 'SW-Initial Reviewer Selection'"", 'aggregation': 'total', 'group_by': 'case:concept:name'}",,
Percentage of 'SW-Initial Reviewer Selection' followed by 'Reviewer Invitation Reminder 1',Percentage of 'SW-Initial Reviewer Selection' out of all 'Reviewer Invitation Reminder 1',0.89,
Percentage of 'SW-Initial Reviewer Selection' done after 'Plagiarism Originality Report Completed',Percentage of 'SW-Initial Reviewer Selection' out of all 'Plagiarism Originality Report Completed',0.65,
Average number of 'SW-Initial Reviewer Selection' per case,"ERROR: computing metric {'count': ""activity == 'SW-Initial Reviewer Selection'"", 'aggregation': 'average', 'group_by': 'case:concept:name'}",,
Percentage of 'SW-Initial Reviewer Selection' that are followed by 'SW-AE Assign Reviewers',Percentage of 'SW-Initial Reviewer Selection' out of all 'SW-AE Assign Reviewers',0.98,
Number of 'SW-Initial Reviewer Selection' in relation to 'SW-Reviewer Agreed',Number of 'SW-Initial Reviewer Selection' activities for cases where activity 'SW-Reviewer Agreed' occurs,45.0,
Percentage of 'SW-Initial Reviewer Selection',Percentage of 'SW-Initial Reviewer Selection' out of all cases,0.65,
Number of times 'SW-Initial Reviewer Selection' is performed in the most frequent variant,Number of 'SW-Initial Reviewer Selection' activities,65.0,
Percentage of 'SW-Initial Reviewer Selection' done after 'SW-Checklist Completed',Percentage of 'SW-Initial Reviewer Selection' out of all 'SW-Checklist Completed',0.71,
Average number of 'SW-Initial Reviewer Selection' in a month,"ERROR: computing metric {'count': ""activity == 'SW-Initial Reviewer Selection'"", 'aggregation': 'average', 'group_by': 'month'}",,
Total 'SW-Initial Reviewer Selection' done by 'SYSTEM',Number of 'SW-Initial Reviewer Selection' activities == 'SYSTEM' where ma is the last value of performer,59.0,
Fraction of 'SW-Initial Reviewer Selection' that lead to 'SW-Awaiting EIC Decision',Percentage of 'SW-Initial Reviewer Selection' out of all 'SW-Awaiting EIC Decision',0.98,
Ratio of 'SW-Initial Reviewer Selection' over 'SW-Reviewer Agreed',Percentage of 'SW-Initial Reviewer Selection' out of all 'SW-Reviewer Agreed',0.98,
Occasions how often the 'SW-Initial Reviewer Selection' is performed in the top 3 variants,Number of 'SW-Initial Reviewer Selection' activities,65.0,
