Name;Metric;Value;Agrupation
Frequency of 'Declaration APPROVED by PRE_APPROVER' followed by 'Declaration FINAL_APPROVED by SUPERVISOR';Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';0.07;
Percentage of process variants containing 'Declaration APPROVED by PRE_APPROVER' that result in successful payment (i.e., end with 'Payment Handled') versus those that lead to rejection;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Payment Handled';0.07;
Number of times 'Declaration APPROVED by PRE_APPROVER' occurs in cases where the prior activity was 'Declaration SUBMITTED by EMPLOYEE';Number of 'Declaration APPROVED by PRE_APPROVER' activities for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs;685.0;
Percentage of 'Declaration APPROVED by PRE_APPROVER' relative to the total number of activity executions in the event log;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all cases;0.06;
Frequency of 'Declaration REJECTED by PRE_APPROVER' compared to 'Declaration APPROVED by PRE_APPROVER' within the same case variants;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration REJECTED by PRE_APPROVER';0.83;
Percentage of process variants starting with 'Declaration SUBMITTED by EMPLOYEE' that include 'Declaration APPROVED by PRE_APPROVER' as the first approval step;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration SUBMITTED by EMPLOYEE';0.06;
Number of 'Declaration APPROVED by PRE_APPROVER' events associated with case amounts above 100 euros;Number of 'Declaration APPROVED by PRE_APPROVER' activities > 100 where ma is the last value of case:Amount;139.0;
Percentage of cases where 'Declaration APPROVED by PRE_APPROVER' is immediately followed by 'Declaration FINAL_APPROVED by SUPERVISOR' without intermediate rejections;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';0.07;
Ratio of 'Declaration APPROVED by PRE_APPROVER' to 'Declaration REJECTED by PRE_APPROVER' across all process instances;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Declaration REJECTED by PRE_APPROVER';0.83;
Number of process variants in which 'Declaration APPROVED by PRE_APPROVER' appears at least once;Number of 'Declaration APPROVED by PRE_APPROVER' activities;685.0;
Frequency of 'Declaration APPROVED by PRE_APPROVER' in cases that complete the full sequence ending in 'Payment Handled' without any rejection loops;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all 'Payment Handled';0.07;
Percentage of 'Declaration APPROVED by PRE_APPROVER' that are not followed by any rejection activity (e.g., 'Declaration REJECTED by SUPERVISOR', 'Declaration REJECTED by EMPLOYEE');Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all cases;0.06;
Frequency of 'Declaration APPROVED by PRE_APPROVER' in variants that do not involve 'Declaration APPROVED by ADMINISTRATION' or 'Declaration APPROVED by BUDGET OWNER';Number of 'Declaration APPROVED by PRE_APPROVER' activities;685.0;
Percentage of 'Declaration APPROVED by PRE_APPROVER' occurring in 2018 versus 2017, considering the expansion of data collection to the entire university;Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all cases;0.06;
Percentage of 'Declaration APPROVED by PRE_APPROVER' out of all approval activities (including 'Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', and 'Declaration APPROVED by PRE_APPROVER');"ERROR: computing metric {'count': activity == 'Declaration APPROVED by PRE_APPROVER'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity in ['Declaration APPROVED by ADMINISTRATION', 'Declaration APPROVED by BUDGET OWNER', 'Declaration APPROVED by PRE_APPROVER']""}""";;
