Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of \SW-Reviewer Selection is due in 1 week\ compared to \SW-AE Assign Reviewers\,Percentage of 'SW-Reviewer Selection is due in 1 week' out of all 'SW-AE Assign Reviewers',0.72,
Percentage of manuscripts that proceed to \SW-Reviewer Agreed\ after \SW-Reviewer Selection is due in 1 week\,Percentage of 'SW-Reviewer Selection is due in 1 week' out of all 'SW-Reviewer Agreed',0.72,
Number of times \SW-Reviewer Selection is due in 1 week\ occurs before \Reviewer Invitation Reminder 1\,Number of 'SW-Reviewer Selection is due in 1 week' activities for cases where activity 'Reviewer Invitation Reminder 1' does not occur,43.0,
Percentage of \SW-Reviewer Selection is due in 1 week\ followed by \SW-Reviewer Selection is due in 3 days\,Percentage of 'SW-Reviewer Selection is due in 1 week' out of all 'SW-Reviewer Selection is due in 3 days',1.0,
Frequency of \SW-Reviewer Selection is due in 1 week\ in the most common variant paths,Frequency of activity 'SW-Reviewer Selection is due in 1 week',42.0,
Percentage of \SW-Reviewer Selection is due in 1 week\ in relation to all selection-related activities,"ERROR: computing metric {'count': ""activity == 'SW-Reviewer Selection is due in 1 week'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity like '%Selection%'""}",,
Number of \SW-Reviewer Selection is due in 1 week\ activities that lead to \SW-EIC Major Revision\ decisions,Number of 'SW-Reviewer Selection is due in 1 week' activities for cases where activity 'SW-EIC Major Revision' occurs,8.0,
Percentage of \SW-Reviewer Selection is due in 1 week\ that are not followed by \SW-Reviewer Declined\,Percentage of 'SW-Reviewer Selection is due in 1 week' out of all cases where 'SW-Reviewer Declined' does not happen,0.45,
Frequency of \SW-Reviewer Selection is due in 1 week\ in manuscripts that undergo major revisions,"ERROR: computing metric {'count': ""activity == 'SW-Reviewer Selection is due in 1 week'"", 'metric_condition': '> 0', 'aggregation': 'total', 'filter': ""activity like '%Major Revision%'""}",,
Percentage of \SW-Reviewer Selection is due in 1 week\ in manuscripts that are accepted after revisions,Percentage of 'SW-Reviewer Selection is due in 1 week' out of all 'SW-EIC Accept',0.0,
Number of \SW-Reviewer Selection is due in 1 week\ activities that precede \SW-AE Assign Reviewers\ in the review process,Number of 'SW-Reviewer Selection is due in 1 week' activities for cases where activity 'SW-AE Assign Reviewers' does not occur,43.0,
Percentage of \SW-Reviewer Selection is due in 1 week\ in relation to all activities in the review process of scientific papers,Percentage of 'SW-Reviewer Selection is due in 1 week' out of all cases,0.45,
Frequency of \SW-Reviewer Selection is due in 1 week\ in relation to \SW-Reviewer Selection is now due\,Percentage of 'SW-Reviewer Selection is due in 1 week' out of all 'SW-Reviewer Selection is now due',1.0,
Percentage of \SW-Reviewer Selection is due in 1 week\ followed by successful reviewer agreement within the specified week,Percentage of 'SW-Reviewer Selection is due in 1 week' out of all 'SW-Reviewer Agreed',0.72,
