Name;Metric;Value;Agrupation
Percentage of Declaration FOR_APPROVAL by PRE_APPROVER out of all Declaration SUBMITTED by EMPLOYEE events;Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' out of all 'Declaration SUBMITTED by EMPLOYEE';0.0;
Number of Declaration FOR_APPROVAL by PRE_APPROVER occurrences that are immediately followed by Declaration APPROVED by PRE_APPROVER;Number of 'Declaration FOR_APPROVAL by PRE_APPROVER' activities for cases where activity 'Declaration APPROVED by PRE_APPROVER' occurs;0.0;
Percentage of Declaration FOR_APPROVAL by PRE_APPROVER that lead to Declaration REJECTED by PRE_APPROVER;Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' out of all 'Declaration REJECTED by PRE_APPROVER';0.0;
Frequency of the variant starting with Declaration SUBMITTED by EMPLOYEE → Declaration FOR_APPROVAL by PRE_APPROVER compared to variants routed through ADMINISTRATION or BUDGET OWNER;Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' out of all 'Declaration SUBMITTED by EMPLOYEE';0.0;
Percentage of cases where Declaration FOR_APPROVAL by PRE_APPROVER is followed by a re-submission loop (i.e., Declaration REJECTED by PRE_APPROVER → Declaration REJECTED by EMPLOYEE → Declaration SUBMITTED by EMPLOYEE);Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' out of all 'Declaration SUBMITTED by EMPLOYEE';0.0;
Ratio of Declaration FOR_APPROVAL by PRE_APPROVER to Declaration APPROVED by PRE_APPROVER;Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' out of all 'Declaration APPROVED by PRE_APPROVER';0.0;
Percentage of Declaration FOR_APPROVAL by PRE_APPROVER that eventually result in Payment Handled;Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' out of all 'Payment Handled';0.0;
Frequency of Declaration FOR_APPROVAL by PRE_APPROVER in variants that include more than one rejection cycle;Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' out of all 'Declaration REJECTED by PRE_APPROVER';0.0;
Percentage of Declaration FOR_APPROVAL by PRE_APPROVER occurring in declarations with case:Amount above 100 euros;Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' out of all cases;0.0;
Number of Declaration FOR_APPROVAL by PRE_APPROVER events grouped by case:BudgetNumber to identify budget-related routing patterns;Number of 'Declaration FOR_APPROVAL by PRE_APPROVER' activities;1.0;
Percentage of Declaration FOR_APPROVAL by PRE_APPROVER that are not followed by any further activity (i.e., dead-end paths);Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' out of all cases;0.0;
Ratio of Declaration FOR_APPROVAL by PRE_APPROVER to Declaration FINAL_APPROVED by SUPERVISOR in successful end-to-end cases;Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';0.0;
Percentage of all pre-approver-involved variants (those containing Declaration FOR_APPROVAL by PRE_APPROVER) that end in rejection versus successful payment;Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' out of all 'Payment Handled';0.0;
Percentage of Declaration FOR_APPROVAL by PRE_APPROVER relative to the total number of approval initiation activities (including Declaration FOR_APPROVAL by ADMINISTRATION and Declaration FOR_APPROVAL by SUPERVISOR);Percentage of 'Declaration FOR_APPROVAL by PRE_APPROVER' out of all cases;0.0;
Number of Declaration FOR_APPROVAL by PRE_APPROVER events per year to assess temporal trends;Number of 'Declaration FOR_APPROVAL by PRE_APPROVER' activities;1.0;
