Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of 'Awaiting Assignment to Batch' in the event log.,Percentage of 'Awaiting Assignment to Batch' out of all cases,0.28,
Frequency of 'Awaiting Assignment to Batch' in the event log.,Frequency of activity 'Awaiting Assignment to Batch',26,
Percentage of 'Awaiting Assignment to Batch' before 'Manuscript Export Succeeded'.,Percentage of 'Awaiting Assignment to Batch' out of all 'Manuscript Export Succeeded',0.29,
Number of 'Awaiting Assignment to Batch' that are preceded by 'First Look Manuscript Submission Confirmation'.,Number of 'Awaiting Assignment to Batch' activities for cases where activity 'First Look Manuscript Submission Confirmation' occurs,24,
Percentage of 'Awaiting Assignment to Batch' out of all 'Manuscript Export Succeeded'.,Percentage of 'Awaiting Assignment to Batch' out of all 'Manuscript Export Succeeded',0.29,
Percentage of 'Awaiting Assignment to Batch' from all 'First Look-Please submit updates'.,Percentage of 'Awaiting Assignment to Batch' out of all 'First Look-Please submit updates',1.0,
Number of 'Awaiting Assignment to Batch' in relation to 'SW-Reviewer Agreed'.,Number of 'Awaiting Assignment to Batch' activities for cases where activity 'SW-Reviewer Agreed' occurs,18,
Percentage of 'Awaiting Assignment to Batch' followed by 'Manuscript Export Succeeded'.,Percentage of 'Awaiting Assignment to Batch' out of all 'Manuscript Export Succeeded',0.29,
Percentage of 'Awaiting Assignment to Batch' done after 'First Look Manuscript Submission Confirmation'.,Percentage of 'Awaiting Assignment to Batch' out of all 'First Look Manuscript Submission Confirmation',0.96,
Percentage of 'Awaiting Assignment to Batch' in variants that include 'SW-Reviewer Agreed'.,Percentage of 'Awaiting Assignment to Batch' out of all 'SW-Reviewer Agreed',0.39,
Frequency of 'Awaiting Assignment to Batch' in variants with high performance values.,the average of the number of times `ACTIVITY` == 'Awaiting Assignment to Batch',0.28,
Percentage of 'Awaiting Assignment to Batch' in variants that include 'First Look Manuscript Submission Confirmation'.,Percentage of 'Awaiting Assignment to Batch' out of all 'First Look Manuscript Submission Confirmation',0.96,
Number of 'Awaiting Assignment to Batch' grouped by 'case:concept:name'.,"ERROR: computing metric {'count': ""activity == 'Awaiting Assignment to Batch'"", 'aggregation': 'total', 'group_by': 'case:concept:name'}",,
Percentage of 'Awaiting Assignment to Batch' that are not dismissed.,Percentage of 'Awaiting Assignment to Batch' out of all cases,0.28,
Percentage of 'Awaiting Assignment to Batch' that are rejected.,Percentage of 'Awaiting Assignment to Batch' out of all cases,0.28,
Percentage of 'Awaiting Assignment to Batch' with an increment.,Percentage of 'Awaiting Assignment to Batch' out of all cases,0.28,
Percentage of 'Awaiting Assignment to Batch' with appeal.,Percentage of 'Awaiting Assignment to Batch' out of all cases,0.28,
Percentage of 'Awaiting Assignment to Batch' with penalty.,Percentage of 'Awaiting Assignment to Batch' out of all cases,0.28,
Average number of 'Awaiting Assignment to Batch' in a month.,"ERROR: computing metric {'count': ""activity == 'Awaiting Assignment to Batch'"", 'aggregation': 'average', 'group_by': 'month'}",,
Ratio of 'Awaiting Assignment to Batch' over 'SW-Reviewer Agreed'.,Percentage of 'Awaiting Assignment to Batch' out of all 'SW-Reviewer Agreed',0.39,
Occasions how often the 'Awaiting Assignment to Batch' is performed.,Number of 'Awaiting Assignment to Batch' activities,26,
The ratio of 'Awaiting Assignment to Batch' that are not eventually performed.,Percentage of 'Awaiting Assignment to Batch' out of all cases,0.28,
