Name;Metric;Value;Agrupation
Percentage of cases where 'Declaration APPROVED by BUDGET OWNER' occurs out of all completed reimbursement cases (i.e., those ending in 'Payment Handled');Percentage of 'Declaration APPROVED by BUDGET OWNER' out of all 'Payment Handled';0.28;
Frequency of 'Declaration APPROVED by BUDGET OWNER' compared to the frequency of 'Declaration APPROVED by ADMINISTRATION';Percentage of 'Declaration APPROVED by BUDGET OWNER' out of all 'Declaration APPROVED by ADMINISTRATION';0.35;
Percentage of process variants that include 'Declaration APPROVED by BUDGET OWNER' among all variants leading to 'Payment Handled';Percentage of 'Declaration APPROVED by BUDGET OWNER' out of all 'Payment Handled';0.28;
Number of times 'Declaration APPROVED by BUDGET OWNER' is immediately followed by 'Declaration FINAL_APPROVED by SUPERVISOR';Number of 'Declaration APPROVED by BUDGET OWNER' activities for cases where activity 'Declaration FINAL_APPROVED by SUPERVISOR' occurs;2811.0;
Number of cases where 'Declaration APPROVED by BUDGET OWNER' appears more than once in the same case (indicating rework);Number of 'Declaration APPROVED by BUDGET OWNER' activities;2820.0;
Percentage of total activity executions in the log that correspond to 'Declaration APPROVED by BUDGET OWNER';Percentage of 'Declaration APPROVED by BUDGET OWNER' out of all cases;0.27;
Ratio of 'Declaration APPROVED by BUDGET OWNER' to 'Declaration APPROVED by PRE_APPROVER' across all cases;Percentage of 'Declaration APPROVED by BUDGET OWNER' out of all 'Declaration APPROVED by PRE_APPROVER';0.0;
Percentage of variants containing 'Declaration REJECTED by PRE_APPROVER' that also include 'Declaration APPROVED by BUDGET OWNER' in a subsequent resubmission cycle;Percentage of 'Declaration APPROVED by BUDGET OWNER' out of all 'Declaration REJECTED by PRE_APPROVER';0.0;
Frequency of 'Declaration APPROVED by BUDGET OWNER' in cases with total Amount above 100 euros;Percentage of 'Declaration APPROVED by BUDGET OWNER' out of all cases;0.31;
Percentage of 'Declaration APPROVED by BUDGET OWNER' that directly precedes 'Declaration FINAL_APPROVED by SUPERVISOR' without intermediate rejections;Percentage of 'Declaration APPROVED by BUDGET OWNER' out of all 'Declaration FINAL_APPROVED by SUPERVISOR';0.28;
Number of 'Declaration APPROVED by BUDGET OWNER' events that occur in the same case as at least one 'Declaration REJECTED by PRE_APPROVER';Number of 'Declaration APPROVED by BUDGET OWNER' activities for cases where activity 'Declaration REJECTED by PRE_APPROVER' occurs;0.0;
Percentage of successful paths to 'Payment Handled' that include 'Declaration APPROVED by BUDGET OWNER' versus those that bypass it (e.g., going directly from ADMINISTRATION to SUPERVISOR);Percentage of 'Declaration APPROVED by BUDGET OWNER' out of all 'Payment Handled';0.28;
Percentage of 'Declaration APPROVED by BUDGET OWNER' occurrences that eventually lead to rejection (e.g., followed by any 'Declaration REJECTED by ...' activity);Percentage of 'Declaration APPROVED by BUDGET OWNER' out of all cases;0.27;
Frequency of 'Declaration APPROVED by BUDGET OWNER' in variants that do not involve any rejection steps, compared to its frequency in variants that include at least one rejection;Number of 'Declaration APPROVED by BUDGET OWNER' activities;2820.0;
Percentage of 'Declaration APPROVED by BUDGET OWNER' activities that occur after a rejection by ADMINISTRATION or PRE_APPROVER;Percentage of 'Declaration APPROVED by BUDGET OWNER' out of all cases;0.27;
