Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of 'Accepted + Wait - Customer' leading to 'Completed + In Call',Frequency of activity 'Accepted + Wait - Customer' for cases where activity 'Completed + In Call' occurs,1,
Percentage of 'Accepted + Wait - Customer' out of all 'Accepted + In Progress' activities,Percentage of 'Accepted + Wait - Customer' out of all 'Accepted + In Progress',0.01,
Number of 'Accepted + Wait - Customer' that are followed by 'Completed + Resolved',Frequency of activity 'Accepted + Wait - Customer' for cases where activity 'Completed + Resolved' occurs,86,
Percentage of 'Accepted + Wait - Customer' in relation to 'Completed + Closed',Percentage of 'Accepted + Wait - Customer' out of all 'Completed + Closed',0.02,
Frequency of 'Accepted + Wait - Customer' transitions to 'Accepted + Wait - Vendor',Frequency of activity 'Accepted + Wait - Customer' for cases where activity 'Accepted + Wait - Vendor' occurs,4,
Percentage of 'Accepted + Wait - Customer' followed by any activity other than 'Completed + In Call',Percentage of 'Accepted + Wait - Customer' out of all cases where 'Completed + In Call' does not happen,0.01,
Number of incidents involving 'Accepted + Wait - Customer' with impact level 'High',Frequency of activity 'Accepted + Wait - Customer',9,
Frequency of 'Accepted + Wait - Customer' per year in the event log,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Customer'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of 'Accepted + Wait - Customer' that lead to a 'Completed + Cancelled' status,Percentage of 'Accepted + Wait - Customer' out of all 'Completed + Cancelled',0.0,
Number of 'Accepted + Wait - Customer' in relation to 'Queued + Awaiting Assignment',Frequency of activity 'Accepted + Wait - Customer' for cases where activity 'Queued + Awaiting Assignment' occurs,72,
Frequency of 'Accepted + Wait - Customer' in the top 5 most common process variants,Frequency of activity 'Accepted + Wait - Customer',86,
Percentage of 'Accepted + Wait - Customer' activities that occur before 'Accepted + Assigned',Percentage of 'Accepted + Wait - Customer' out of all 'Accepted + Assigned',0.02,
Number of times 'Accepted + Wait - Customer' is performed before 'Accepted + Wait - Implementation',Frequency of activity 'Accepted + Wait - Customer' for cases where activity 'Accepted + Wait - Implementation' occurs,9,
Percentage of 'Accepted + Wait - Customer' done after 'Accepted + In Progress',Percentage of 'Accepted + Wait - Customer' out of all 'Accepted + In Progress',0.01,
Average number of 'Accepted + Wait - Customer' activities in a month,"ERROR: computing metric {'count': ""activity == 'Accepted + Wait - Customer'"", 'metric_condition': '> 0', 'aggregation': 'average', 'group_by': 'month'}",,
Frequency of 'Accepted + Wait - Customer' leading directly to case closure without further activities,Frequency of activity 'Accepted + Wait - Customer' for cases where activity 'Completed + Closed' occurs,84,
