Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of \Declaration REJECTED by MISSING\ in relation to total declarations submitted.,Percentage of 'Declaration REJECTED by MISSING' out of all 'Declaration SUBMITTED by EMPLOYEE',0.01,
Percentage of \Declaration REJECTED by MISSING\ followed by \Declaration SUBMITTED by EMPLOYEE\.,Percentage of 'Declaration REJECTED by MISSING' out of all 'Declaration SUBMITTED by EMPLOYEE',0.01,
Percentage of \Declaration REJECTED by MISSING\ out of all rejections.,Percentage of 'Declaration REJECTED by MISSING' out of all cases where 'Declaration REJECTED by MISSING' does not happen,0.01,
Frequency of \Declaration REJECTED by MISSING\ before \Request Payment\.,Frequency of activity 'Declaration REJECTED by MISSING' for cases where activity 'Request Payment' occurs,60,
Ratio of \Declaration REJECTED by MISSING\ over \Declaration FINAL_APPROVED by SUPERVISOR\.,Percentage of 'Declaration REJECTED by MISSING' out of all 'Declaration FINAL_APPROVED by SUPERVISOR',0.01,
Number of times \Declaration REJECTED by MISSING\ occurs with amounts above 100 euros.,Number of 'Declaration REJECTED by MISSING' activities > 100 where ma is the last value of case:Amount,34,
Percentage of \Declaration REJECTED by MISSING\ by \STAFF MEMBER\.,Percentage of 'Declaration REJECTED by MISSING' out of all cases,,
Frequency of \Declaration REJECTED by MISSING\ grouped by \case:BudgetNumber\.,Number of 'Declaration REJECTED by MISSING' activities grouped by the last value of case:BudgetNumber,budget 86566:91,"{""budget 86566"":91}"
Percentage of \Declaration REJECTED by MISSING\ followed by \Payment Handled\.,Percentage of 'Declaration REJECTED by MISSING' out of all 'Payment Handled',0.01,
Number of \Declaration REJECTED by MISSING\ made per year.,"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by MISSING'"", 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of declarations that are \Declaration REJECTED by MISSING\.,Percentage of 'Declaration REJECTED by MISSING' out of all cases where 'Declaration REJECTED by MISSING' does not happen,0.01,
Number of \Declaration REJECTED by MISSING\ in relation to \Declaration SUBMITTED by EMPLOYEE\.,Number of 'Declaration REJECTED by MISSING' activities for cases where activity 'Declaration SUBMITTED by EMPLOYEE' occurs,91,
Percentage of \Declaration REJECTED by MISSING\ that lead to a new submission by the same employee.,Percentage of 'Declaration REJECTED by MISSING' out of all 'Declaration SUBMITTED by EMPLOYEE',0.01,
Average number of \Declaration REJECTED by MISSING\ occurrences in a month.,"ERROR: computing metric {'count': ""activity == 'Declaration REJECTED by MISSING'"", 'aggregation': 'average', 'group_by': 'month'}",,
Total \Declaration REJECTED by MISSING\ done by \SYSTEM\.,Number of 'Declaration REJECTED by MISSING' activities == 'SYSTEM' where ma is the last value of org:resource,60,
Fraction of \Declaration REJECTED by MISSING\ that are followed by a re-submission.,Percentage of 'Declaration REJECTED by MISSING' out of all 'Declaration SUBMITTED by EMPLOYEE',0.01,
Total \Declaration REJECTED by MISSING\ performed by \STAFF MEMBER\.,Number of 'Declaration REJECTED by MISSING' activities == 'STAFF MEMBER' where ma is the last value of org:role,,
Ratio of \Declaration REJECTED by MISSING\ over \Declaration APPROVED by ADMINISTRATION\.,Percentage of 'Declaration REJECTED by MISSING' out of all 'Declaration APPROVED by ADMINISTRATION',0.0,
Occasions how often \Declaration REJECTED by MISSING\ is performed in relation to total event log entries.,Percentage of 'Declaration REJECTED by MISSING' out of all cases where 'Declaration REJECTED by MISSING' does not happen,0.01,
The ratio of \Declaration REJECTED by MISSING\ that are not eventually followed by \Payment Handled\.,Percentage of 'Declaration REJECTED by MISSING' out of all cases where 'Payment Handled' does not happen,0.01,
