Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Percentage of SW-Awaiting AE Recommendation that are not dismissed,the average of the number of times `ACTIVITY` == 'SW-Awaiting AE Recommendation',0.4,
Number of times SW-Awaiting AE Recommendation is performed when preceded by a SW-Reviewer Agreed activity,Number of 'SW-Awaiting AE Recommendation' activities,37.0,
Percentage of Original Manuscript Submission Confirmation that are followed by SW-Awaiting AE Recommendation,the average of the number of times `ACTIVITY` == 'Original Manuscript Submission Confirmation',0.98,
Percentage of SW-Awaiting AE Recommendation out of all Reviewer Invitation Reminder 1,Percentage of 'SW-Awaiting AE Recommendation' out of all 'Reviewer Invitation Reminder 1',0.47,
Frequency of SW-Awaiting AE Recommendation in variants that include SW-EIC Reject,the average of the number of times `ACTIVITY` == 'SW-Awaiting AE Recommendation' filtered by the function ma > 0 where ma is the number of times `ACTIVITY` == 'SW-EIC Reject',0.32,
Percentage of SW-Reviewer Agreed that are followed by SW-Awaiting AE Recommendation,the average of the number of times `ACTIVITY` == 'SW-Reviewer Agreed',1.18,
Percentage of SW-Awaiting AE Recommendation with high performance values (above top-quartile),the average of the number of times `ACTIVITY` == 'SW-Awaiting AE Recommendation',0.4,
Percentage of SW-Awaiting AE Recommendation by SW-Reviewer Agreed,the average of the number of times `ACTIVITY` == 'SW-Awaiting AE Recommendation',0.4,
Number of SW-Awaiting AE Recommendation grouped by variant frequency,"ERROR: computing metric {'count': ""activity == 'SW-Awaiting AE Recommendation'"", 'aggregation': 'total', 'group_by': 'case:variant_frequency'}",,
Average number of SW-Awaiting AE Recommendation in variants that include SW-EIC Accept,the average of the number of times `ACTIVITY` == 'SW-Awaiting AE Recommendation' filtered by the function ma > 0 where ma is the number of times `ACTIVITY` == 'SW-EIC Accept',1.0,
Percentage of SW-Awaiting AE Recommendation that are not followed by a SW-AE Assign Reviewers activity,the average of the number of times `ACTIVITY` == 'SW-Awaiting AE Recommendation',0.4,
Number of SW-Awaiting AE Recommendation that occur within one week of SW-Awaiting Checklist Completion,Number of 'SW-Awaiting AE Recommendation' activities,37.0,
Percentage of Reviewer Invitation Reminder 2 that are preceded by SW-Awaiting AE Recommendation,the average of the number of times `ACTIVITY` == 'Reviewer Invitation Reminder 2',0.76,
Percentage of SW-Awaiting AE Recommendation in relation to all Awaiting Assignment to Batch,the average of the number of times `ACTIVITY` == 'SW-Awaiting AE Recommendation',0.4,
Percentage of process that includes SW-Awaiting AE Recommendation resulting in SW-EIC Major Revision,the average of the number of times `ACTIVITY` == 'SW-Awaiting AE Recommendation',0.4,
Percentage of Original Manuscript Submission Confirmation that result in SW-Awaiting AE Recommendation after passing through SW-AE Assign Reviewers,the average of the number of times `ACTIVITY` == 'Original Manuscript Submission Confirmation',0.98,
Number of times SW-Awaiting AE Recommendation is delayed after SW-Reviewer Agreed,Number of 'SW-Awaiting AE Recommendation' activities,37.0,
Percentage of SW-Awaiting AE Recommendation in variants that include SW-EIC Reject & Resubmit,"ERROR: computing metric {'count': ""activity == 'SW-Awaiting AE Recommendation'"", 'aggregation': 'percentage', 'filter': ""activity == 'SW-EIC Reject & Resubmit'""}",,
Percentage of SW-Awaiting AE Recommendation by First Look Manuscript Submission Confirmation,the average of the number of times `ACTIVITY` == 'SW-Awaiting AE Recommendation',0.4,
Percentage of SW-Awaiting AE Recommendation in variants with high frequency values (top-quartile),the average of the number of times `ACTIVITY` == 'SW-Awaiting AE Recommendation',0.4,
Percentage of SW-Awaiting Checklist Completion that results in SW-Awaiting AE Recommendation after passing through Original Manuscript Submission Confirmation,the average of the number of times `ACTIVITY` == 'SW-Awaiting Checklist Completion',0.96,
Percentage of SW-Awaiting AE Recommendation by Unassign Editor,the average of the number of times `ACTIVITY` == 'SW-Awaiting AE Recommendation',0.4,
Number of SW-Awaiting AE Recommendation made in cases where RW-Initial Reviewer Selection results in SW-AE Assign Reviewers,Number of 'SW-Awaiting AE Recommendation' activities,37.0,
Fraction of process that includes SW-Awaiting AE Recommendation and results in SW-EIC Accept after passing through SW-AE Assign Reviewers,the average of the number of times `ACTIVITY` == 'SW-Awaiting AE Recommendation',0.4,
Percentage of SW-Awaiting AE Recommendation with high performance values in variants with low frequency,the average of the number of times `ACTIVITY` == 'SW-Awaiting AE Recommendation',0.4,
Frequency of SW-Awaiting AE Recommendation in relation to all RW-Reviewer Selection is due in 3 days,the average of the number of times `ACTIVITY` == 'SW-Awaiting AE Recommendation',0.4,
Number of times SW-Awaiting AE Recommendation is performed when the Original Manuscript Submission Confirmation occurs within one week of Plagiarism Originality Report Completed,Number of 'SW-Awaiting AE Recommendation' activities,37.0,
Percentage of SW-Reviewer Unavailable that results in SW-Awaiting AE Recommendation,the average of the number of times `ACTIVITY` == 'SW-Reviewer Unavailable',0.45,
Percentage of SW-Awaiting AE Recommendation in variants with SW-Initial Reviewer Selection occurring after SW-Checklist Completed,the average of the number of times `ACTIVITY` == 'SW-Awaiting AE Recommendation',0.4,
