Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of 'Completed + In Call' in the event log,Frequency of activity 'Completed + In Call',2018,
Percentage of 'Completed + In Call' out of all activities in the event log,Percentage of 'Completed + In Call' out of all cases,0.27,
Number of times 'Accepted + In Progress' is followed by 'Completed + In Call',Frequency of activity 'Completed + In Call' for cases where activity 'Accepted + In Progress' occurs,2018,
Percentage of 'Completed + In Call' followed by 'Completed + Resolved',Percentage of 'Completed + In Call' out of all 'Completed + Resolved',0.02,
Frequency of 'Completed + In Call' in relation to 'Completed + Resolved',Frequency of activity 'Completed + In Call' for cases where activity 'Completed + Resolved' occurs,135,
Frequency of 'Completed + In Call' per month,"ERROR: computing metric {'count': ""activity == 'Completed + In Call'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'month'}",,
Percentage of 'Completed + In Call' that are part of the most frequent variant,Percentage of 'Completed + In Call' out of all cases,0.27,
Ratio of 'Completed + In Call' over 'Accepted + In Progress',Frequency of activity 'Completed + In Call' for cases where activity 'Accepted + In Progress' occurs,2018,
Number of 'Completed + In Call' activities that lead to a case closure,Frequency of activity 'Completed + In Call' for cases where activity 'Completed + Closed' occurs,134,
Percentage of 'Completed + In Call' in cases with 'High' impact products,Percentage of 'Completed + In Call' out of all cases,0.03,
Frequency of 'Completed + In Call' in relation to all completed activities,"ERROR: computing metric {'count': ""activity == 'Completed + In Call'"", 'metric_condition': '> 0', 'aggregation': 'total', 'filter': ""activity == 'Completed + Resolved' or activity == 'Completed + Closed'""}",,
Percentage of 'Completed + In Call' followed by any activity other than 'Completed + Resolved',Percentage of 'Completed + In Call' out of all cases where 'Completed + Resolved' does not happen,0.27,
Number of 'Completed + In Call' activities that occur after 'Accepted + Wait - User',Frequency of activity 'Completed + In Call' for cases where activity 'Accepted + Wait - User' occurs,112,
Percentage of 'Completed + In Call' in the top 5 most frequent variants,Percentage of 'Completed + In Call' out of all cases,0.27,
Frequency of 'Completed + In Call' in cases involving 'PROD582',Frequency of activity 'Completed + In Call',2,
Ratio of 'Completed + In Call' over 'Completed + Closed' in the event log,Frequency of activity 'Completed + In Call' for cases where activity 'Completed + Closed' occurs,134,
Number of 'Completed + In Call' activities that precede 'Completed + Resolved',Frequency of activity 'Completed + In Call' for cases where activity 'Completed + Resolved' occurs,135,
Percentage of 'Completed + In Call' in cases from France vs. cases from Brazil,"ERROR: computing metric {'count': ""activity == 'Completed + In Call'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""organization country == 'France' or organization country == 'Brazil'""}",,
Frequency of 'Completed + In Call' in the first quarter of the year vs. the last quarter,"ERROR: computing metric {'count': ""activity == 'Completed + In Call'"", 'metric_condition': '> 0', 'aggregation': 'total', 'group_by': 'quarter'}",,
Percentage of 'Completed + In Call' in cases with 'Medium' impact vs. 'Low' impact,"ERROR: computing metric {'count': ""activity == 'Completed + In Call'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""impact == 'Medium' or impact == 'Low'""}",,
