Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from \Declaration SUBMITTED by EMPLOYEE\ to \Declaration REJECTED by BUDGET OWNER\,The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by BUDGET OWNER',"4 days, 0:23:41.775862",
Average time between \Declaration REJECTED by BUDGET OWNER\ and \Declaration REJECTED by EMPLOYEE\,The average of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Declaration REJECTED by EMPLOYEE',"4 days, 23:33:22.280702",
Average resolution time for \Declaration REJECTED by BUDGET OWNER\,The average of the duration between activity Declaration REJECTED by BUDGET OWNER and the end of the case,"16 days, 19:40:05.448276",
Total time from \Declaration APPROVED by ADMINISTRATION\ to \Declaration REJECTED by BUDGET OWNER\,The sum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration REJECTED by BUDGET OWNER',"102 days, 17:11:43",
Total resolution time of \Declaration REJECTED by BUDGET OWNER\,The sum of the duration between activity Declaration REJECTED by BUDGET OWNER and the end of the case,"975 days, 12:45:16",
Minimum time from \Declaration APPROVED by ADMINISTRATION\ to \Declaration REJECTED by BUDGET OWNER\,The minimum of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration REJECTED by BUDGET OWNER',0:05:32,
Minimum time until \Declaration REJECTED by BUDGET OWNER\ is performed after \Declaration SUBMITTED by EMPLOYEE\,The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by BUDGET OWNER',0:11:17,
Average time it takes from \Declaration REJECTED by BUDGET OWNER\ to \Request Payment\ in cases where this path is applicable,The average of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Request Payment',"14 days, 20:52:46.704545",
Total time for all instances of \Declaration REJECTED by BUDGET OWNER\ within the event log,The sum of the duration between activity Declaration REJECTED by BUDGET OWNER and the end of the case,"975 days, 12:45:16",
Average time from \Declaration REJECTED by BUDGET OWNER\ to \Declaration SUBMITTED by EMPLOYEE\ for re-submissions,The average of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Declaration SUBMITTED by EMPLOYEE',"10 days, 20:34:02.488889",
Time from \Declaration REJECTED by BUDGET OWNER\ to the next \Declaration APPROVED by ADMINISTRATION\ in the process flow,The sum of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Declaration APPROVED by ADMINISTRATION',"339 days, 16:09:21",
Average handling time for \Declaration REJECTED by BUDGET OWNER\ before a new \Declaration SUBMITTED by EMPLOYEE\ is initiated,The average of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Declaration SUBMITTED by EMPLOYEE',"10 days, 20:34:02.488889",
Total time spent in \Declaration REJECTED by BUDGET OWNER\ across all cases in the event log,The sum of the duration between activity Declaration REJECTED by BUDGET OWNER and the end of the case,"975 days, 12:45:16",
Average time to re-approval after \Declaration REJECTED by BUDGET OWNER\,The average of the duration between activity 'Declaration REJECTED by BUDGET OWNER' and activity 'Declaration APPROVED by ADMINISTRATION',"7 days, 17:16:34.568182",
