Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of \Queued + Awaiting Assignment\ leading directly to \Accepted + In Progress\,Frequency of activity 'Queued + Awaiting Assignment' for cases where activity 'Accepted + In Progress' occurs,4505,
Percentage of incidents resolved without returning to \Queued + Awaiting Assignment\ after initial assignment,Percentage of 'Completed + Resolved' out of all cases where 'Queued + Awaiting Assignment' does not happen,0.75,
Average time from \Queued + Awaiting Assignment\ to \Completed + Resolved\,Percentage of 'Queued + Awaiting Assignment' out of all 'Completed + Resolved',0.8,
Percentage of \Queued + Awaiting Assignment\ followed by \Accepted + Wait - User\,Percentage of 'Queued + Awaiting Assignment' out of all 'Accepted + Wait - User',0.85,
Number of \Queued + Awaiting Assignment\ activities that precede \Completed + Closed\,Frequency of activity 'Queued + Awaiting Assignment' for cases where activity 'Completed + Closed' occurs,4455,
Percentage of \Queued + Awaiting Assignment\ out of all activities in the event log,Percentage of 'Queued + Awaiting Assignment' out of all cases,0.6,
Percentage of \Queued + Awaiting Assignment\ followed by any \Accepted\ status,"ERROR: computing metric {'count': ""activity == 'Queued + Awaiting Assignment'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity LIKE 'Accepted%'""}",,
Percentage of \Queued + Awaiting Assignment\ that lead to \Completed + Cancelled\,Percentage of 'Queued + Awaiting Assignment' out of all 'Completed + Cancelled',0.0,
Frequency of \Queued + Awaiting Assignment\ followed by \Accepted + Assigned\,Frequency of activity 'Queued + Awaiting Assignment' for cases where activity 'Accepted + Assigned' occurs,1717,
Average duration between \Queued + Awaiting Assignment\ and the next activity in the process,Percentage of 'Queued + Awaiting Assignment' out of all cases,0.6,
Total number of \Queued + Awaiting Assignment\ activities performed by the top 5 resources,"ERROR: computing metric {'count': ""activity == 'Queued + Awaiting Assignment'"", 'metric_condition': '> 0', 'aggregation': 'total', 'filter': 'org:resource IN (Top 5 Resources)'}",,
Frequency of \Queued + Awaiting Assignment\ in the top 3 most common variants,"ERROR: computing metric {'count': ""activity == 'Queued + Awaiting Assignment'"", 'metric_condition': '> 0', 'aggregation': 'total', 'filter': 'variant IN (Top 3 Variants)'}",,
Percentage decrease of \Queued + Awaiting Assignment\ over years,"ERROR: computing metric {'count': ""activity == 'Queued + Awaiting Assignment'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'group_by': 'year'}",,
Number of \Queued + Awaiting Assignment\ activities that are followed by a change in the product,"ERROR: computing metric {'count': ""activity == 'Queued + Awaiting Assignment'"", 'metric_condition': '> 0', 'aggregation': 'total', 'filter': 'product != Previous Product'}",,
Percentage of \Queued + Awaiting Assignment\ activities that occur after \Accepted + Wait - Vendor\,Percentage of 'Queued + Awaiting Assignment' out of all 'Accepted + Wait - Vendor',0.8,
Frequency of \Queued + Awaiting Assignment\ in incidents with high impact vs. low impact,"ERROR: computing metric {'count': ""activity == 'Queued + Awaiting Assignment'"", 'metric_condition': '> 0', 'aggregation': 'total', 'filter': ""impact == 'High' OR impact == 'Low'""}",,
