Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of \SW-Checklist Completion is due in three days\ preceding \SW-Checklist Completed\,Frequency of activity 'SW-Checklist Completion is due in three days' for cases where activity 'SW-Checklist Completed' occurs,30.0,
Percentage of cases where \SW-Checklist Completion is due in three days\ leads to \SW-Awaiting AE Assignment\,Percentage of 'SW-Checklist Completion is due in three days' out of all 'SW-Awaiting AE Assignment',0.25,
Number of times \SW-Checklist Completion is due in three days\ occurs before \SW-Reviewer Agreed\,Number of 'SW-Checklist Completion is due in three days' activities for cases where activity 'SW-Reviewer Agreed' occurs,17.0,
Percentage of \SW-Checklist Completion is due in three days\ out of all checklist-related activities,Percentage of 'SW-Checklist Completion is due in three days' out of all 'SW-Checklist Completed',0.37,
Frequency of \SW-Checklist Completion is due in three days\ in relation to total events in the log,Percentage of 'SW-Checklist Completion is due in three days' out of all cases,0.33,
Percentage of \SW-Checklist Completion is due in three days\ followed by any activity by \SYSTEM\,Percentage of 'SW-Checklist Completion is due in three days' out of all cases,0.34,
Number of variants including \SW-Checklist Completion is due in three days\ and leading to \SW-EIC Reject\,Number of 'SW-Checklist Completion is due in three days' activities for cases where activity 'SW-EIC Reject' occurs,9.0,
Percentage of \SW-Checklist Completion is due in three days\ in cases that eventually lead to \SW-EIC Accept\,Percentage of 'SW-Checklist Completion is due in three days' out of all 'SW-EIC Accept',0.67,
Frequency of \SW-Checklist Completion is due in three days\ in cases with \SW-Reviewer Agreed\ compared to those without,Percentage of 'SW-Checklist Completion is due in three days' out of all 'SW-Reviewer Agreed',0.37,
Percentage of \SW-Checklist Completion is due in three days\ followed by \Manuscript Export Succeeded\,Percentage of 'SW-Checklist Completion is due in three days' out of all 'Manuscript Export Succeeded',0.34,
Number of times \SW-Checklist Completion is due in three days\ directly precedes a decision activity,Number of 'SW-Checklist Completion is due in three days' activities for cases where activity 'SW-Awaiting EIC Decision' occurs,22.0,
Percentage of \SW-Checklist Completion is due in three days\ in the top 3 most frequent paths leading to \SW-Awaiting AE Recommendation\,Percentage of 'SW-Checklist Completion is due in three days' out of all 'SW-Awaiting AE Recommendation',0.25,
Frequency of \SW-Checklist Completion is due in three days\ in manuscripts that undergo major revision cycles,Frequency of activity 'SW-Checklist Completion is due in three days' for cases where activity 'SW-EIC Major Revision' occurs,6.0,
Percentage of \SW-Checklist Completion is due in three days\ in all activities performed by \SYSTEM\,Percentage of 'SW-Checklist Completion is due in three days' out of all cases,0.34,
