Name;Metric;Value;Agrupation
Average time from 'Declaration SAVED by EMPLOYEE' to 'Declaration SUBMITTED by EMPLOYEE';The average of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Declaration SUBMITTED by EMPLOYEE';;
Total time for 'Declaration SAVED by EMPLOYEE' to transition to 'Declaration APPROVED by ADMINISTRATION';The sum of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Declaration APPROVED by ADMINISTRATION';;
Minimum time from 'Declaration SAVED by EMPLOYEE' to 'Declaration FINAL_APPROVED by SUPERVISOR';The minimum of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';;
Average time it takes for 'Declaration SAVED by EMPLOYEE' to be followed by 'Request Payment';The average of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Request Payment';17.03 days;
Total resolution time of 'Declaration SAVED by EMPLOYEE' in the process;The sum of the duration between activity Declaration SAVED by EMPLOYEE and the end of the case;20.09 days;
Minimum time for 'Declaration SAVED by EMPLOYEE' before 'Payment Handled' occurs;The minimum of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Payment Handled';20.09 days;
Average waiting time to the 'Declaration SAVED by EMPLOYEE' from 'Declaration REJECTED by EMPLOYEE';The average of the duration between activity 'Declaration REJECTED by EMPLOYEE' and activity 'Declaration SAVED by EMPLOYEE';;
Total time it takes 'Declaration SAVED by EMPLOYEE' after 'Declaration REJECTED by ADMINISTRATION';The sum of the duration between activity 'Declaration REJECTED by ADMINISTRATION' and activity 'Declaration SAVED by EMPLOYEE';;
Average time for 'Declaration SAVED by EMPLOYEE' to be completed before initiating 'Declaration FOR_APPROVAL by SUPERVISOR';The average of the duration between activity 'Declaration SAVED by EMPLOYEE' and activity 'Declaration FOR_APPROVAL by SUPERVISOR';;
Total time from 'Declaration SAVED by EMPLOYEE' to the start of the next activity in the process;The sum of the duration between activity Declaration SAVED by EMPLOYEE and the end of the case;20.09 days;
