Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Frequency of 'Plagiarism Originality Report Completed' before 'SW-Checklist Completed',Frequency of activity 'Plagiarism Originality Report Completed' for cases where activity 'SW-Checklist Completed' occurs,81.0,
Percentage of manuscripts with 'Plagiarism Originality Report Completed' out of all manuscripts,Percentage of 'Plagiarism Originality Report Completed' out of all cases where '' does not happen,0.96,
Number of 'Plagiarism Originality Report Completed' that are followed by 'Manuscript Export Succeeded',Number of 'Plagiarism Originality Report Completed' activities for cases where activity 'Manuscript Export Succeeded' occurs,89.0,
Percentage of 'Plagiarism Originality Report Completed' in relation to 'Original Manuscript Submission Confirmation',Percentage of 'Plagiarism Originality Report Completed' out of all 'Original Manuscript Submission Confirmation',0.98,
Frequency of 'Plagiarism Originality Report Completed' in manuscripts that lead to 'SW-Reviewer Agreed',Frequency of activity 'Plagiarism Originality Report Completed' for cases where activity 'SW-Reviewer Agreed' occurs,44.0,
Percentage of manuscripts with 'Plagiarism Originality Report Completed' that result in 'SW-EIC Reject & Resubmit',"ERROR: computing metric {'count': ""activity == 'Plagiarism Originality Report Completed'"", 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': ""activity == 'SW-EIC Reject & Resubmit'""}",,
Number of 'Plagiarism Originality Report Completed' per year,"ERROR: computing metric {'count': ""activity == 'Plagiarism Originality Report Completed'"", 'aggregation': 'total', 'group_by': 'year'}",,
Percentage of 'Plagiarism Originality Report Completed' followed by 'SW-Awaiting AE Assignment',Percentage of 'Plagiarism Originality Report Completed' out of all 'SW-Awaiting AE Assignment',0.98,
Frequency of 'Plagiarism Originality Report Completed' in manuscripts that undergo 'SW-EIC Major Revision',Frequency of activity 'Plagiarism Originality Report Completed' for cases where activity 'SW-EIC Major Revision' occurs,14.0,
Percentage of 'Plagiarism Originality Report Completed' in relation to all activities performed in the review process,Percentage of 'Plagiarism Originality Report Completed' out of all cases where '' does not happen,0.96,
Number of 'Plagiarism Originality Report Completed' that precede 'SW-AE Assign Reviewers',Number of 'Plagiarism Originality Report Completed' activities for cases where activity 'SW-AE Assign Reviewers' occurs,47.0,
Frequency of 'Plagiarism Originality Report Completed' in manuscripts that do not proceed to 'SW-Reviewer Agreed',Frequency of activity 'Plagiarism Originality Report Completed' for cases where activity 'SW-Reviewer Agreed' does not occur,89.0,
Percentage of 'Plagiarism Originality Report Completed' followed by 'Plagiarism Percent Match Threshold Exceeded',Percentage of 'Plagiarism Originality Report Completed' out of all 'Plagiarism Percent Match Threshold Exceeded',1.0,
Number of 'Plagiarism Originality Report Completed' in manuscripts that lead to 'SW-EIC Accept',Number of 'Plagiarism Originality Report Completed' activities for cases where activity 'SW-EIC Accept' occurs,2.0,
Frequency of 'Plagiarism Originality Report Completed' in relation to 'SW-Reviewer Declined' occurrences,Frequency of activity 'Plagiarism Originality Report Completed' for cases where activity 'SW-Reviewer Declined' occurs,28.0,
