Name;Metric;Value;Agrupation
;ERROR: computing metric {};;
Average time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration REJECTED by SUPERVISOR';The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by SUPERVISOR';4.65 days;
Average time between 'Declaration REJECTED by SUPERVISOR' and 'Declaration REJECTED by EMPLOYEE';The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Declaration REJECTED by EMPLOYEE';5.28 days;
Total resolution time of 'Declaration REJECTED by SUPERVISOR';The sum of the duration between activity Declaration REJECTED by SUPERVISOR and the end of the case;4186.35 days;
Average waiting time to the 'Declaration REJECTED by SUPERVISOR' after 'Declaration FOR_APPROVAL by SUPERVISOR';The average of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration REJECTED by SUPERVISOR';;
Minimum time from 'Declaration FOR_APPROVAL by SUPERVISOR' to 'Declaration REJECTED by SUPERVISOR';The minimum of the duration between activity 'Declaration FOR_APPROVAL by SUPERVISOR' and activity 'Declaration REJECTED by SUPERVISOR';;
Average time it takes 'Declaration REJECTED by SUPERVISOR' after 'Declaration APPROVED by ADMINISTRATION';The average of the duration between activity 'Declaration APPROVED by ADMINISTRATION' and activity 'Declaration REJECTED by SUPERVISOR';2.97 days;
Total time for 'Declaration REJECTED by SUPERVISOR' to be followed by a new 'Declaration SUBMITTED by EMPLOYEE';The sum of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Declaration SUBMITTED by EMPLOYEE';1897.46 days;
Minimum resolution time of 'Declaration REJECTED by SUPERVISOR' in cases leading to 'Request Payment';The minimum of the duration between activity Declaration REJECTED by SUPERVISOR and the end of the case;3.08 days;
Average time from 'Declaration REJECTED by SUPERVISOR' to 'Declaration APPROVED by PRE_APPROVER' in cases where it occurs;The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Declaration APPROVED by PRE_APPROVER';7.29 days;
Total time between 'Declaration REJECTED by SUPERVISOR' and next 'Declaration FINAL_APPROVED by SUPERVISOR';The sum of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Declaration FINAL_APPROVED by SUPERVISOR';2093.80 days;
Average time for 'Declaration REJECTED by SUPERVISOR' in cases eventually leading to 'Payment Handled';The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and the end of case where activity 'Payment Handled occurs;16.65 days;
Time until 'Declaration REJECTED by SUPERVISOR' from the start of the case;The sum of the duration between the start of the case and activity 'Declaration REJECTED by SUPERVISOR';1305.87 days;
'Declaration REJECTED by SUPERVISOR' Cycle Time in comparison to 'Declaration APPROVED by BUDGET OWNER' Cycle Time;The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Declaration APPROVED by BUDGET OWNER';6.74 days;
Average time for 'Declaration REJECTED by SUPERVISOR' to be followed by 'Declaration FOR_APPROVAL by SUPERVISOR' in a new submission cycle;The average of the duration between activity 'Declaration REJECTED by SUPERVISOR' and activity 'Declaration FOR_APPROVAL by SUPERVISOR';;
