Name;Metric;Value;Agrupation
Average time for Declaration REJECTED by PRE_APPROVER;The average of the duration between activity Declaration REJECTED by PRE_APPROVER and the end of the case;19.42 days;
Total time for Declaration REJECTED by PRE_APPROVER;The sum of the duration between activity Declaration REJECTED by PRE_APPROVER and the end of the case;1572.82 days;
Minimum time for Declaration REJECTED by PRE_APPROVER;The minimum of the duration between activity Declaration REJECTED by PRE_APPROVER and the end of the case;3.98 minutes;
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by PRE_APPROVER;The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by PRE_APPROVER';2.90 days;
Total time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by PRE_APPROVER;The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by PRE_APPROVER';234.64 days;
Minimum time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by PRE_APPROVER;The minimum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by PRE_APPROVER';2.00 seconds;
Average time between Declaration REJECTED by PRE_APPROVER and Declaration REJECTED by EMPLOYEE;The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration REJECTED by EMPLOYEE';2.11 days;
Total time between Declaration REJECTED by PRE_APPROVER and Declaration REJECTED by EMPLOYEE;The sum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration REJECTED by EMPLOYEE';171.06 days;
Minimum time between Declaration REJECTED by PRE_APPROVER and Declaration REJECTED by EMPLOYEE;The minimum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration REJECTED by EMPLOYEE';2.43 minutes;
Average time until Declaration REJECTED by PRE_APPROVER is performed;The average of the duration between the start of the case and activity 'Declaration REJECTED by PRE_APPROVER';2.90 days;
Total time until Declaration REJECTED by PRE_APPROVER is performed;The sum of the duration between the start of the case and activity 'Declaration REJECTED by PRE_APPROVER';234.64 days;
Minimum time until Declaration REJECTED by PRE_APPROVER is performed;The minimum of the duration between the start of the case and activity 'Declaration REJECTED by PRE_APPROVER';2.00 seconds;
Average waiting time to the Declaration REJECTED by PRE_APPROVER;The average of the duration between the start of the case and activity 'Declaration REJECTED by PRE_APPROVER';2.90 days;
Total waiting time to the Declaration REJECTED by PRE_APPROVER;The sum of the duration between the start of the case and activity 'Declaration REJECTED by PRE_APPROVER';234.64 days;
Minimum waiting time to the Declaration REJECTED by PRE_APPROVER;The minimum of the duration between the start of the case and activity 'Declaration REJECTED by PRE_APPROVER';2.00 seconds;
Average time it takes Declaration REJECTED by PRE_APPROVER to be done;The average of the duration between activity Declaration REJECTED by PRE_APPROVER and the end of the case;19.42 days;
Total time it takes Declaration REJECTED by PRE_APPROVER to be done;The sum of the duration between activity Declaration REJECTED by PRE_APPROVER and the end of the case;1572.82 days;
Minimum time it takes Declaration REJECTED by PRE_APPROVER to be done;The minimum of the duration between activity Declaration REJECTED by PRE_APPROVER and the end of the case;3.98 minutes;
Declaration REJECTED by PRE_APPROVER Cycle Time;The average of the duration between activity Declaration REJECTED by PRE_APPROVER and the end of the case;19.42 days;
