Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from Declaration SUBMITTED by EMPLOYEE to Declaration REJECTED by PRE_APPROVER,The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration REJECTED by PRE_APPROVER',2 days 21:31:24.666667,
Average time between Declaration REJECTED by PRE_APPROVER and Declaration SUBMITTED by EMPLOYEE for re-submission,The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration SUBMITTED by EMPLOYEE',10 days 05:53:58.342466,
Total time spent in Declaration REJECTED by PRE_APPROVER status before moving to another status,The sum of the duration between activity Declaration REJECTED by PRE_APPROVER and the end of the case,1572 days 19:41:33,
Average resolution time of Declaration REJECTED by PRE_APPROVER cases,The average of the duration between activity Declaration REJECTED by PRE_APPROVER and the end of the case,19 days 10:01:15.222222,
Minimum time taken for a declaration to go from Declaration REJECTED by PRE_APPROVER to Declaration APPROVED by PRE_APPROVER,The minimum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration APPROVED by PRE_APPROVER',0 days 00:06:17,
Average time it takes from Declaration REJECTED by PRE_APPROVER to Declaration FINAL_APPROVED by SUPERVISOR,The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR',11 days 12:46:12.150685,
Total time declarations spent in Declaration REJECTED by PRE_APPROVER status across all cases,The sum of the duration between activity Declaration REJECTED by PRE_APPROVER and the end of the case,1572 days 19:41:33,
Average waiting time before Declaration REJECTED by PRE_APPROVER is resolved or escalated,The average of the duration between activity Declaration REJECTED by PRE_APPROVER and the end of the case,19 days 10:01:15.222222,
Time from Declaration REJECTED by PRE_APPROVER to Request Payment initiation,The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Request Payment',17 days 08:00:59.625000,
Minimum resolution time of cases involving Declaration REJECTED by PRE_APPROVER before successful payment,The minimum of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Payment Handled',3 days 09:09:01,
Average time for a declaration to be re-submitted after being Declaration REJECTED by PRE_APPROVER,The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration SUBMITTED by EMPLOYEE',10 days 05:53:58.342466,
Total time from Declaration REJECTED by PRE_APPROVER to the next activity in the process,The sum of the duration between activity Declaration REJECTED by PRE_APPROVER and the end of the case,1572 days 19:41:33,
Average time from Declaration REJECTED by PRE_APPROVER to Declaration APPROVED by ADMINISTRATION,The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Declaration APPROVED by ADMINISTRATION',216 days 21:38:57.500000,
Minimum time between Declaration REJECTED by PRE_APPROVER and any subsequent approval activity,"ERROR: computing metric {'begin': ""activity == 'Declaration REJECTED by PRE_APPROVER'"", 'end': ""activity == 'Declaration APPROVED by ADMINISTRATION' or activity == 'Declaration APPROVED by PRE_APPROVER' or activity == 'Declaration FINAL_APPROVED by SUPERVISOR'"", 'aggregation': 'minimum'}",,
Average time it takes for a declaration to move from Declaration REJECTED by PRE_APPROVER to being Payment Handled,The average of the duration between activity 'Declaration REJECTED by PRE_APPROVER' and activity 'Payment Handled',21 days 04:18:30.291667,
