Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
1) Percentage of SW-EIC Reject that are not eventually performed,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'metric_condition': '!= 1', 'aggregation': 'percentage', 'filter': 'eventually_performed == 0'}",,
2) Frequency of SW-EIC Reject following SW-AE Assign Reviewers,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'following_activity == SW-AE Assign Reviewers'}",,
3) Ratio of SW-EIC Reject over SW-Awaiting EIC Decision,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'metric_condition': '> 1', 'aggregation': 'percentage', 'filter': 'related_activity == SW-Awaiting EIC Decision'}",,
4) Percentage of SW-EIC Reject that are preceded by SW-AE Assign Reviewers,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'preceding_activity == SW-AE Assign Reviewers'}",,
5) Average number of SW-EIC Reject per variant of SW-Awaiting Checklist Completion -> Original Manuscript Submission Confirmation -> Manuscript Export Succeeded -> Plagiarism Originality Report Completed -> SW-Checklist Completed,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'aggregation': 'average', 'filter': 'related_activity == SW-Awaiting Checklist Completion'}",,
6) Total percentage of SW-EIC Reject and SW-EIC Accept,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'related_activity == SW-EIC Accept'}",,
7) Frequency of SW-EIC Reject before Unassign Editor,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'preceding_activity == Unassign Editor'}",,
8) Number of times SW-EIC Reject is followed by Revised Manuscript Submission Confirmation,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'aggregation': 'total', 'filter': 'following_activity == Revised Manuscript Submission Confirmation'}",,
9) Percentage of SW-EIC Reject from all RW-EIC Accept,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'related_activity == RW-EIC Accept'}",,
10) Number of SW-EIC Reject grouped by case:concept:name,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'aggregation': 'total', 'group_by': 'concept:name'}",,
11) Percentage of SW-EIC Reject in relation to SW-EIC Major Revision,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'related_activity == SW-EIC Major Revision'}",,
12) Frequency of SW-EIC Reject grouped by year of time:timestamp,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'metric_condition': '> 0', 'aggregation': 'percentage', 'group_by': 'year'}",,
13) Average number of SW-EIC Reject that are followed by RW-Reviewer Agreed,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'aggregation': 'average', 'filter': 'following_activity == RW-Reviewer Agreed'}",,
14) Total SW-EIC Reject done by SYSTEM,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'aggregation': 'total', 'filter': 'performer == SYSTEM'}",,
15) Total fraction of SW-EIC Reject dismissed before being completed,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'metric_condition': '< 1', 'aggregation': 'percentage', 'filter': 'eventually_performed == 0'}",,
16) Number of SW-EIC Reject made during review process,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'aggregation': 'total', 'filter': 'related_activity == Review Process'}",,
17) Percentage of SW-EIC Reject compared to SW-EIC Major Revision,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'related_activity == SW-EIC Major Revision'}",,
18) Number of occurrences of SW-EIC Reject following Plagiarism Originality Report Completed,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'aggregation': 'total', 'filter': 'preceding_activity == Plagiarism Originality Report Completed'}",,
19) Total percentage of SW-EIC Reject that are eventually performed,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'eventually_performed == 1'}",,
20) Percentage of SW-EIC Reject on decision of RW-EIC Minor Revision compared to the percentage of SW-EIC Reject on decision of RW-EIC Major Revision,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'related_activity == RW-EIC Minor Revision'}",,
21) Total percentage of SW-EIC Reject compared to SW-EIC Accept for all activities in the event log,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'related_activity == SW-EIC Accept'}",,
22) Total percentage of SW-EIC Reject and SW-EIC Minor Revision on variant SW-Awaiting Checklist Completion -> Original Manuscript Submission Confirmation -> Manuscript Export Succeeded -> Plagiarism Originality Report Completed -> SW-Checklist Completed,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'related_activity == SW-EIC Minor Revision'}",,
23) Average number of SW-EIC Reject in a variant of review process,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'aggregation': 'average', 'filter': 'related_activity == Review Process'}",,
24) Frequency of SW-EIC Reject in review process,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'related_activity == Review Process'}",,
25) Percentage of SW-EIC Reject following SW-Reviewer Declined compared to the percentage of SW-EIC Reject following SW-Reviewer Agreed,"ERROR: computing metric {'count': 'activity == SW-EIC Reject', 'metric_condition': '> 0', 'aggregation': 'percentage', 'filter': 'preceding_activity == SW-Reviewer Declined'}",,
