Name,Metric,Value,Agrupation
,ERROR: computing metric {},,
Average time from 'Declaration SUBMITTED by EMPLOYEE' to 'Declaration FOR_APPROVAL by PRE_APPROVER',The average of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FOR_APPROVAL by PRE_APPROVER',0 days 00:02:50,
Average time from 'Declaration FOR_APPROVAL by PRE_APPROVER' to 'Declaration FINAL_APPROVED by SUPERVISOR',The average of the duration between activity 'Declaration FOR_APPROVAL by PRE_APPROVER' and activity 'Declaration FINAL_APPROVED by SUPERVISOR',,
Total time for 'Declaration FOR_APPROVAL by PRE_APPROVER' in the process,The sum of the duration between activity Declaration FOR_APPROVAL by PRE_APPROVER and the end of the case,4 days 03:10:46,
Average time between 'Declaration FOR_APPROVAL by PRE_APPROVER' and 'Request Payment',The average of the duration between activity 'Declaration FOR_APPROVAL by PRE_APPROVER' and activity 'Request Payment',,
Minimum time from 'Declaration FOR_APPROVAL by PRE_APPROVER' to 'Payment Handled',The minimum of the duration between activity 'Declaration FOR_APPROVAL by PRE_APPROVER' and activity 'Payment Handled',,
Average resolution time of 'Declaration FOR_APPROVAL by PRE_APPROVER',The average of the duration between activity Declaration FOR_APPROVAL by PRE_APPROVER and the end of the case,4 days 03:10:46,
Total resolution time of 'Declaration FOR_APPROVAL by PRE_APPROVER',The sum of the duration between activity Declaration FOR_APPROVAL by PRE_APPROVER and the end of the case,4 days 03:10:46,
Time from 'Declaration FOR_APPROVAL by PRE_APPROVER' to 'Declaration APPROVED by ADMINISTRATION',The average of the duration between activity 'Declaration FOR_APPROVAL by PRE_APPROVER' and activity 'Declaration APPROVED by ADMINISTRATION',,
Time from 'Declaration FOR_APPROVAL by PRE_APPROVER' to 'Declaration REJECTED by ADMINISTRATION',The average of the duration between activity 'Declaration FOR_APPROVAL by PRE_APPROVER' and activity 'Declaration REJECTED by ADMINISTRATION',,
Average waiting time to the 'Declaration FOR_APPROVAL by PRE_APPROVER',The average of the duration between the start of the case and activity 'Declaration FOR_APPROVAL by PRE_APPROVER',0 days 00:02:50,
Total time it takes 'Declaration FOR_APPROVAL by PRE_APPROVER' after the execution of 'Declaration SUBMITTED by EMPLOYEE',The sum of the duration between activity 'Declaration SUBMITTED by EMPLOYEE' and activity 'Declaration FOR_APPROVAL by PRE_APPROVER',0 days 00:02:50,
Minimum time it takes the 'Declaration FOR_APPROVAL by PRE_APPROVER' to be done after 'Declaration APPROVED by PRE_APPROVER',The minimum of the duration between activity 'Declaration APPROVED by PRE_APPROVER' and activity 'Declaration FOR_APPROVAL by PRE_APPROVER',,
Average time it takes from 'Declaration FOR_APPROVAL by PRE_APPROVER' to the next activity in the process,The average of the duration between activity Declaration FOR_APPROVAL by PRE_APPROVER and the end of the case,4 days 03:10:46,
Elapsed time between 'Declaration FOR_APPROVAL by PRE_APPROVER' and 'Declaration REJECTED by PRE_APPROVER',The average of the duration between activity 'Declaration FOR_APPROVAL by PRE_APPROVER' and activity 'Declaration REJECTED by PRE_APPROVER',,
'Declaration FOR_APPROVAL by PRE_APPROVER' Cycle Time,The average of the duration between activity Declaration FOR_APPROVAL by PRE_APPROVER and the end of the case,4 days 03:10:46,
